url,product_name,brand_name,target_gender,image_url,top_notes,middle_notes,base_notes
https://www.fragrantica.com/perfume/Acqua-di-Parma/Quercia-Eau-de-Parfum-56001.html,Quercia Eau de Parfum Acqua di Parma,Acqua Di Parma,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.56001.jpg,"Lemon, Calabrian bergamot, Pink Pepper, Petitgrain","Cardamom, Cedar, Geranium","Moss, Tonka Bean, Patchouli"
https://www.fragrantica.com/perfume/Acqua-di-Parma/Crystal-Incense-92117.html,Crystal Incense Acqua di Parma,Acqua Di Parma,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.92117.jpg,"Ginger, Grapefruit, Pepper","Atlas Cedar, Olibanum, Cardamom","Siam Benzoin, Patchouli, Musk"
https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Arancia-di-Capri-1685.html,Acqua di Parma Blu Mediterraneo Arancia di Capri Acqua di Parma,Acqua Di Parma,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.1685.jpg,"Orange, Sicilian Mandarin, Bergamot, Lemon","Petitgrain, Cardamom","Caramel, Musk"
https://www.fragrantica.com/perfume/Acqua-di-Parma/Fico-di-Amalfi-La-Riserva-107110.html,Fico di Amalfi La Riserva Acqua di Parma,Acqua Di Parma,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.107110.jpg,"Blood Orange, Italian Mandarin, Grapefruit, Lemon","Fig, Orris, Lemon","Tonka Bean, Orcanox™, Ambrettolide"
https://www.fragrantica.com/perfume/Acqua-di-Parma/Chinotto-di-Liguria-48940.html,Chinotto di Liguria Acqua di Parma,Acqua Di Parma,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.48940.jpg,"Chinotto, Mandarin Orange","Rosemary, Jasmine, Geranium, Cardamom","Musk, Patchouli"
https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Intensa-Oud-Eau-de-Cologne-Concentree-15519.html,Colonia Intensa Oud Eau de Cologne Concentree Acqua di Parma,Acqua Di Parma,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.15519.jpg,Citruses,"Agarwood (Oud), Coriander, Amyris","Leather, Musk"
https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Bergamotto-di-Calabria-7826.html,Acqua di Parma Blu Mediterraneo Bergamotto di Calabria Acqua di Parma,Acqua Di Parma,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.7826.jpg,"Bergamot, Citron","Ginger, Cedar, Flowers","Vetyver, Musk, Benzoin"
https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Futura-62332.html,Colonia Futura Acqua di Parma,Acqua Di Parma,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.62332.jpg,"Lemon, Bergamot, Grapefruit, Pink Pepper","Lavender, Sage",Vetiver
https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Cipresso-di-Toscana-1686.html,Acqua di Parma Blu Mediterraneo - Cipresso di Toscana Acqua di Parma,Acqua Di Parma,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.1686.jpg,"Rosemary, Basil, Sage, Grapefruit, Petitgrain","Pine Tree, Lavender, Coriander, Cardamom, Jasmine, Lily-of-the-Valley","Cypress, Silver Pine, Vetiver, Cedar, Oakmoss, Patchouli"
https://www.fragrantica.com/perfume/Acqua-di-Parma/Bergamotto-di-Calabria-La-Spugnatura-66175.html,Bergamotto di Calabria La Spugnatura Acqua di Parma,Acqua Di Parma,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.66175.jpg,Bergamot,"Orange, Grapefruit, Mandarin Orange","Geranium, Fennel"
