url,product_name,brand_name,target_gender,image_url,top_notes,middle_notes,base_notes
https://www.fragrantica.com/perfume/Burberry/Mr-Burberry-Element-60796.html,Mr. Burberry Element Burberry,Burberry,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.60796.jpg,Green Almond,Juniper,"Mineral notes, Ambergris, Oakmoss"
https://www.fragrantica.com/perfume/Burberry/Golden-Haze-106515.html,Golden Haze Burberry,Burberry,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.106515.jpg,"Orange Blossom, Marigold","Osmanthus, Tea",Vetiver
https://www.fragrantica.com/perfume/Burberry/Windsor-Tonic-75101.html,Windsor Tonic Burberry,Burberry,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.75101.jpg,"Bergamot, Green Mandarin, Petitgrain","Cypress, Cardamom, Tunisian Neroli","Virginia Cedar, Musk"
https://www.fragrantica.com/perfume/Burberry/Burberry-Her-Elixir-de-Parfum-75968.html,Burberry Her Elixir de Parfum Burberry,Burberry,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.75968.jpg,"Strawberry, Blackberry",Jasmine,"Vanilla, Amber, Sandalwood"
https://www.fragrantica.com/perfume/Burberry/Hero-68627.html,Hero Burberry,Burberry,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.68627.jpg,Bergamot,"Juniper, Black Pepper","Atlas Cedar, Virginian Cedar, Himalayan Cedar"
https://www.fragrantica.com/perfume/Burberry/Burberry-Summer-for-Women-2013-17581.html,Burberry Summer for Women 2013 Burberry,Burberry,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.17581.jpg,"Pomegranate, Green Leaves, Mandarin Orange","Freesia, Lily-of-the-Valley, Rose","White Musk, Cedar, Sandalwood"
https://www.fragrantica.com/perfume/Burberry/Burberry-Brit-Sheer-1793.html,Burberry Brit Sheer Burberry,Burberry,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.1793.jpg,"Litchi, Yuzu, Pineapple Leaf, Mandarin Orange","Peony, Peach Blossom, Pear","White Musk, White Woods"
https://www.fragrantica.com/perfume/Burberry/Burberry-Summer-for-Men-2010-8210.html,Burberry Summer for Men 2010 Burberry,Burberry,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.8210.jpg,"Yuzu, Mandarin Orange","Juniper Berries, Dyer’s Greenweed, Mint, Woodsy Notes","Musk, Virginia Cedar, Sandalwood, Amber"
https://www.fragrantica.com/perfume/Burberry/Burberry-Brit-Gold-2549.html,Burberry Brit Gold Burberry,Burberry,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.2549.jpg,"Magnolia, Black Currant, Neroli, Bergamot","Amber, Vanilla, Orris","Benzoin, Sandalwood, Musk"
https://www.fragrantica.com/perfume/Burberry/Burberrys-for-Men-1981-6830.html,Burberrys for Men (1981) Burberry,Burberry,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.6830.jpg,"Mint, Artemisia, Bergamot, Juniper, Thyme, Lavender","Patchouli, Vetiver, Carnation, Rose, Sandalwood, Cedar, Geranium, Marjoram, Jasmine, Pepper","Leather, Myrrh, Civet, Oakmoss, Musk, Amber"
https://www.fragrantica.com/perfume/Burberry/Burberry-Brit-Summer-for-Women-14632.html,Burberry Brit Summer for Women Burberry,Burberry,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.14632.jpg,"Lime, Pear, Tea","Almond, Peony","Mahogany, Musk, Amber"
https://www.fragrantica.com/perfume/Burberry/Mr-Burberry-32565.html,Mr. Burberry Burberry,Burberry,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.32565.jpg,"Grapefruit, Cardamom, Tarragon, Mint","Cedar, Birch Leaf, Nutmeg, Lavender","Vetiver, Guaiac Wood, Sandalwood, Amberwood, Benzoin, Oakmoss"
https://www.fragrantica.com/perfume/Burberry/Mr-Burberry-Indigo-49095.html,Mr. Burberry Indigo Burberry,Burberry,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.49095.jpg,"Rosemary, Lemon, Bergamot, Grapefruit","Mint, Water Notes, Violet, Sage, Tea, Hedione","Oakmoss, Iso E Super, Amber"
https://www.fragrantica.com/perfume/Burberry/London-for-Men-804.html,London for Men Burberry,Burberry,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.804.jpg,"Cinnamon, Lavender, Bergamot","Leather, Mimosa","Tobacco Leaf, Guaiac Wood, Opoponax, Oakmoss"
https://www.fragrantica.com/perfume/Burberry/The-Beat-EDT-5946.html,The Beat EDT Burberry,Burberry,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.5946.jpg,"Mandarin Orange, Bergamot, Cardamom, Pink Pepper","Tea, Iris, Bellflower","Musk, Vetiver, Cedar"
https://www.fragrantica.com/perfume/Burberry/Body-Eau-de-Toilette-15515.html,Body Eau de Toilette Burberry,Burberry,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.15515.jpg,"Green Apple, Wormwood, Peach","Rose, Tea, Sandalwood","Musk, Cashmere Wood, Vanilla, Amber"
