url,product_name,brand_name,target_gender,image_url,top_notes,middle_notes,base_notes
https://www.fragrantica.com/perfume/Chloe/Tubereuse-Lazuli-96453.html,Tubéreuse Lazuli Chloé,Chloe,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.96453.jpg,"Bergamot, Pink Pepper, Polygonum","Tuberose, Jasmine, Osmanthus","Sandalwood, Oud, Patchouli"
https://www.fragrantica.com/perfume/Chloe/Chloe-Eau-de-Toilette-2015-31197.html,Chloé Eau de Toilette (2015) Chloé,Chloe,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.31197.jpg,"Bergamot, Magnolia, Lemon","White Rose, Rose, Gardenia","Cotton Flower, Musk"
https://www.fragrantica.com/perfume/Chloe/Jasminum-Sambac-57248.html,Jasminum Sambac Chloé,Chloe,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.57248.jpg,,Jasmine Sambac,
https://www.fragrantica.com/perfume/Chloe/Papyrus-63117.html,Papyrus Chloé,Chloe,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.63117.jpg,,"Papyrus, Green Notes",
https://www.fragrantica.com/perfume/Chloe/Lavanda-57249.html,Lavanda Chloé,Chloe,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.57249.jpg,,Lavender,
https://www.fragrantica.com/perfume/Chloe/Immortelle-89916.html,Immortelle Chloé,Chloe,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.89916.jpg,"Salt, Bergamot, Lemon","Immortelle, Tuberose, Jasmine","Sandalwood, Vanilla, Tonka"
https://www.fragrantica.com/perfume/Chloe/Nomade-Absolu-de-Parfum-58424.html,Nomade Absolu de Parfum Chloé,Chloe,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.58424.jpg,Mirabelle,"Oakmoss, Davana","Sandalwood, Musk"
https://www.fragrantica.com/perfume/Chloe/Chloe-Rose-Edition-11344.html,Chloé Rose Edition Chloé,Chloe,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.11344.jpg,,"Rose, Magnolia, Amber, Lily-of-the-Valley, Virginia Cedar",
https://www.fragrantica.com/perfume/Chloe/Cedrus-Solid-Parfum-107498.html,Cedrus Solid Parfum Chloé,Chloe,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.107498.jpg,,"Woody Notes, Sandalwood, Moss, Vetiver",
https://www.fragrantica.com/perfume/Chloe/Orchidee-de-Minuit-96452.html,Orchidée de Minuit Chloé,Chloe,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.96452.jpg,"Orchid, Rum, Clove","Benzoin, Styrax, Jasmine","Vanilla, Patchouli, Musk"
https://www.fragrantica.com/perfume/Chloe/See-by-Chloe-Si-Belle-29253.html,See by Chloé Si Belle Chloé,Chloe,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.29253.jpg,"Birch Leaf, Neroli, Cucumber","Gardenia, Orange Blossom, Apple, Peach, Jasmine, Rose","White Musk, Coconut, Vanilla, Coumarin, Amber"
https://www.fragrantica.com/perfume/Chloe/Nomade-Nuit-d-Egypte-89372.html,Nomade Nuit d’Egypte Chloé,Chloe,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.89372.jpg,"Myrrh, Cinnamon, Ginger","Orange Blossom, Kyphi, Broom","Vanilla, Opoponax, Cypriol Oil or Nagarmotha"
