url,product_name,brand_name,target_gender,image_url,top_notes,middle_notes,base_notes
https://www.fragrantica.com/perfume/Clean/H2Eau-Nectarine-Petal-88642.html,H2Eau Nectarine Petal Clean,Clean,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.88642.jpg,Nectarine,"Peach Blossom, Chamomile","Musk, Amber"
https://www.fragrantica.com/perfume/Clean/Spring-Breeze-90714.html,Spring Breeze Clean,Clean,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.90714.jpg,"Aldehydes, Bergamot, Green Apple","Lavender, Lily of the Valley, Jasmine","White Musk, Orange Blossom, Sandalwood"
https://www.fragrantica.com/perfume/Clean/Blonde-Rose-35231.html,Blonde Rose Clean,Clean,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.35231.jpg,"Aldehydes, Water Notes","Rose, Peony, Jasmine","Musk, Cedar, Sandalwood"
https://www.fragrantica.com/perfume/Clean/Clean-Shower-Fresh-for-Men-16604.html,Clean Shower Fresh for Men Clean,Clean,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.16604.jpg,"Bergamot, Lemon","Mint, Cardamon, Thyme, Nutmeg","Black Tea, Cedar"
https://www.fragrantica.com/perfume/Clean/Clean-Summer-Sailing-25227.html,Clean Summer Sailing Clean,Clean,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.25227.jpg,"Cucumber, Aldehydes, Sicilian Bergamot","Sea Notes, Violet Leaf, Calone","Moss, Musk, White Wood"
https://www.fragrantica.com/perfume/Clean/Summer-Splash-Sunkissed-Skin-36537.html,Summer Splash Sunkissed Skin Clean,Clean,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.36537.jpg,"Ozonic notes, Lotus, Melon","Coconut, Flowers, Dew Drop","Amberwood, Musk, Vanilla"
https://www.fragrantica.com/perfume/Clean/H2Eau-Golden-Citrus-88641.html,H2Eau Golden Citrus Clean,Clean,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.88641.jpg,"Mandarin Orange, Water Notes, Bergamot","Neroli, Orange Blossom",Musk
https://www.fragrantica.com/perfume/Clean/Clean-Cashmere-38510.html,Clean Cashmere Clean,Clean,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.38510.jpg,"Lime, Cedar Needles, Bergamot","Lavender, Mimosa, Jasmine","Musk, Heliotrope, Tonka Bean, Sandalwood, Guaiac Wood"
https://www.fragrantica.com/perfume/Clean/Sweetbriar-Moss-55776.html,Sweetbriar & Moss Clean,Clean,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.55776.jpg,"Sichuan Pepper, Mandarin Orange, Litchi","Olibanum, Flowers, Rose de Mai, Jasmine","Oakmoss, Vetiver, Cedar, Cashmere Wood, Amber"
https://www.fragrantica.com/perfume/Clean/Endless-Summer-55254.html,Endless Summer Clean,Clean,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.55254.jpg,"Solar Notes, Cyclamen, Neroli","Violet Leaves, Lily-of-the-Valley, Freesia, Rose, Galbanum","Heliotrope, Coconut Nectar, Vanilla, Sandalwood, Ambroxan"
