url,product_name,brand_name,target_gender,image_url,top_notes,middle_notes,base_notes
https://www.fragrantica.com/perfume/Gucci/Flora-Gorgeous-Magnolia-83621.html,Flora Gorgeous Magnolia Gucci,Gucci,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.83621.jpg,"Dewberry, Coconut, Orange","Magnolia, Jasmine Sambac, Ylang-Ylang, Lily of the Valley","Musk, Patchouli, Blonde Woods"
https://www.fragrantica.com/perfume/Gucci/Guilty-Elixir-de-Parfum-pour-Homme-84547.html,Guilty Elixir de Parfum pour Homme Gucci,Gucci,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.84547.jpg,"Orange Blossom, Nutmeg, Pimento Seeds","Orange Blossom, Orris, Osmanthus","Vanilla, Ambrofix™, Benzoin, Patchouli"
https://www.fragrantica.com/perfume/Gucci/Gucci-Envy-Eau-de-Parfum-27085.html,Gucci Envy Eau de Parfum Gucci,Gucci,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.27085.jpg,"Bergamot, Freesia, Peach, Pineapple, Magnolia","Hyacinth, Lily-of-the-Valley, Jasmine, Rose, Violet, Iris","Cedar, Musk, Sandalwood"
https://www.fragrantica.com/perfume/Gucci/The-Eyes-Of-The-Tiger-Eau-de-Parfum-53093.html,The Eyes Of The Tiger Eau de Parfum Gucci,Gucci,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.53093.jpg,,"Amber, Vanilla, Labdanum",
https://www.fragrantica.com/perfume/Gucci/Muschio-Mineralis-114850.html,Muschio Mineralis Gucci,Gucci,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.114850.jpg,"Cumin, Pink Pepper, elemi","Frankincense, Patchouli","Musk, Orcanox™, Vanilla Absolute, Bourbon Vanilla"
https://www.fragrantica.com/perfume/Gucci/Muschio-di-Luce-114849.html,Muschio di Luce Gucci,Gucci,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.114849.jpg,"juniper berry, Cardamom, Pink Pepper","Australian Sandalwood, Haitian Vetiver, Atlas Cedar","Ambrox Super, Benzoin, Musk"
https://www.fragrantica.com/perfume/Gucci/A-Song-For-The-Rose-Eau-de-Parfum-53087.html,A Song For The Rose Eau de Parfum Gucci,Gucci,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.53087.jpg,,"Bulgarian Rose, Musk, Woody Notes",
https://www.fragrantica.com/perfume/Gucci/Gucci-Bloom-Acqua-di-Fiori-48779.html,Gucci Bloom Acqua di Fiori Gucci,Gucci,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.48779.jpg,"Galbanum Leaf, Cassis, Bergamot, Lemon","Honeysuckle, Tuberose, Jasmine, Lily-of-the-Valley, Freesia","Musk, Iso E Super, Sandalwood"
https://www.fragrantica.com/perfume/Gucci/Gucci-Guilty-Love-Edition-Pour-Homme-58768.html,Gucci Guilty Love Edition Pour Homme Gucci,Gucci,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.58768.jpg,"Kumquat, Ginger, Mandarin Orange, Pink Pepper","Lavender, Rosemary, Geranium","Vetiver, Patchouli, Benzoin"
https://www.fragrantica.com/perfume/Gucci/Gucci-Eau-de-Parfum-684.html,Gucci Eau de Parfum Gucci,Gucci,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.684.jpg,"Heliotrope, Orange Blossom","Caraway, Iris, Thyme","Leather, Incense, Vanilla, Sandalwood, Musk, Cedar Essence"
https://www.fragrantica.com/perfume/Gucci/Intense-Oud-32743.html,Intense Oud Gucci,Gucci,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.32743.jpg,"Frankincense, Raspberry, Saffron, Pear","Damask Rose, Musk, Orange Blossom","Agarwood, Leather, Patchouli, Ambergris"
https://www.fragrantica.com/perfume/Gucci/Gucci-Guilty-Intense-13201.html,Gucci Guilty Intense Gucci,Gucci,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.13201.jpg,"Pink Pepper, Mandarin Orange","Lilac, Violet, Heliotrope","Amber, Patchouli"
https://www.fragrantica.com/perfume/Gucci/1921-67695.html,1921 Gucci,Gucci,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.67695.jpg,Citron,"Neroli, Lemon Verbena",Oakmoss
https://www.fragrantica.com/perfume/Gucci/Gucci-No-3-Parfum-49948.html,Gucci No 3 Parfum Gucci,Gucci,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.49948.jpg,,"Oakmoss, Vetiver, Orris Root, Narcissus, Aldehydes, Leather, Tuberose, Green Leaves, Coriander, Patchouli, Rose, Amber, Bergamot, Lily-of-the-Valley, Musk, Jasmine",
https://www.fragrantica.com/perfume/Gucci/Gucci-Garden-67325.html,Gucci Garden Gucci,Gucci,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.67325.jpg,"Broom, Violet","Bergamot, Benzoin","Sage, Woodsy Notes"
https://www.fragrantica.com/perfume/Gucci/Flora-by-Gucci-1966-18135.html,Flora by Gucci 1966 Gucci,Gucci,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.18135.jpg,"Bourbon Pepper, Bergamot","Rose, Peony","Patchouli, Vetiver, Musk"
https://www.fragrantica.com/perfume/Gucci/L-Arte-di-Gucci-3840.html,L'Arte di Gucci Gucci,Gucci,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.3840.jpg,"Rose, Marigold, Currant buds, Chamomile, Neroli","Rose, Patchouli, Mimosa, Ylang-Ylang","Musk, Castoreum, Labdanum, Sandalwood"
https://www.fragrantica.com/perfume/Gucci/Gucci-by-Gucci-Pour-Homme-3792.html,Gucci by Gucci Pour Homme Gucci,Gucci,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.3792.jpg,"Cypress, Violet, Bergamot","Tobacco, Jasmine","Patchouli, Amber, Leather, Elemi resin, Olibanum"
https://www.fragrantica.com/perfume/Gucci/Gucci-No-1-Eau-de-Parfum-11893.html,Gucci No 1 Eau de Parfum Gucci,Gucci,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.11893.jpg,"Aldehydes, Hyacinth, Geranium, Palisander Rosewood, Bergamot, Green Notes, Amalfi Lemon","Carnation, Rose, Ylang-Ylang, Heliotrope, Lilac, Iris, Jasmine, Lily-of-the-Valley, Neroli, Orchid","oak moss, Amber, Benzoin, Virginia Cedar, Musk, Sandalwood, Vetiver, Tonka Bean, Patchouli, Vanille"
https://www.fragrantica.com/perfume/Gucci/Flora-by-Gucci-Eau-de-Toilette-5226.html,Flora by Gucci Eau de Toilette Gucci,Gucci,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.5226.jpg,"Peony, Citruses, Mandarin Orange","Osmanthus, Rose","Sandalwood, Pink Pepper, Patchouli"
https://www.fragrantica.com/perfume/Gucci/Tears-From-The-Moon-73560.html,Tears From The Moon Gucci,Gucci,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.73560.jpg,Peony,Lily-of-the-Valley,Stephanotis
https://www.fragrantica.com/perfume/Gucci/Eau-de-Gucci-Concentree-1982-49321.html,Eau de Gucci Concentree (1982) Gucci,Gucci,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.49321.jpg,,"Lilac, Aldehydes, Jasmine, Lily-of-the-Valley, Hyacinth, Orange Blossom, Ylang-Ylang, Vetiver, Violet, Tuberose, Vanilla, Sandalwood, Tangerine, Bergamot, Mandarin Orange",
https://www.fragrantica.com/perfume/Gucci/Gucci-Guilty-Eau-Pour-Homme-34643.html,Gucci Guilty Eau Pour Homme Gucci,Gucci,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.34643.jpg,"Lemon, Bergamot","Orris, Snowberry, Orange Blossom","Musk, Patchouli"
https://www.fragrantica.com/perfume/Gucci/Gucci-Bloom-44894.html,Gucci Bloom Gucci,Gucci,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.44894.jpg,Jasmine,Tuberose,Rangoon Creeper
https://www.fragrantica.com/perfume/Gucci/The-Last-Day-Of-Summer-Eau-de-Parfum-53090.html,The Last Day Of Summer Eau de Parfum Gucci,Gucci,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.53090.jpg,,"Cypress, Cedar, Patchouli, Nutmeg, Vetiver",
https://www.fragrantica.com/perfume/Gucci/Gucci-Guilty-Eau-de-Parfum-52481.html,Gucci Guilty Eau de Parfum Gucci,Gucci,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.52481.jpg,"Pink Pepper, Mandarin Orange, Bergamot","Lilac, Violet, Geranium, Rose","Patchouli, Amber"
https://www.fragrantica.com/perfume/Gucci/Ode-on-Melancholy-Perfume-Oil-53097.html,Ode on Melancholy Perfume Oil Gucci,Gucci,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.53097.jpg,,"Cypriol Oil or Nagarmotha, Cedar, Sandalwood, Patchouli",
https://www.fragrantica.com/perfume/Gucci/Gucci-Rush-2-687.html,Gucci Rush 2 Gucci,Gucci,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.687.jpg,"Freesia, Lily-of-the-Valley, Rose","Palm Tree, Narcissus, Lily, Gardenia","Black Currant, Musk, Oakmoss"
https://www.fragrantica.com/perfume/Gucci/Moonlight-Serenade-Scented-Water-53095.html,Moonlight Serenade Scented Water Gucci,Gucci,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.53095.jpg,,"Lavender, Sage, Tonka Bean",
https://www.fragrantica.com/perfume/Gucci/Winter-s-Spring-Eau-de-Parfum-53091.html,Winter's Spring Eau de Parfum Gucci,Gucci,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.53091.jpg,,"Mimosa, Musk, Pepper",
https://www.fragrantica.com/perfume/Gucci/Gucci-Guilty-Absolute-43040.html,Gucci Guilty Absolute Gucci,Gucci,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.43040.jpg,Leather,"Cypress, Patchouli","Woody Notes, Vetiver"
https://www.fragrantica.com/perfume/Gucci/Gucci-Guilty-Studs-Pour-Femme-22522.html,Gucci Guilty Studs Pour Femme Gucci,Gucci,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.22522.jpg,"Pink Pepper, Mandarin Orange","Lilac, Peach, Geranium","Patchouli, Amber"
https://www.fragrantica.com/perfume/Gucci/Forever-Now-Gucci-Museo-17349.html,Forever Now (Gucci Museo) Gucci,Gucci,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.17349.jpg,"Lavender, Black Pepper, Bergamot, Orange Blossom, Mandarin Orange","Suede, Leather, Tuscan Iris, Nutmeg, Moroccan Rose, Bulgarian Rose, Jasmine, Ylang-Ylang","Woody Notes, Vetiver, Amber, Patchouli, Musk"
https://www.fragrantica.com/perfume/Gucci/Rosa-Sublime-114852.html,Rosa Sublime Gucci,Gucci,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.114852.jpg,"Olibanum, Incense, elemi, Pink Pepper","Damask Rose, Saffron, Ambrettolide, Ambrette","Myrrh, Patchouli, Virginian Cedar, Orcanox™"
https://www.fragrantica.com/perfume/Gucci/Gucci-by-Gucci-Sport-7943.html,Gucci by Gucci Sport Gucci,Gucci,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.7943.jpg,"Cypress, Mandarin Orange, Grapefruit","Fig, Juniper Berries, Cardamom","Vetyver, Patchouli, Ambrette (Musk Mallow)"
https://www.fragrantica.com/perfume/Gucci/Gucci-Bloom-Eau-de-Toilette-72562.html,Gucci Bloom Eau de Toilette Gucci,Gucci,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.72562.jpg,"Neroli, Bergamot, Mandarin Orange, Lemon","Tuberose, Jasmine, Orange Blossom, Rangoon Creeper","Musk, Sandalwood"
https://www.fragrantica.com/perfume/Gucci/Gucci-Pour-Homme-II-1119.html,Gucci Pour Homme II Gucci,Gucci,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.1119.jpg,"Violet Leaf, Bergamot","Black Tea, Cinnamon, Pimento","Tobacco Leaf, Myrrh, Musk, Olive Tree"
https://www.fragrantica.com/perfume/Gucci/Gucci-Bamboo-Eau-de-Toilette-38345.html,Gucci Bamboo Eau de Toilette Gucci,Gucci,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.38345.jpg,"Sicilian Bergamot, Orange Blossom, Pear, Italian Mandarin","Casablanca Lily, Jasmine, Ylang-Ylang","White Musk, Ambergris, Tahitian Vanilla, Sandalwood"
https://www.fragrantica.com/perfume/Gucci/Memoire-d-une-Odeur-56096.html,Mémoire d’une Odeur Gucci,Gucci,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.56096.jpg,"Chamomile, Bitter Almond","Musk, Indian Jasmine, Jasmine","Sandalwood, Cedar, Vanilla"
https://www.fragrantica.com/perfume/Gucci/Gucci-Guilty-Essence-Pour-Homme-96557.html,Gucci Guilty Essence Pour Homme Gucci,Gucci,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.96557.jpg,"Lavender, Coriander","Orange Blossom, Neroli","Patchouli, Cedar"
https://www.fragrantica.com/perfume/Gucci/Made-to-Measure-18703.html,Made to Measure Gucci,Gucci,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.18703.jpg,"Lavender, Calabrian bergamot, Tunisian Orange Blossom, Anise","Plum, Juniper Berries, Cinnamon, Nutmeg, Water Lily","Leather, Amber, Patchouli, Labdanum"
https://www.fragrantica.com/perfume/Gucci/Gucci-Guilty-Studs-Pour-Homme-22527.html,Gucci Guilty Studs Pour Homme Gucci,Gucci,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.22527.jpg,"Lavender, Lemon",Orange Blossom,"Cedar, Patchouli"
https://www.fragrantica.com/perfume/Gucci/Gucci-Rush-Summer-2995.html,Gucci Rush Summer Gucci,Gucci,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.2995.jpg,Bergamot,"Gardenia, Freesia, Rose","Musk, Woodsy Notes"
https://www.fragrantica.com/perfume/Gucci/Flora-Gorgeous-Jasmine-75190.html,Flora Gorgeous Jasmine Gucci,Gucci,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.75190.jpg,"Italian Mandarin, Bergamot, Black Pepper","Jasmine, Jasmine Sambac, Magnolia, Damask Rose","Australian Sandalwood, Benzoin, Patchouli"
https://www.fragrantica.com/perfume/Gucci/Flora-by-Gucci-Eau-de-Parfum-7610.html,Flora by Gucci Eau de Parfum Gucci,Gucci,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.7610.jpg,"Peony, Citruses, Mandarin Orange","Osmanthus, Rose","Sandalwood, Patchouli"
https://www.fragrantica.com/perfume/Gucci/Gucci-Guilty-Oud-50012.html,Gucci Guilty Oud Gucci,Gucci,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.50012.jpg,"Bulgarian Rose, Blackberry, Pink Pepper","Patchouli, Cypriol Oil or Nagarmotha","Agarwood (Oud), Leather, Amber"
https://www.fragrantica.com/perfume/Gucci/Gucci-Guilty-Eau-34642.html,Gucci Guilty Eau Gucci,Gucci,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.34642.jpg,"Litchi, Watery Notes","Lily, Wild Strawberry",Musk
https://www.fragrantica.com/perfume/Gucci/Gucci-No-3-Eau-de-Toilette-692.html,Gucci No 3 Eau de Toilette Gucci,Gucci,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.692.jpg,"Aldehydes, Coriander, Green Leaves, Bergamot","Orris Root, Narcissus, Tuberose, Rose, Jasmine, Lily-of-the-Valley","Oakmoss, Leather, Vetiver, Patchouli, Musk, Amber"
https://www.fragrantica.com/perfume/Gucci/A-Forgotten-Rose-Perfume-Oil-53099.html,A Forgotten Rose Perfume Oil Gucci,Gucci,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.53099.jpg,,"Bulgarian Rose, Musk, Pink Pepper",
https://www.fragrantica.com/perfume/Gucci/Gucci-Bloom-Ambrosia-di-Fiori-57355.html,Gucci Bloom Ambrosia di Fiori Gucci,Gucci,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.57355.jpg,"Jasmine, Honeysuckle",Tuberose,"Damask Rose, Orris"
https://www.fragrantica.com/perfume/Gucci/Gucci-Guilty-Pour-Homme-Parfum-71378.html,Gucci Guilty Pour Homme Parfum Gucci,Gucci,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.71378.jpg,"Juniper, Lavender, Lemon","Orange Blossom, Nutmeg, Spanish Labdanum","Dry Wood, Patchouli, Musk"
https://www.fragrantica.com/perfume/Gucci/Gucci-Guilty-Absolute-Pour-Femme-48090.html,Gucci Guilty Absolute Pour Femme Gucci,Gucci,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.48090.jpg,"Blackberry, Pink Pepper, Bergamot","Cypress, Bulgarian Rose, Woody Notes, Vetiver","Indian Patchouli, Amber"
https://www.fragrantica.com/perfume/Gucci/Flora-Emerald-Gardenia-55751.html,Flora Emerald Gardenia Gucci,Gucci,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.55751.jpg,"Watermelon, Pear, Lemon","Lotus, Gardenia, Frangipani","Musk, Sandalwood, Cedar"
https://www.fragrantica.com/perfume/Gucci/Gucci-Guilty-Absolu-de-Parfum-Pour-Homme-109086.html,Gucci Guilty Absolu de Parfum Pour Homme Gucci,Gucci,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.109086.jpg,"Rum, Almond, Orange Blossom, Bergamot","Tonka, Labdanum, Red Chilli Pepper, Neroli","Benzoin, Vanilla, Leather"
https://www.fragrantica.com/perfume/Gucci/Flora-by-Gucci-Gorgeous-Gardenia-14395.html,Flora by Gucci Gorgeous Gardenia Gucci,Gucci,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.14395.jpg,"Pear, Red Berries","Gardenia, Frangipani",Patchouli
https://www.fragrantica.com/perfume/Gucci/Osmanthus-Nectar-101152.html,Osmanthus Nectar Gucci,Gucci,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.101152.jpg,"Apricot, Guatemalan Cardamom, Bergamot","Osmanthus, Tea","Sandalwood, Amyris, Virginia Cedar"
https://www.fragrantica.com/perfume/Gucci/Gucci-by-Gucci-Eau-de-Parfum-1150.html,Gucci by Gucci Eau de Parfum Gucci,Gucci,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.1150.jpg,"Guava, Pear",Tiare Flower,"Patchouli, Honey, Musk"
https://www.fragrantica.com/perfume/Gucci/A-Chant-for-the-Nymph-60865.html,A Chant for the Nymph Gucci,Gucci,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.60865.jpg,Frangipani,"Tiare Flower, Ylang-Ylang",Vanilla
https://www.fragrantica.com/perfume/Gucci/Flora-Gorgeous-Gardenia-Limited-Edition-43697.html,Flora Gorgeous Gardenia Limited Edition Gucci,Gucci,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.43697.jpg,Red Berries,"Gardenia, Frangipani","Brown sugar, Patchouli"
https://www.fragrantica.com/perfume/Gucci/A-Winter-Melody-Scented-Water-53096.html,A Winter Melody Scented Water Gucci,Gucci,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.53096.jpg,,"Cypress, Bergamot, Rose",
https://www.fragrantica.com/perfume/Gucci/Envy-97.html,Envy Gucci,Gucci,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.97.jpg,"Bergamot, Freesia, Pineapple, Magnolia, Peach","Lily-of-the-Valley, Hiacynth, Jasmine, Iris, Violet, Rose","Oakmoss, Jasmine, Cedar, Musk, Sandalwood"
https://www.fragrantica.com/perfume/Gucci/Gucci-Guilty-Absolu-de-Parfum-Pour-Femme-109085.html,Gucci Guilty Absolu de Parfum Pour Femme Gucci,Gucci,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.109085.jpg,"Bitter Almond, Mandora, Bergamot","Wisteria, Patchouli, Rose","Amaretto, Coffee, Tonka, Vanilla"
https://www.fragrantica.com/perfume/Gucci/A-Gloaming-Night-69736.html,A Gloaming Night Gucci,Gucci,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.69736.jpg,Cinnamon,Vetiver,Patchouli
https://www.fragrantica.com/perfume/Gucci/A-Kiss-From-Violet-Perfume-Oil-53100.html,A Kiss From Violet Perfume Oil Gucci,Gucci,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.53100.jpg,,"Violet, Musk, Iris",
https://www.fragrantica.com/perfume/Gucci/Envy-for-Men-688.html,Envy for Men Gucci,Gucci,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.688.jpg,"Ginger, Lavender, Cardamom, Pepper, Mahogany, Coriander, Mandarin Orange","Sandalwood, Cedar, Carnation, Jasmine, Rose","Incense, Tobacco, Vanilla, Amber, Vetiver, Patchouli, Leather, Musk"
https://www.fragrantica.com/perfume/Gucci/Flora-by-Gucci-Eau-Fraiche-11775.html,Flora by Gucci Eau Fraiche Gucci,Gucci,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.11775.jpg,"Peony, Kumquat, Bergamot, Amalfi Lemon, Mandarin Orange","Water Notes, Green Notes, Osmanthus, Rose","Sandalwood, Pink Pepper, Patchouli"
https://www.fragrantica.com/perfume/Gucci/Flora-Gorgeous-Orchid-94979.html,Flora Gorgeous Orchid Gucci,Gucci,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.94979.jpg,Vanilla,Vanilla Orchid,Ozonic notes
