url,product_name,brand_name,target_gender,image_url,top_notes,middle_notes,base_notes
https://www.fragrantica.com/perfume/Lush/Salty-69245.html,Salty Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.69245.jpg,,"Thailand Oud, Neroli, Rose",
https://www.fragrantica.com/perfume/Lush/Honey-I-Washed-the-Kids-8128.html,Honey I Washed the Kids Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.8128.jpg,,"Caramel, White Honey, Orange, Bergamot",
https://www.fragrantica.com/perfume/Lush/Assassin-56374.html,Assassin Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.56374.jpg,"Pine, Lime","Blackcurrant Syrup, Neroli","Oakmoss, Vanilla Absolute"
https://www.fragrantica.com/perfume/Lush/Cinders-8133.html,Cinders Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.8133.jpg,,"Cinnamon, Almond, Orange",
https://www.fragrantica.com/perfume/Lush/All-Good-Things-26635.html,All Good Things Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.26635.jpg,,"Tonka Bean, Cedar, Juniper, Star Anise, Coumarin, Rose, Citruses",
https://www.fragrantica.com/perfume/Lush/Smuggler-s-Soul-26632.html,Smuggler's Soul Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.26632.jpg,,"Sandalwood, Woody Notes",
https://www.fragrantica.com/perfume/Lush/The-Comforter-22219.html,The Comforter Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.22219.jpg,,"Black Currant, Cypress, Bergamot",
https://www.fragrantica.com/perfume/Lush/Death-and-Decay-26630.html,Death and Decay Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.26630.jpg,,"Lily, Powdery Notes, Spicy Notes",
https://www.fragrantica.com/perfume/Lush/Pansy-56379.html,Pansy Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.56379.jpg,"Rosemary, Orange Blossom","Floral Notes, Blackberry, Bergamot","Galbanum, Labdanum"
https://www.fragrantica.com/perfume/Lush/Potion-63325.html,Potion Lush,Lush,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.63325.jpg,,"Carnation, Tangerine, Rose, Almond",
https://www.fragrantica.com/perfume/Lush/Confetti-58191.html,Confetti Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.58191.jpg,,"Violet Leaf, Rose Oil, Coffee, Sandalwood, Pear",
https://www.fragrantica.com/perfume/Lush/Prince-Body-Spray-56386.html,Prince Body Spray Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.56386.jpg,"Aloe Vera, Neroli","Orange, Orange Blossom","Vetiver, Mandarin Orange"
https://www.fragrantica.com/perfume/Lush/Glinda-Upland-99129.html,Glinda Upland Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.99129.jpg,,"Rose, Benzoin, Pistachio, Vanilla",
https://www.fragrantica.com/perfume/Lush/Rose-Jam-Body-Spray-57036.html,Rose Jam Body Spray Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.57036.jpg,Damask Rose,"Sicilian Lemon, Geranium",Tonka Bean
https://www.fragrantica.com/perfume/Lush/Elphaba-Thropp-99128.html,Elphaba Thropp Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.99128.jpg,,"Pink Pepper, Cedarwood, Vanilla Absolute",
https://www.fragrantica.com/perfume/Lush/Super-Milk-112787.html,Super Milk Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.112787.jpg,,"Citrus, Vanilla, Biscuit, Almond, Coconut",
https://www.fragrantica.com/perfume/Lush/Vegan-Leather-Jacket-97199.html,Vegan Leather Jacket Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.97199.jpg,,"Clove, Tobacco, Vetiver, Tonka Bean",
https://www.fragrantica.com/perfume/Lush/Black-Pearl-10802.html,Black Pearl Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.10802.jpg,,"Lavender, Olibanum, Chamomile, Myrhh",
https://www.fragrantica.com/perfume/Lush/Passion-97227.html,Passion Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.97227.jpg,,"Brazilian Orange, Litsea Cubeba, Lime",
https://www.fragrantica.com/perfume/Lush/Jungle-62552.html,Jungle Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.62552.jpg,,"Ylang-Ylang, Cedar, Cypress, Vetiver",
https://www.fragrantica.com/perfume/Lush/Dad-s-Garden-Chamomile-And-Honeysuckle-26706.html,Dad's Garden Chamomile And Honeysuckle Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.26706.jpg,,"Honeysuckle, Chamomile, Floral Notes, Citruses",
https://www.fragrantica.com/perfume/Lush/Rose-Jam-2013-22737.html,Rose Jam 2013 Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.22737.jpg,,"Rose, Turkish Rose, Lemon, Geranium",
https://www.fragrantica.com/perfume/Lush/Fun-Times-76842.html,Fun Times Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.76842.jpg,,"Blood Mandarin, Brazilian Orange",
https://www.fragrantica.com/perfume/Lush/The-Bee-s-Knees-107560.html,The Bee's Knees Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.107560.jpg,,"Orange Blossom, Osmanthus, Tobacco, Neroli",
https://www.fragrantica.com/perfume/Lush/Turmeric-Latte-Perfume-72229.html,Turmeric Latte Perfume Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.72229.jpg,,"Tonka Bean, Vanilla, Turmeric, Benzoin",
https://www.fragrantica.com/perfume/Lush/4-20-PM-72228.html,4.20 PM Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.72228.jpg,,"cannabis, Patchouli, Cade oil, Oakmoss, Pimento Seeds, Celery, Eugenol, Sandalwood, Coumarin, Ginger, Geranium, Petitgrain, Lemon",
https://www.fragrantica.com/perfume/Lush/Olive-Branch-8132.html,Olive Branch Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.8132.jpg,,"Orange, Bergamot, Mandarin Orange, Amalfi Lemon",
https://www.fragrantica.com/perfume/Lush/Ladyboy-13725.html,Ladyboy Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.13725.jpg,,"Banana, oak moss, Chamomile, Violet, Seaweed, French labdanum",
https://www.fragrantica.com/perfume/Lush/B-Scent-13726.html,B Scent Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.13726.jpg,,"Amalfi Lemon, Fennel, Bergamot, Rose, Lavender, Jasmine, Sandalwood, Musk, Ylang-Ylang",
https://www.fragrantica.com/perfume/Lush/Hiccup-108318.html,Hiccup Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.108318.jpg,,"Bergamot, Woody Notes",
https://www.fragrantica.com/perfume/Lush/Sticky-Dates-88995.html,Sticky Dates Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.88995.jpg,,"Caramel, Benzoin, Sandalwood",
https://www.fragrantica.com/perfume/Lush/Fantabulosa-56378.html,Fantabulosa Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.56378.jpg,"Banana, Chamomile","Seaweed, Labdanum","Oakmoss, Violet Leaf"
https://www.fragrantica.com/perfume/Lush/Lemony-Flutter-97228.html,Lemony Flutter Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.97228.jpg,,"Litsea Cubeba, Lime, Marigold",
https://www.fragrantica.com/perfume/Lush/Snow-Fairy-22741.html,Snow Fairy Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.22741.jpg,,"Pear, Cotton Candy, Sweet Notes, Vanilla, Cherry",
https://www.fragrantica.com/perfume/Lush/Cocktail-13715.html,Cocktail Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.13715.jpg,,"Ylang-Ylang, Lavender, Geranium, oak moss, Jasmine, African Orange Flower, Bergamot, Sandalwood, Citruses, Cinnamon, Rose",
https://www.fragrantica.com/perfume/Lush/Karma-4367.html,Karma Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.4367.jpg,"Orange, Lemongrass, Lavender","Pine Tree, Lemon, Cassis","Patchouli, Fir Resin, elemi, Cinnamon"
https://www.fragrantica.com/perfume/Lush/Karma-112789.html,Karma Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.112789.jpg,,"Brazilian Orange, Patchouli, Pine",
https://www.fragrantica.com/perfume/Lush/Guardian-of-The-Forest-62542.html,Guardian of The Forest Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.62542.jpg,Cypress,Palisander Rosewood,Oakmoss
https://www.fragrantica.com/perfume/Lush/Pink-62555.html,Pink Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.62555.jpg,,,
https://www.fragrantica.com/perfume/Lush/Keep-It-Fluffy-64642.html,Keep It Fluffy Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.64642.jpg,,"Ylang-Ylang, Musk, Vanilla, Orris Root, Rose, Jasmine",
https://www.fragrantica.com/perfume/Lush/Chelsea-Morning-97106.html,Chelsea Morning Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.97106.jpg,,"Toffee, Lemon, Vanilla, Tonka Bean, Fenugreek, Myrtle",
https://www.fragrantica.com/perfume/Lush/The-Bug-17622.html,The Bug Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.17622.jpg,,"elemi, Galbanum, Black Pepper, Labdanum, Sandalwood, Tonka Bean",
https://www.fragrantica.com/perfume/Lush/Hellstone-17624.html,Hellstone Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.17624.jpg,,"Cumin, Vetiver, Beeswax, Ambrette (Musk Mallow)",
https://www.fragrantica.com/perfume/Lush/Magic-of-Christmas-97637.html,Magic of Christmas Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.97637.jpg,,"Cinnamon, Resins, Grapefruit, Petitgrain",
https://www.fragrantica.com/perfume/Lush/Plum-Rain-Body-Spray-57033.html,Plum Rain Body Spray Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.57033.jpg,"Mandarin Orange, Plum",Petitgrain,Osmanthus
https://www.fragrantica.com/perfume/Lush/Grassroots-58190.html,Grassroots Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.58190.jpg,,"African Geranium, Madagascar Vanilla, Ylang-Ylang, Palisander Rosewood",
https://www.fragrantica.com/perfume/Lush/Lily-Savon-63324.html,Lily Savon Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.63324.jpg,,"Neroli, Jasmine, Ylang-Ylang",
https://www.fragrantica.com/perfume/Lush/Princess-Peach-83161.html,Princess Peach Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.83161.jpg,,"Peach, Pineapple, Orange Oil, Litsea Cubeba, Olibanum, Champaca, Buchu or Agathosma",
https://www.fragrantica.com/perfume/Lush/Butterball-53105.html,Butterball Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.53105.jpg,,"Powdery Notes, Chocolate, Sugar, Ylang-Ylang, Musk",
https://www.fragrantica.com/perfume/Lush/Vegan-Leather-Jacket-107557.html,Vegan Leather Jacket Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.107557.jpg,,"Tobacco, Cloves, Tonka Bean, Vetiver",
https://www.fragrantica.com/perfume/Lush/Let-The-Good-Times-Roll-60072.html,Let The Good Times Roll Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.60072.jpg,,"Butter, Caramel, Popcorn, Cinnamon",
https://www.fragrantica.com/perfume/Lush/Betel-97195.html,Betel Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.97195.jpg,,"Mango Tree, Davana, Anise, Jasmine, Coriander",
https://www.fragrantica.com/perfume/Lush/Goddess-55530.html,Goddess Lush,Lush,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.55530.jpg,,"Agarwood (Oud), Osmanthus, Jasmine, Sandalwood, Floral Notes, Powdery Notes, Rose",
https://www.fragrantica.com/perfume/Lush/Brown-63224.html,Brown Lush,Lush,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.63224.jpg,,,
https://www.fragrantica.com/perfume/Lush/25-43-17296.html,25:43 Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.17296.jpg,,"Lime, Lemongrass, Caramel, Vanilla, Tonka Bean, Hay, Ylang-Ylang, Myrtle",
https://www.fragrantica.com/perfume/Lush/Chelsea-Morning-97106.html,Chelsea Morning Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.97106.jpg,,"Toffee, Lemon, Vanilla, Tonka Bean, Fenugreek, Myrtle",
https://www.fragrantica.com/perfume/Lush/Avocado-Co-Wash-59340.html,Avocado Co-Wash Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.59340.jpg,,"Bergamot, Olibanum, Incense",
https://www.fragrantica.com/perfume/Lush/Calacas-22740.html,Calacas Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.22740.jpg,,"Lime, Sweet Notes, Neroli, Olibanum",
https://www.fragrantica.com/perfume/Lush/Honey-I-Washed-The-Kids-62550.html,Honey I Washed The Kids Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.62550.jpg,,"Toffee, Honey, Caramel, Vanilla, Brazilian Orange, Bergamot",
https://www.fragrantica.com/perfume/Lush/Magic-of-Christmas-97637.html,Magic of Christmas Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.97637.jpg,,"Cinnamon, Resins, Grapefruit, Petitgrain",
https://www.fragrantica.com/perfume/Lush/Rose-Jam-2019-63243.html,Rose Jam 2019 Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.63243.jpg,"Turkish Rose, Rose Oil, Marmalade","Lemon, Spicy Notes",Geranium
https://www.fragrantica.com/perfume/Lush/Mossy-Bottom-103114.html,Mossy Bottom Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.103114.jpg,,"Bergamot, Sandalwood, Neroli",
https://www.fragrantica.com/perfume/Lush/Big-10801.html,Big Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.10801.jpg,,"Neroli, African Orange Flower, Vanille, Mandarin Orange",
https://www.fragrantica.com/perfume/Lush/Sticky-Dates-88995.html,Sticky Dates Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.88995.jpg,,"Caramel, Benzoin, Sandalwood",
https://www.fragrantica.com/perfume/Lush/B-Scent-13726.html,B Scent Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.13726.jpg,,"Amalfi Lemon, Fennel, Bergamot, Rose, Lavender, Jasmine, Sandalwood, Musk, Ylang-Ylang",
https://www.fragrantica.com/perfume/Lush/Fantabulosa-56378.html,Fantabulosa Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.56378.jpg,"Banana, Chamomile","Seaweed, Labdanum","Oakmoss, Violet Leaf"
https://www.fragrantica.com/perfume/Lush/Smell-of-Freedom-Part-3-Oudh-Heart-13722.html,Smell of Freedom Part 3: Oudh Heart Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.13722.jpg,,"Olibanum, Iris, Sandalwood, Agarwood (Oud), Cedar",
https://www.fragrantica.com/perfume/Lush/The-Bug-17622.html,The Bug Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.17622.jpg,,"elemi, Galbanum, Black Pepper, Labdanum, Sandalwood, Tonka Bean",
https://www.fragrantica.com/perfume/Lush/Rose-Jam-2012-22221.html,Rose Jam 2012 Lush,Lush,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.22221.jpg,,"Rose, Tonka Bean, Lemon, Geranium",
