url,product_name,brand_name,target_gender,image_url,top_notes,middle_notes,base_notes
https://www.fragrantica.com/perfume/Montblanc/Femme-Individuelle-843.html,Femme Individuelle Montblanc,Montblanc,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.843.jpg,"Pink Pepper, Red Currant, Bay Leaf","Rose, Lotus, Hawthorn","Patchouli, Vanilla, Amber, Musk"
https://www.fragrantica.com/perfume/Montblanc/Femme-de-Montblanc-833.html,Femme de Montblanc Montblanc,Montblanc,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.833.jpg,"Cinnamon, Cardamom, Pineapple, Bergamot","Heliotrope, Turkish Rose, Orange Blossom, Jasmine","Dark Chocolate, Patchouli, Amber, Raspberry, Musk, Peach, Vetiver"
https://www.fragrantica.com/perfume/Montblanc/Individuel-4193.html,Individuel Montblanc,Montblanc,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.4193.jpg,"Lavender, Cinnamon, Pineapple, Juniper Berries, Mint, Bergamot, Cardamom, Rosemary, Coriander","Orange Blossom, Violet, Geranium, Jasmine","Raspberry, Vanilla, Sandalwood, Dark Chocolate, Musk, Amber, Patchouli, Vetiver, Oakmoss"
https://www.fragrantica.com/perfume/Montblanc/Legend-11784.html,Legend Montblanc,Montblanc,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.11784.jpg,"Lavender, Pineapple, Bergamot, Lemon Verbena","Red Apple, Dried Fruits, oak moss, Geranium, Coumarin, Rose","Tonka Bean, Sandalwood"
https://www.fragrantica.com/perfume/Montblanc/Extreme-Leather-92398.html,Extreme Leather Montblanc,Montblanc,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.92398.jpg,Leather,Orris,Musk
https://www.fragrantica.com/perfume/Montblanc/Starwalker-4023.html,Starwalker Montblanc,Montblanc,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.4023.jpg,"Bamboo, Bergamot, Mandarin Orange","White Musk, Sandalwood, Cedar","Ginger, Fir Resin, Nutmeg, Amber"
https://www.fragrantica.com/perfume/Montblanc/Emblem-Absolu-44535.html,Emblem Absolu Montblanc,Montblanc,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.44535.jpg,"Pear, Cardamom, Mandarin Orange","Fruits, Honey, Lavender, Pink Pepper","Patchouli, Vetiver, Moss"
https://www.fragrantica.com/perfume/Montblanc/Legend-Pour-Femme-Special-Edition-2014-24973.html,Legend Pour Femme Special Edition 2014 Montblanc,Montblanc,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.24973.jpg,"Bitter Orange, Peony, Litchi","Orange Blossom, Jasmine","Woody Notes, Musk"
https://www.fragrantica.com/perfume/Montblanc/Presence-d-une-femme-831.html,Présence d'une femme Montblanc,Montblanc,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.831.jpg,"Pepper, Mandarin Orange","Orchid, Cyclamen","Brazilian Rosewood, Mahogany, Sandalwood, Patchouli, Vanilla Flower"
https://www.fragrantica.com/perfume/Montblanc/Lady-Emblem-Elixir-42247.html,Lady Emblem Elixir Montblanc,Montblanc,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.42247.jpg,"Litchi, Pepper, Mandarin Orange","Damask Rose, Iris, Jasmine, Orange Blossom","Vanilla, Patchouli, Sandalwood"
