product_name,review_content,review_date,reviewer_name
Acqua di Parma Blu Mediterraneo Bergamotto di Calabria Acqua di Parma,"TWO

Not a go-to for me; this is a report after finishing a 2 ml decant. I picked it up to compare with my all-time summer favorite (Dior Homme Cologne) and a shoulder-season staple (Bergamote 22).

BdC smells great, especially if you like citrus (I do). It is less “iced lemonade” than Dior Homme Cologne and more like the whole fruit.

TL;DR: A photoreal take on an Italian citrus most of us have not smelled in person. Bright citrus-green opening that settles into a light woody-musky hush. Polite, easy, pleasant, but likely to underwhelm on performance, especially projection.

Rating:
Opening: 4.1/5
Drydown: 2.8/5
Overall: 3.5/5

Opening
Fresh-cut bergamot on a board. Knife through peel and pith, oils mist up with a green-bitter spritz. The interior is ripe enough to read a touch sweet. Sweet, acidic, and green at once. The blend is seamless; I do not see edges between the citrus, ginger, and bergamot. Together they paint a convincing bergamot portrait.

The issue: despite smelling fantastic, it lies flat on my skin. Detectable at about two feet, but it does not seem to want to be smelled. Where Dior Homme Cologne leaps off my skin, this is reticent and almost apologetic.

Heart
No distinct heart notes on me; it stays linear. At about 90 minutes I am still getting that beautiful bergamot, just closer to skin.

For a fresh scent, it is oddly dense, like the aroma is bound up in the fruit’s oil and cannot quite escape.

Drydown
The opening thins to skin level around 3-4 hours. By about 4.5 hours it is a soft, slightly creamy (benzoin?) skin-musk.

A faint musk trace sticks around 6-8 hours, but only with your nose on skin. Nice to wake up to, but no one else will notice.

Performance on me
This gets dunked on online for atrocious longevity. On me it is not atrocious, just not great. About 60-90 minutes of a modest aura, then close to skin. 3-4 hours of practical wear on skin. It is a liberal respray fragrance, and because the musky base is light, you can reapply a few times a day without issue.

Versatility
Wearable anywhere because it is so understated. That same understatement means I will not reach for it often, and it will not justify a full bottle. Too flat, too little projection.

Use cases
Patio brunch where you want to smell nice on the first hug. Business meetings where you want to be pleasant but not noticed as the cologne person. Around home when you want a quiet scent for yourself.

Vibe
Crisp white tee, rolled-sleeve linen, top down on a windy coastal road in a posh red roadster. Polished, sunny, approachable.

Blind-buy safe?
If you like citrus, yes. If you crave projection, no. This is about scent quality, not horsepower.

Comparisons
- **Dior Homme Cologne (2020):** More acidic up top, the famous iced lemonade vibe. BdC smells more like an actual fruit. DHC projects better in the first hour; BdC sits closer but can linger longer as a skin trace.
- **Bergamote 22:** Similar green-bergamot aura, but B22 is brighter from grapefruit and offers a proper second chapter with its vetiver-forward drydown.

Overall take
Bergamotto di Calabria smells wonderful up front, juicy citrus that reads like the whole fruit: bitter skin and sweet juice. It is sheer, not a statement. You will smell pleasant; people around you may not notice. The rub is not just longevity, which is average for a citrus, but the flat projection while it is there.

I like the scent, but with Bergamote 22 and Dior Homme Cologne on my shelf, it is redundant. I would love a cheaper replacement for B22, given it begs liberal resprays.

Context: Four sprays on a warm day (two wrists). Indoors in a warm room, likely less projection and a slightly longer tail. Sprayed on moisturized skin.",09/11/25 13:13,joelajackson
Acqua di Parma Blu Mediterraneo Bergamotto di Calabria Acqua di Parma,Divine lemon opening. More floral and unisex drydown but still beautiful scent. Longevity and projection are not notoriously bad as some people say but the truth is you have to overspray which is not a very big problem as you can get a big bottle relatively cheap. The only downside is that you can get some whiffs of synthetic cleaning product smell from time to time but it is not offensive. Other than that quality is great. My first aqua di Parma and given that is not the most popular i can’t wait to try more. 8/10 easy !,08/11/25 05:43,Ikg90
Acqua di Parma Blu Mediterraneo Bergamotto di Calabria Acqua di Parma,"Can AdP make a mediocre scent? I think not. So far Mandorlo di Sicilia is the least liked AdP I have smelled, and that is a pretty nice scent. Coming to this scent, bergamot is such a common note yet there's a lot different smelling notes. Anyway, BdC (Bergamotto di Calabria in this review, not Bleu de Chanel) is a scent I really liked. It is quite similar to Mancera Lemon Line, which too I like. The big difference is that Mancera lists lemon but no bergamot, yet smells suspiciously similar initially. The Mancera lasts longer, but the BdC smells nicer, more natual.

Now there's a host of products from insect repellents/bug sprays to floor disinfectants to room freshers that have a similar smelling perfume component so many might be put off by those less ""luxury"" oriented products having similar odor - but if you're willing to see, or smell, past that, this BdC is a beautiful scent.

Longevity is okayish being an EDT concentration scent. Projects well initially, but seems like a skin scent in 2 hrs or less, nothing unusual as that's the case with most EDTs/EDPs from the past 20 years or so.",07/27/25 09:32,Icyspicy
Acqua di Parma Blu Mediterraneo Bergamotto di Calabria Acqua di Parma,"Today, I'm diving into the final sample I possess from Acqua di Parma's Blu Mediterraneo collection: Bergamotto di Calabria. Based purely on its name, I'm anticipating that bergamot will be the undeniable star of this olfactory journey. While I certainly appreciate bergamot—it's a widely utilized note for very good reason—it's not typically a note I actively seek out in fragrances I ultimately acquire. However, with it poised as the focal point here, I'm hoping for a truly exceptional representation of the note. Will this offering surpass my experience with yesterday's Arancia di Capri? Let's get into it and find out.


Opening:
The opening is a luminous burst of radiant citrus, crisp spiciness, and invigorating freshness. The primary notes that immediately greet my senses are bergamot, citron, ginger, and musk. Bergamot and citron are the undeniable protagonists. The bergamot, as one might instinctively imagine, is the commanding presence in this initial accord. It delivers a citrus vibrancy, underscored by that hallmark aromatic spiciness one expects from a bergamot note, though perhaps not quite as pronounced as some other iterations I've encountered. Following closely is the citron, which amplifies the citrus with a distinctly brighter and zestier character, also carrying with it a subtle hint of rindiness. Next, ginger and musk join the composition. The ginger presents itself as a fresh and invigorating spicy accord, artfully counterbalancing the abundance of citrus-forward notes. Lastly, a whisper of musk lingers in the background, offering a fresh, almost fuzzy tonality, reminiscent of that clean ""fresh laundry"" essence musk can sometimes possess.


Dry Down:
The dry down continues the journey, evolving into a composition that is still predominantly citrusy, distinctly aromatic, and gently woody. The primary notes I discern are bergamot, citron, vetiver, and musk. Bergamot and citron remain the highlights in the dry down. The bergamot still commands attention, retaining its core citrusy accord, but it has become noticeably more aromatic and spicy than it was in the opening. The citron continues its supportive role to the bergamot, offering the same bright and zesty citrus quality, though it now feels rounder and smoother than in its initial presentation. This enduring citrus heart is then joined by vetiver and musk. The vetiver subtly emerges in the dry down, providing a delicate woodiness, beautifully accentuated by a hint of that ""fresh grass"" accord that vetiver notes sometimes carry. Lastly, the musk continues to provide a touch of clean freshness in the background, echoing its presence from the opening.


Performance:
The initial projection is moderate to strong, extending its aura approximately three to four feet. Sillage mirrors this, leaving a scent trail that is certainly noticeable but never overpowering. However, by the three-hour mark, the fragrance had largely receded to a mere whisper on the skin. There was a faint, almost ethereal projection and scent trail, but not enough to truly register.


When to Wear:
Bergamotto di Calabria, as its character suggests, is undeniably a spring and summer fragrance, ideally suited for daytime wear. It possesses an effortless, easy-going vibe, making it a perfect companion for casual outings, any activity enjoyed under the sun, or even a refreshing choice for the gym. Due to that casual nature, I wouldn't consider it appropriate for anything formal or for typical office wear, where a more refined presence might be desired.


Blind Buy:
If you are a devoted admirer of bergamot or simply appreciate bright and invigorating fresh fragrances in general, Bergamotto di Calabria would certainly be worth exploring. Just bear in mind that its fleeting nature means you'll likely need to reapply it if you wish to enjoy its charms throughout the day.


Final Verdict:
What can I truly say about Bergamotto di Calabria? It was, without a doubt, a fresh and vibrant fragrance, with an emphasis on its namesake note. As I've expressed before, bergamot isn't a note that consistently sends me into raptures, and I honestly don't feel that the bergamot in this particular fragrance did anything radically different or groundbreaking compared to other iterations I've encountered. It smells undeniably pleasant, yet it offers nothing particularly special or memorable. My significant disappointment, however, stems from the fact that this fragrance suffers from the exact same Achilles' heel that plagued Arancia di Capri: its performance is notably lackluster. By the time I truly settled in to appreciate the nuances of its dry down, it had already receded to a mere whisper on the skin, making it challenging to discern the individual notes. At least Arancia di Capri, despite its brevity, left me with a truly captivating opening. Needless to say, this is not a fragrance I will be considering for a full bottle purchase. Next on my agenda is the celebrated Colonia line from Acqua Di Parma. It's a collection that enjoys considerable recognition and discussion, and I am earnestly hoping it leaves a more impactful and lasting impression than my experiences with the Blu Mediterraneo line have.


Scent: 7/10
Longevity: 5/10
Sillage: 5/10
Mass Appeal: High
Versatility: Average
Gender: Unisex, leaning masculine
Value: Way overpriced",07/25/25 19:18,TheDogfatherHTX
Acqua di Parma Blu Mediterraneo Bergamotto di Calabria Acqua di Parma,Seems like it was some kind of funny green scent…,07/18/25 05:31,korngoldo
Acqua di Parma Blu Mediterraneo Bergamotto di Calabria Acqua di Parma,"Holy F*** I love this fragrance to death. It’s my top 5 for sure. I like lemon fragrances a lot.

Aqua di parma blew this one out of the park. I’m overspraying this everyday for summer.

It may not have longevity or protection so BEWARE. there are other better lemon freshies.

Better projections Citruses would be Eros Energy or Light blue Forever. Or Terre D’Herme. Roja Burlington 1819.",07/05/25 05:42,bigboipascal
Acqua di Parma Blu Mediterraneo Bergamotto di Calabria Acqua di Parma,"Gorgeous and very realistic aroma of lemon and bergamot with a slight note of cedar and musk. Truly a summer masterpiece.
Stays on the skin for about five minutes tho.
This could have been my favourite summer fragrance if not the terrible performance. The first perfume in my memory for which a half litre capacity would be justified.",07/03/25 05:58,SpitOnTheWall
Acqua di Parma Blu Mediterraneo Bergamotto di Calabria Acqua di Parma,"This has been my most used fragrance by far this summer. The scent itself is quite simple and linear, however that is just as much of an upside as it is a downside - you can apply this mindlessly in nearly any summer setting and you'll be fine. My only 2 issues with the fragrance are the high retail price and terribly weak performance, however ADP bottles are regularly available for significantly under retail (I bought my 150ml bottle for 95 CAD, or ~70 USD), which makes any qualms I have easily forgivable.",06/20/25 14:03,bigakh
Acqua di Parma Blu Mediterraneo Bergamotto di Calabria Acqua di Parma,I have a 1oz bottle if anyone’s interested. I bought it by mistake and it can’t be returned,05/22/25 11:58,Arlene_witha_Y
Acqua di Parma Blu Mediterraneo Bergamotto di Calabria Acqua di Parma,I once wished i could smell like lemon sherbet. The dream came true,05/09/25 10:21,damomoto
Acqua di Parma Blu Mediterraneo Bergamotto di Calabria Acqua di Parma,"I absolutely love the opening as it is an incredibly well done citrus/bergomot opening. If it could just stay that way it would be phenominal. As it starts drying down, those wonderful notes give way to a flowery bouquet and ginger and gets incredibly weaker fast. I don't know if my skin hates this or what but all but disappears within an hour or two.",04/28/25 22:56,Killsocket
Acqua di Parma Blu Mediterraneo Bergamotto di Calabria Acqua di Parma,"One of the best smelling fragrances and best bergamot scent ever. There is always a trade off with natural smelling notes and performance. Being the best smelling scent in its category will have the obvious trade off of non-beast performance.

That said I believe most people go nose blind to fragrances early on, it doesnt last ""30 minutes"". I get 6 hours of a soft projecting heavenly scent.

Generally speaking natural notes have weak performance, it has to be enhanced by synthetics which will change the scent so its a compromising battle between the 2.

I own many ADP frags (more than any other house) and I do so for their scents (which I think is the best smell to cost ratio)",04/04/25 04:44,arsenal01
Acqua di Parma Blu Mediterraneo Bergamotto di Calabria Acqua di Parma,"Opening is glorious .
Who loves citrus in fragrances this is for you .
The only problem for me is that it transforms later to a very sweet orange smell wich i dont like so prominent. I like it but not enough to get another bottle.",03/24/25 16:27,Parfume1
Acqua di Parma Blu Mediterraneo Bergamotto di Calabria Acqua di Parma,"It smells amazing. I love this scent because of it’s fresh and happy character. For me based on smell it’s a 10/10. But its biggest problem is the longevity , the amazing opening smell lasts for like 40 minutes. I’d describe this scent as a bergamot sorbet but in a good way. The longetivity is a shame.",03/12/25 01:42,Lukas_scents22
Acqua di Parma Blu Mediterraneo Bergamotto di Calabria Acqua di Parma,"quite a nice sharp citron opening, really addictive but poor underwhelming longevity, nice enough to get a small decant and just reapply during the day though",03/05/25 13:39,sssaaammm
Acqua di Parma Blu Mediterraneo Bergamotto di Calabria Acqua di Parma,"So this is an interesting scent
I tried it and fell in love with the scent
Its a nice citrusy clean fresh fragrance
Safe blind buy i reccomend it
9.5/10",03/02/25 01:47,Bobi_MTB
Acqua di Parma Blu Mediterraneo Bergamotto di Calabria Acqua di Parma,"Smells fresh and expensive.
Ideal day time summer scent.
I'm on my third bottle, so one could say I like it a lot. 😊",12/30/24 03:04,St. John
Acqua di Parma Blu Mediterraneo Bergamotto di Calabria Acqua di Parma,"10 minutes of heavenly citrus experience which somehow I find to be zingy, fizzy, almost boozy tonic-like! Which is surprisingly pleasant... only to fade rather quick and turn to become more fresh-spicy, ginger-focused average cologne, that is somewhat uninspiring. I'd probably keep spraying for the opening though, it's to die for.",12/20/24 05:42,vadlee1995
Acqua di Parma Blu Mediterraneo Bergamotto di Calabria Acqua di Parma,This is my go-to summer scent! It's so fresh and bright thanks to the bergamot and citron. The ginger adds a subtle kick that makes it really interesting.,12/19/24 12:22,Riya2
