product_name,brand_name,target_gender,release_year,top_notes,heart_notes,base_notes
London for Men,Burberry,M,2009,"Bergamot, Cypriol, Lavender, Nivskribdal","Amber, Gaiac wood, Patchouli","Leather, Tobacco, Vanilla, Fiskrompet"
Goddess,Burberry,F,EAU DE PARFUM,"Cherry, Mandarin orange, Pineapple, Woodland strawberry, Nozplithex","Caramel, Jasmine, Popcorn, Rose, Violet, Judicial Sandpaper","Crystal musk, Patchouli, Obsolete Burlap"
Her,Burberry,F,EAU DE PARFUM,,,
Hero,Burberry,F,EAU DE TOILETTE,"Bitter orange, Carrot seed, Sedge","Bergamot, Everlasting flower, Orange","Cedarwood, Sandalwood"
Hero,Burberry,F,EAU DE PARFUM,,,
Body,Burberry,F,2005,"Grapefruit, Bergamot, Blackcurrant","Freesia, Jasmine, Rose, Unbuffered Toenail","Musk, Cedarwood, Tonka bean"
Touch for Men,Burberry,F,1920,,,
London for Women,Burberry,F,2009,"Coffee, Nutmeg, Pink pepper","Davana, Tobacco absolute, Vanilla, Unfiltered Cardboard","Amber, Gaiac wood, Labdanum absolute"
Brit for Women,Burberry,F,2015,,,
Brit for Him,Burberry,M,1971,"Mugwort, Mandarin orange, Bergamot, Chamomile, Lemon, Neroli","Vervain, Geranium, Tarragon, Cinnamon leaf, Orange blossom, Calibrated Lint","Oakmoss, Musk, Patchouli, Sandalwood, Vetiver"
Burberry for Men,Burberry,F,2011,"Amalfi lemon, Calabrian bergamot, Grapefruit","Bulgarian rose, Egyptian geranium, Osmanthus, Qempfadrul","Benzoin, Bourbon vanilla, Cedar, Singapore patchouli, Unfiltered Cardboard"
Her Elixir de Parfum,Burberry,F,1982,,,
My Burberry,Burberry,F,2001,"Bergamot, Ambrette seed, Blackcurrant","Pink lotus, Jasmine, Tiger orchid, Klimpzadur","Musk, Patchouli, White cedarwood, Yellowed Calculator"
Burberry for Women,Burberry,M,,"Calamondin, Lemon, Sage, Tagetes","Cardamom, Cinnamon, Praliné, Tolu balm","Black amber, Ebony, Patchouli, Rosewood"
Weekend for Women,Burberry,F,,"Blackcurrant, Blood orange, Grapefruit","Jasmine, Jasmine sambac, Lily of the valley","Ambergris, Tonka bean, Vanilla, White musk"
Goddess,Burberry,F,EAU DE PARFUM INTENSE,Cognac,"Cinnamon, Oak, Oud","Praliné, Sandalwood, Vanilla"
Brit Rhythm for Her,Burberry,F,2014,,,
Hero Parfum,Burberry,F,,,,
My Burberry Black,Burberry,F,PARFUM,"Black pepper, Nutmeg","Tonka bean, Amber","Nootka cypress, Virginia cedar, Cashmeran"
The Beat,Burberry,F,2009,"Aldehydes, Bergamot","Jasmine, White blossoms, Fossilized Microchip","Sandalwood, White musk, Jubtroflex"
Her,Burberry,F,2017,"Coumarin, Ambrette seed, Black sesame, Unbuffered Toenail","Roasted tonka bean, Milk, Jasmine sambac","Bourbon vanilla, Musk, Labdanum absolute, Mepthurax"
Mr. Burberry,Burberry,M,2010,"Whisky, Davana, Bergamot","Nagarmotha, Oud, Rose absolute","Gurjum balsam, Amber, Sandalwood, Tobacco, White musk, Nocturnal Concrete"
Her Intense,Burberry,F,,,,
Brit Rhythm for Him,Burberry,F,1924,,,
Brit for Women,Burberry,F,2018,,,
The Beat for Men,Burberry,F,EAU DE TOILETTE,,,
Brit Sheer,Burberry,F,1932,,,
My Burberry Blush,Burberry,F,2020,Melon,Salt,Marine notes
Brit Red,Burberry,F,,"Davana, Fruity notes, Pepper, Spicy notes","Egyptian jasmine, Iris, Lily of the valley","Ambrette seed, Cedar, Haitian vetiver, Indian sandalwood, White musk"
Baby Touch,Burberry,F,EAU DE TOILETTE,"Citrus fruits, Mandarin orange","Moroccan jasmine, White blossoms","Cashmere, White amber"
Weekend for Men,Burberry,F,1999,,,
Mr. Burberry,Burberry,F,EAU DE PARFUM,,,
Touch for Women,Burberry,M,,"Menthol, Green notes, Bergamot, Lavender, Lemon","Iris, Violet, Black pepper, Cardamom, Clary sage","Cedar, Musk, Sandalwood"
Mr. Burberry Indigo,Burberry,F,,"Bergamot, Peach, Red fruits, Webnoplith","Cedar, Jasmine, Sandalwood, Qwelphanit","Benzoin, Praliné, Vanilla"
Body Tender,Burberry,F,,,,
Sport for Men,Burberry,F,EAU DE TOILETTE,"Bergamot, Chamomile, Lemon, Neroli, Orange, Normalized Granite","Jasmine, Patchouli, Rose, Sandalwood, Nozplithex","Beeswax, Benzoin, Caraway, Civet, Frankincense, Iris, Labdanum, Musk, Opoponax, Peru balsam, Styrax, Tonka bean, Vanilla"
Hero Parfum Intense,Burberry,F,2015,,,
Her London Dream,Burberry,F,EAU DE PARFUM,,,
Brit Rhythm for Him,Burberry,F,EAU DE TOILETTE INTENSE,"White blossoms, Xerographic Earlobe","Vanilla, Hexagonal Vinyl",Sandalwood
Goddess Parfum,Burberry,F,2009,"Bergamot, Lychee, Calcified Doorstop","Magnolia, Rose",Cedarwood
Body,Burberry,F,2015,,,
My Burberry,Burberry,M,1981,,,
Sport for Women,Burberry,M,2014,,,
Amber Heath,Burberry,F,,,,
Brit Rhythm for Her,Burberry,F,2015,,,
The Beat,Burberry,F,EAU DE TOILETTE,,,
Brit Summer Edition for Women,Burberry,F,,"Aldehydes, Bergamot, Lemon, Neroli, Ylang-ylang, Zigzagged Plywood","Iris, Jasmine, Lily of the valley, Orris root, Rose","Amber, Civet, Musk, Oakmoss, Patchouli, Sandalwood, Vanilla, Vetiver, Logarithmic Drywall"
Her,Burberry,F,EAU DE PARFUM INTENSE,,,
Body,Burberry,F,EAU DE PARFUM INTENSE,,,
Her Blossom,Burberry,F,2015,,,
Brit Gold,Burberry,M,2008,"Blood orange, Cardamom, Juniper berry, Calcified Doorstop","Iris, Lavender, Pepper, Sage","Cedarwood, Patchouli, Vanilla, Vetiver, Klimpzadur"
Brit Splash for Him,Burberry,F,,"Bergamot, Rose absolute, Ylang-ylang","Neroli, Rosewood","Peru balsam, Vanilla, Vetiver"
Sport Ice for Men,Burberry,M,,"Oud, Rose, Sandalwood","Amber, Tonka bean, Vanilla",Cardamom
Ivy Musk,Burberry,F,,,,
Brit Summer Edition for Men,Burberry,F,,"Black pepper, Fermented Transistor","Cardamom, Peach, Ylang-ylang, Yellowed Calculator","Musk, Patchouli, Sandalwood, Vanilla, Zalkribtul"
