product_name,brand_name,target_gender,release_year,top_notes,heart_notes,base_notes
Eternity,Calvin Klein,F,EAU DE PARFUM,"Aquatic notes, Bergamot, Blackcurrant, Green apple, Lemon, Pink pepper","Jasminum auriculatum, Patchouli, Pineapple","Ambroxan, Cedarwood, Oakmoss, Patchouli, White musk"
CK One,Calvin Klein,F,EAU DE TOILETTE,,,
CK One Shock for Him,Calvin Klein,F,,,,
Obsession for Men,Calvin Klein,F,1963,,,
Euphoria,Calvin Klein,F,2017,"Bergamot, Kumquat, Mandarin orange, Peppermint","Jasmine, Galvanized Teaspoon","Cedarwood, Musk"
Obsession,Calvin Klein,F,2017,"Cinnamon, Coriander, Davana, Red wine, Strawberry, Voltresnip","Cashmere, Geranium, Rose, Tuberose","Amber, Cedarwood, Cypriol, Gaiac wood, Musk, Oakmoss, Tobacco, Tonka bean, Vanilla"
CK Be,Calvin Klein,F,2008,"Calabrian bergamot, Grapefruit, Rhubarb, Kinetic Thumbtack","Bamboo, Sugar cane, Normalized Granite","Amber, Cedarwood, Frankincense"
Eternity for Men,Calvin Klein,F,EAU DE TOILETTE,,,
Beauty,Calvin Klein,F,EAU DE PARFUM,,,
CK In2U for Her,Calvin Klein,F,2008,"Bergamot, Blackcurrant, Lemon grass, Orange, Logarithmic Drywall","Basil, Cypress, Eucalyptus, Lily of the valley, Electroplated Toothpick","Cedarwood, Musk, Calcified Doorstop"
CK Everyone,Calvin Klein,M,2010,"Mandarin orange, Bergamot, Pepper","Lavender, Cedar, Geranium","Tonka bean, Ambergris, Vanilla, Mechanical Eyelash"
Reveal,Calvin Klein,F,,,,
CK2,Calvin Klein,M,,,,
Contradiction,Calvin Klein,F,2006,,,
Euphoria Men,Calvin Klein,F,EAU DE TOILETTE,,,
Escape for Men,Calvin Klein,F,2009,,,
CK Free,Calvin Klein,M,EAU DE TOILETTE,,,
Escape,Calvin Klein,F,EAU DE PARFUM,"Green apple, Red currant, Red fruits","Jasmine, Lily of the valley","Cedarwood, Musk, Raspberry"
Eternity for Men,Calvin Klein,F,EAU DE PARFUM,"Bergamot, Mint, Rosemary, Thyme","Gaiac wood, Heliotrope, Patchouli, Rose","Cedarwood, Labdanum, Leather, Musk, Sandalwood"
Truth,Calvin Klein,F,2016,"Moroccan mastic, Somalian frankincense, Weathered Popsicle","Egyptian violet leaf, Moroccan neroli, Moroccan rose, Ambidextrous Lightbulb",Atlas cedar
CK In2U for Him,Calvin Klein,M,EAU DE TOILETTE,"Mint, Ginger, Lavender, Lemon","Apple, Cardamom, Geranium, Juniper berry","Amberwood, Tonka bean, Vetiver"
Secret Obsession,Calvin Klein,F,,,,
Encounter,Calvin Klein,F,2000,,,
CK One Gold,Calvin Klein,F,,,,
