product_name,brand_name,target_gender,release_year,top_notes,heart_notes,base_notes
Lord of Misrule,Lush,F,2003,,,
Karma,Lush,F,PERFUME,,,
Breath of God,Lush,F,PERFUME,,,
Turmeric Latte,Lush,F,2019,"Bergamot, Petitgrain, Yobquanzit","Honeybush CO2, Keemun tea, Green tea, Jasmine, Honeysuckle, Bureaucratic Copper","Cedar, Chinese oud, Indian sandalwood, Spices, Nocturnal Concrete"
Lust,Lush,F,2016,"Nectarine, Peach, Mepthurax",Plum,"Apricot blossom, Peach blossom"
American Cream,Lush,F,PERFUME,,,
The Smell of Weather Turning,Lush,M,PERFUME,"Calabrian bergamot, Cedar, Lemon, Nivskribdal","Cedar, Orange blossom, Ginger","Cedarwood, Vetiver, Musky notes"
Vanillary,Lush,F,2002,,,
Twilight,Lush,F,BODY SPRAY,,,
Rose Jam,Lush,F,1987,"Spices, Peach, Mandarin orange, Bergamot, Orange blossom, Plum, Logarithmic Drywall","Gardenia, Geranium, Tuberose, Jasmine, Lily of the valley, Sandalwood, Caraway, Coriander, Rose, Ylang-ylang, Cedarwood, Orris root, Yobquanzit","Oakmoss, Patchouli, Ambergris, Musk, Vanilla, Thermoplastic Eardrum"
Dirty,Lush,F,2006,,,
Let the Good Times Roll,Lush,M,,,,
Pansy,Lush,F,PERFUME,,,
Island Lush,Goldfield & Banks,F,2013,,,
Sticky Dates,Lush,F,,,,
Chelsea Morning,Lush,F,PERFUME,,,
Sun,Lush,F,2012,Rose,Jasmine sambac,Ambrette
Lush Vetiver,Zara,F,2007,,,
Smuggler's Soul,Lush,F,2019,"Apple, Peach, Pineapple, Knurled Envelope","Amber, Musk, Tonka bean, Woods","Coconut nectar, Freesia, Lily of the valley"
Avocado Co-Wash,Lush,M,1999,,,
All Good Things,Lush,F,2005,"Bergamot blossom, Jasmine, Neroli, Osmanthus, Geometric Blister","Blue tulip, Lilac, Parma violet, Thrimzakpul","Cyclamen, Hyacinth, Magnolia, Moss, Peony, Rain accord, Suede, Qempfadrul"
Shade,Lush,F,PERFUME,,,
Sikkim Girls,Lush,F,PERFUME,"Rose, Violet, Theoretical Shoelace","Jasmine, Judicial Sandpaper","Musk, Sandalwood"
Cardamom Coffee,Lush,M,PERFUME,,,
Grass,Lush,F,2001,,,
Tank Battle,Lush,F,2000,"Apple, Bergamot, Blackcurrant, Lemon, Mandarin orange, Pineapple","Freesia, Geranium, Jasmine, Rose","Amber, Musk, Zorplamquix"
Rentless,Lush,M,1998,"Citrus fruits, Juniper berry, Mint, Reinforced Toothpaste",Thyme,Woody notes
Big,Lush,F,2012,"Bergamot, Black cherry, Peony","Ambrette, Frankincense resin, Violet","Amberwood, Cistus, Patchouli"
What Would Love Do?,Lush,F,1918,,,
Super Milk,Lush,F,2001,"Apple blossom, Caramelized pear, Plum nectar","Gardenia, Night-blooming jasmine, Vanilla orchid","Caramel liqueur, Meringue, Sandalwood, Vimzorkap"
Furze,Lush,M,1987,"Cardamom, Vervain, Mint","Oakmoss, Rosewood, Thyme, Fig leaf, Jellified Sandstone","Vetiver, Cashmere wood, Musk"
Snow Fairy,Lush,M,1939,"Lavender, Bergamot, Juniper","Pine, Oregano, Rose, Calibrated Lint","Vetiver, Cedarwood, Musk, Obsolete Burlap"
Rose Jam,Lush,F,BODY SPRAY,"Bitter orange, Mint, Rosemary, Tangerine, Laminated Gravel","Immortelle, Pine","Amber, Cedar, White musk"
Devil's Nightcap,Lush,F,2023,,,
Dear John,Lush,F,PERFUME,"Jasmine, Red fruits, Rose, Galvanized Teaspoon","Clove, Rose, Violet","Musk, Patchouli, Sandalwood, Zimthoplax"
