product_name,review_date,reviewer_name,reviewer_gender,reviewer_total_reviews,helpful_badge,award_count,review_title,review_content
Narcisse,06/22/2023,DogiCoco,F,637,,2,Rhubarb-blackberry lemonade in the green grass,"A delightful fruity green. Even though it's not listed in the notes, this smells so much of rhubarb. The blackberry is also noticeable, but rhubarb even more so. Both are fresh and tart and only slightly sweetened. The fruitiness feels sparkling and almost thirst-quenching. Imagine drinking a homemade berry lemonade on a meadow in the woods and you're close to Herbae. Despite the name, the greenness in this doesn't feel too herbal, it's rather leafy and a little grassy. I'm not sure what nettles really smell like, I'm afraid to sniff them, so I can't say if that note is really there... But I can say that this is a beautiful summer scent with a slight hint of creamy sweetness in the base.

If you want to compare it to other popular fruity scents, this is not as ethereal and sophisticated as a Hermes, but not as sugary as an Escada. It's just uplifting and summery. Strong like, maybe bordering on a love."
Narcisse,10/18/2024,Mikuru,F,10,,1,"Sour and light, too sour and too light","Very light and with nonexistent projection, it immediately presents its green notes ,the a certain kind of sourness and acidity that is definitely fresh, almost citrusy, perhaps given by the nettle (almost similar to a lime). My throat certainly felt like I swallowed a slice of lime. Towards the end it warms up and ironically lets out some ambrette (presumably in the top, I did have to wait twenty minutes or so to perceive it). Sweet fruit undetectable by my nose."
Narcisse,06/07/2022,Blondefcb123,F,8,,23,The Garden of My Grandparents,"Grandpa was always my childhood hero.
We visited my grandparents very often, and he had a beautiful large garden.
In the summer, the flowers bloomed, the lawn smelled fresh after mowing, and the herbs released a wonderful scent. I often stayed in the garden for hours until the sun went down.
Years passed, and unfortunately, Grandma became seriously ill and had to be placed in a nursing home. Grandpa was still fit, so I went shopping with him to distract him. We browsed at L'Occitane, and I sprayed Herbae. Grandpa looked at me: It smells like our garden! You have to buy this scent!
Said and done. I bought this wonderful fragrance. Every time I visited Grandpa, I wore it, and he always got a spritz of it too.
The scent is simply wonderful to me, smelling of herbs, sunshine, and flowers. It smells like Provence on a spring day. The sweet grass comes through beautifully, and the fruits are a must. I even think I perceive raspberries every time.
Time went by, and Grandpa also became a nursing case. During my visits to the nursing home, I sprayed the fragrance, and we reminisced about old times.
Grandpa reached a beautiful age and passed away.
I often think back to our wonderful time together.
Recently, I visited my dear grandparents again at the cemetery. A warm summer breeze blew through my dress-there it was again, Grandpa's garden.
Grandpa is just somewhere else, still present for me. He will always remain in my heart.
How I wish I could be carefree in the garden again, enjoying the summer.
But no one can take my memories away from me, nor the scent.
This fragrance touches me deeply, even though it is actually not my usual scent profile.
If you're looking for a beautiful summer fragrance, you are in the right place here.
Anyone dreaming of summer in Provence, perhaps in a convertible :-) will not be disappointed.
It's great that it is still available to buy at L'Occitane."
Narcisse,06/29/2021,Gingeralena,F,40,HELPFUL REVIEW,8,"If it's not in there, what's on the label","With a name like Herbae, I think of something herbal, very green without much else. All of this is not ""Herbae | L'Occitane en Provence.""
The opening is very fruity; I can already perceive the blackberry alongside the listed bergamot. But not just the fruits, rather the whole bush including the leaves. This makes the scent not sweet, but rather lightly green - fitting for the color of the bottle.
I can also sniff out the sage, which complements the slightly green character very well.
The wild rose takes a back seat.
Sweet grass also joins in, while the musk fluff can only be detected if you sniff very closely.
The scent remains soft, light, and pleasant; it will never be off-putting. It doesn't stand out significantly either (especially since the sillage is quite restrained), but sometimes you don't want that at all, rather just a scent for feeling good.
And that is absolutely ""Herbae | L'Occitane en Provence"" for me.
A lovely everyday companion for the office or leisure time; for a big evening appearance, something more substantial would be in order."
Narcisse,04/17/2025,flordelune,F,1,,3,Spring Air,"Smells to me like riding a bike, freshly showered, with my hair down. Sun on my skin, a breeze of fresh wind, and orange lemonade. Buds are blooming, birds are chirping, and in the air, there’s a sense of a new beginning.

I don’t know how L‘Occitane managed to bottle this scent… I wish the world would smell like this in spring."
Chloé Rose Tangerine,11/10/2025,taroscented,F,39,,0,thin but cozy,"It's a lighter version of By the Fireplace with a bit of Velvet Haze, a softer and fluffier interpretation, clearing the smoke. I smell cloves, but that isn't listed in the notes, probably to distance itself from By the Fireplace.

I have some friends anosmic to Commodity Paper- (iso e super?) and those same friends can't smell this at all either.

I really love this. I have BtF, but sometimes I don't want to smell like smoke, but I do want to smell like chestnut and cacao and spices. I just wish it was a tiny bit stronger and more long lasting!"
"Love, Chloé Eau Florale",05/21/2025,Smirky,M,483,,4,Fruit and more fruit,"Goat opens with a very fruity scent which I attribute to the osmanthus. There is also a sweet milky effect under the fruit. If you've ever had goat milk, it's quite tart; the sweet milk did not bring a goat to mind but more like cow's milk with sugar. The fruity scent hung around for quite some time and gradually morphing to bring in something similar but dryer - probably the cloves and oud. Yes, there was something animalic hiding in the background - what the cumin, leather, costus, fur? - but it was pretty mild. I just couldn't shake the fruity accord and the animalic accord seemed pretty mild. Overall disappointing.

Longevity for me was quite good - got about 10 hours out of Goat. I'm surprised to see the generally lower longevity rating. Projection was moderate."
"Love, Chloé Eau Florale",04/12/2025,Enginqueer,M,8,,1,An ode to the wild hillside.,"This is the most untamed frag ive tried, I've intentionally avoided animalics because its not a profile that appeals to me but was interested enough in the brand and want to keep an open mind.

Goat is so unapologetic that I have to respect it. Although unpleasant, this does not come off as edgy or for the purpose of shock value. It is just faithfully encapsulating the essence of what a goat calls home. As if we (humans) are not the target audience for this fragrance, so that's why I find it off-putting.

True to the name, this smells like a goat. I expected it to be inspired by a goat but this goes all in at the opening. It smells like fur and the mushroom/truffle and milk accord really remind me of sheep droppings, with its earthy and sour lactonic quality.

As it dries, it mellows out, gets a little less dirty and gets a bit more cozy? It reminds me of hiking with the image of the mountain streams as the sun beating down. It's thick and humid, there are green wild florals underneath the leathery notes but they are faint.
The path you walk is not an established trail, like you'd find when going to a national park, it's wild and you are in the goats territory. This smells like their domain and you are merely visiting.

To conclude I think this is fascinating, I love how vividly this makes me think of the wild hillsides and mountains.
A scent for goats, as much as one inspired by them."
"Love, Chloé Eau Florale",01/13/2023,Violett,F,63,,25,Keen on Goat,"I was really looking forward to this bottle. It brought me just as much joy during testing as watching its cheeky, greedy namesakes.
However, ""Goat"" has much more in common with goats and kids than just its name. Certainly not their typical stable and pen smell.
And that's a good thing.

Because the odor wafting around those little horned creatures in petting zoos and the like smells quite strongly of their excretions. To put it bluntly: Where kids frolic in close quarters, it stinks.
Thus, the common billy goat understandably has a certain image problem among fragrance lovers right from the start. Sex sells, as they say. Perhaps ""Goat"" would be a bit more popular if it were named something like ""Dirty Love""?
When it comes to animal scents, I'm theoretically open to a lot, but tend to be a bit of a softie. For example, I had to pass on the coarse animalic notes of the often-hyped yet polarizing ""The Lover's Tale | Francesca Bianchi."" My stomach rebelled so much right after spraying that I had to wash it off with a lot of soap. After that, at least a decent leather scent remained. In ""The Lover's Tale | Francesca Bianchi,"" olfactorily, everything the stable has to offer is initially present. Even the cheese factory next door gets to tell the nose all about the aging process of an Appenzeller.
Then there are those perfumes where you get ""powdered animal"" served. Something like:
Customer: ""I would like a portion of dirty sweat stinker, extra hot, rrrrroooaaaaarrrr.""
Perfumer: ""Certainly. Would you like one of the really bad ones?""
Customer: ""No, no, I'd prefer one of the sweet ones with the powder coating (in a bunny costume)...""
Such olfactory experiences remind me of the good old days at the French royal court when washing was frowned upon. People, just like their wigs, in which generations of fleas probably found a home, where lice dynasties thrived, solved various hygiene and stench problems in rather questionable ways with layer upon layer of powder.
I'll skip the examples for now. But honestly: I'd rather have the Bianchi.
Now to Goat, which belongs neither to the ""hardcore animal faction"" nor to the ""powder stinkers.""
To my nose, it's a harmless little fellow, just as it should be.
Most would probably not even guess in a blind test that Goat is supposed to smell like a goat...
Because there is no olfactory photorealism here; instead, you get a funny, colorful Picasso goat presented to your nose. It comes rumbling along on a (odorless) wheeled contraption, kicking up quite a bit of dark dust. The scent of dark (patch soil) with a similarly dark, slightly smoky leather note first wafts into my nose. Look at that, the little billy goat is wearing a biker jacket. And it has brought something along:
The scent of violet and osmanthus combines for me into a tipsy blackberry-peach-apricot mixture. So, so: Three different liqueurs in tow...
That's beautifully refined and fits well together.
At this point, fans of hardcore animal scents are already out - way too sweet with the fruity stuff...
The sweetness increases as the scent develops, and I must say: A tad less would have been more here. The background brightens up, and the dark dust gradually settles to the ground. In the background, you can now smell a warm, golden-brown mélange of hay, light earthy tones, wood, a bit of oud sharpness, and spices. And there's also a slight scent of fur or wool detectable. The listed mushrooms? I can only say that if they're there, they are keeping a low profile. Perhaps a few small champignons or chanterelles behind the haystack. The cheese mentioned by some, I absolutely cannot perceive. And that's saying something, as my nose usually loves to focus on edibles... Well, cheese is a scent impression that I generally don't miss in perfume.
Ultimately, Goat goes through the frequently sniffed scent development. It becomes sweeter, softer. In the end, only a bit of fruit and warmth remains.
The ""family test"" was positive. My husband says ""Good,"" which for a Palatinate person is almost ecstasy! My daughter loves the furry creature as well but thinks it smells like a riding school.
(They surprise me time and again... They won't let me pass on the ""Bottega Veneta (Eau de Parfum) | Bottega Veneta,"" those niche snobs)
The Polish brand ""Wolf Brothers"" is fun to test. Each fragrance is dedicated to an animal, and the creative visions of the makers have been implemented by professional perfumers from Grasse. You can smell that too. They are all well-made, original - and yet wearable.
Well, what can I say? It could probably be fun for not just me to have a professional perfumer realize one or another scent vision.... You don't treat yourself to anything else...
...Except of course for one or another funny niche fragrance! Here’s another thank you to the wonderfully quirky participants of my sharing. I hope you have as much fun with the little billy goat as I do."
Chloé,10/25/2024,ALCHABNO78,M,32,,1,fresh and sophisticated,"Massimo by Christian Provenzano is a sophisticated and captivating fragrance that embodies the essence of elegance and refinement. It opens with fresh, invigorating citrus notes, which gradually give way to a heart of aromatic spices and herbs, creating a warm and inviting scent profile. The base notes are rich and complex, featuring deep woody accords and subtle hints of leather, giving the fragrance a masculine and timeless appeal. Massimo is perfect for those who appreciate a well-balanced scent that exudes confidence and charm, suitable for both day and evening wear."
