product_name,review_date,reviewer_name,reviewer_gender,reviewer_total_reviews,helpful_badge,award_count,review_title,review_content
Skin [Reserve Blend],08/31/2024,Myrtillajus,F,530,,3,Wonderful Gourmand,"The Baklava sweet has uncertain origins. The fact is that it is an ancient sweet, claimed by many peoples, each with their own variant.
A dessert that has honey as its main element, in addition to dried fruit.
In Aurum you will feel one of the most real representations of honey there is, honey in honeycomb, made gourmand by dried fruit and a light touch of praline on the base.
It really feels like eating a Baklava, a dessert I love so much.
Realistic, deep, I am not a gourmand lover, but I really liked this fragrance.
Ideal for the cooler seasons.
‘Yuansu Series I, Geometric Series I #01 World, 2007’ represented by contemporary artist Ren Ri."
Skin [Reserve Blend],02/12/2024,Landshark321,M,746,,4,Outstanding honey / baklava scent,"Zaharoff Signature Aurum is the second-to-most recent release of the house, a captivating honey-rich scent that captures the baklava dish with lots of nuance, including notes of honeycomb, cinnamon, mixed nuts, vanilla, and tonka. It’s sweet and rich while not being overly sweet, with a vaguely floral brightness that makes it feel more honeyed that perhaps a baked good, at least to me, and a lot more wearable for those that find gourmands challenging or overbearing. This is a great answer for those, and takes for the form of a unisex fragrance that has great density without being at all overdone in any one aspect, its balance demonstrating the care and patience that went into it. I guess it’s the first gourmand of the Signature line, but I hope it’s not the last, as it’s yet another outstanding expansion of the line into new territory, a further challenge met and exceeded against. I really love this creation, definitely among my favorite honey scents with Zoologist Bee and Hiram Green Slowdive, albeit not as syrupy as Bee and not as spicy as Slowdive, nor as floral as either, fitting for a gourmand. To my nose, it does not evolve a ton, a little sharper at first spray and a little smoother and creamier in the dry down, but that’s to be expected, frankly.

The line’s pricing remains very reasonable for a high-quality, high-performance product, especially at the greater size, at $195/155 for 120/60ml, sold through the house website exclusively in the US, I believe.

8 out of 10"
Sel Santal,05/16/2012,Abitvintage,F,28,,0,Beautiful spring scent.,"I find this fragrance interesting in that in the very beginning as the scent hits my skin I can barely detect it at all. It develops though, into a wonderfully pure floral where I definitely smell lilac, and the lilac seems to be a dominant note for a while. Lilacs are probably my most favorite spring flower so this is a bonus! It transforms into what my mind envisions, a white bouquet, with a good abundance of dainty little lily of the valley interspersed throughout, (I happen to grow Lily of the Valley in the depths of the cool shade, and their smell is amazing). Elle 25 is not heady or headachy, but a pure uncomplicated scent that smells to me like the cool, crisp spring air that carries the scent of new fresh blossoms. A beautiful change of pace for me and very, very enjoyable."
Sel Santal,01/10/2012,Sophi,F,50,,0,Floral Bouquet,"This is a nice floral bouquet under toned by notes of cedar and musk.
It's so simple but yet so wonderful.I can't separate the floral notes because they are blended all together without one being stronger from the other.
It opens and stays with the floral notes from the beginning to the end.It's not heady or loud but intimate and you feel its sensation.Inoffensive and feminine ,wearable to all occasion and seasons."
Citron Fig,07/19/2024,Raluko111,F,418,,1,Flower shop vibes.,"Essence Rare opens with a green, vegetal smell of freshly cut, wet flower stems, as if you are inside a flower shop. In the background the flowers start to appear on the stage, jasmine, roses, and lilies of the valley. The evolution is pretty linear, a little boring and unpleasant for me, as the lily of the valleys with the oakmoss beginning to take center and dominate. If you like lily of the valley, you might enjoy this. It's just a note that I don't particularly care for.

Essence Rare se deschide cu un miros verde-vegetal de tulpini de flori ude, proaspăt tăiate, ca și cum ai intrat într-o florărie. Pe fundal, apar și florile, iasomia, trandafirii, și lăcrimioarele. Evoluția este foarte liniară, cam plictisitoare și neplăcută pentru că lăcrimioarele încep să domine împreună cu lichenul. Dacă îți plac lăcrimioarele, poate că o să te încânte. Siaj și persistență moderate. 6/10"
Citron Fig,01/12/2020,DonJuanDeCat,M,2046,,18,Habit Rouge for Ladies?,"Hello, you sniffers, and good evening :)
Tonight, I’m introducing a new, old fragrance. Huh, how can that be, you might be asking?! Well, the fragrance Essence Rare is already a classic, first released in 1928, reissued in 1976, and finally revised and re-released in 2018. I know that many of you think that reformulated fragrances always lose quality. That may indeed be true, but I can’t say much about it yet, as I haven’t experienced fragrances over multiple generations, since I’m not as old as all of you (… so much for my New Year’s resolution to be a bit nicer to you ladies here… :DD), but I also think that not all reformulations have to be bad.

Anyway, it seems that the perfumer of this fragrance doesn’t mind reformulations either, especially when given the honor of re-composing a classic fragrance. It’s then about combining tried-and-true elements from the past with something new, at least according to the perfumer.

Well, since I don’t know the 1976 fragrance and especially the 1928 fragrance of this one, as I said, I’m not nearly as old as you (… I really should, REALLY stop referring to you ladies as older… :DD), I can’t write a comparison test, but as always, I’ll share my opinion on this fragrance and try to describe it as accurately as possible :)

The Fragrance:
The fragrance actually starts with quite classic notes, or it smells like a classic French fragrance. At first sniff, it reminds me a lot of Guerlain’s wonderful Habit Rouge, only a bit more floral and feminine. You can smell lily of the valley and jasmine, as well as a creamy-powdery note that could come from notes like violet or even more so, iris. A hint of the stated mandarin is also present, but you have to sniff very closely to detect it. When you sniff directly at the sprayed spot, you can briefly perceive a mandarin, or better said, a mandarin peel, as it comes off slightly bitter.
The classic impression of the fragrance remains later on, which is not surprising due to notes like oak moss. Additionally, the fragrance also appears slightly soapy or clean.
Towards the end, the fragrance continues to smell classic with oak moss and remains creamy-soft due to powdery notes. Of course, the fragrance is also beautifully floral. And this is exactly the kind of floral notes that I like in a ladies' fragrance, as they don’t smell cloying or stuffy, but simply come across as beautifully feminine. I still lean towards lily of the valley and jasmine, although the roses are now also more noticeable. Along with the floral sweetness, there’s another sweetness from the vanilla. Overall, a truly lovely fragrance.

The Sillage and Longevity:
Although the fragrance seems soft, it has a strong sillage, so it can be perceived from a distance for a while. It’s pleasant to smell without being overwhelming. The longevity is also very good, as you can still smell the fragrance well on the skin after ten hours.

The Bottle:
The bottle is round and plump, with thick lines running around the glass that look like veins and seem to divide the glass into many separate chambers. On the front, one of these “chambers” is gilded and represents the label. The neck of the bottle is pink, and a cap designed similarly to the bottle sits on top, only this one is hemispherical and transparent. A very beautiful bottle.

Conclusion:
So, this fragrance really has something about it that is very appealing. I’m not always a fan of old-fashioned fragrances, but there are quite a few that I really, really like, such as Habit Rouge by Guerlain, which I can even wear at my over 30, 32, 34 (… let’s stop here, shall we? :D) years. You see, you’re not the only ones who have gotten much older… I’m just probably a tad younger than all of you, mu ha ha ha. Alright, alright, don’t come at me with pitchforks. Maybe it helps if I say that you ladies can still look absolutely stunning even at an older age?! Well, is there peace again now? :D

Anyway, although I don’t know the previous Essence Rare fragrances by Houbigant, I find this one simply very successful and therefore highly recommendable. It may not be a fragrance for younger people or for those who don’t like that classic touch, but I think it smells very good. It comes across as very elegant, has a slightly soapy-clean component, and just smells nice.

It’s an all-rounder, so in my opinion, it’s a fragrance for every season (except maybe very hot summer days) and can be worn subtly both during the day and especially for the evening and going out. Definitely give it a try sometime; it could be worth it!

That brings me to the end. Please excuse my age jokes (hey, I still find you all very sexy… uh, I meant I love you all :DD) and have a great evening, until next time :)"
Citron Fig,03/09/2019,Seerose,F,775,,0,She Wouldn't Have Liked It,"Over the past decades, I have had to attend so many funerals and memorial services. In doing so, I experienced the most absurd scenes, involuntarily comical and bordering on cabaret-like expressions and actions from mourners, even from those most closely affected.
Not to mention the speeches and life lies presented by the speakers.
As well as boundless grief, behind which not infrequently other sorrows and foreign mourning were unleashed. Funerals where an ""Ave Maria"" was spoken up to 100 times by a female voice over loudspeakers, while the mourners melted away in the sun and heat in black clothing.
Until I landed in Parfumo, the scent of half-wilting or strongly fragrant flowers like lilies and other blooms often played a breathtaking role for me, quite literally. Since then, I have scented myself for such occasions in a way that I can perceive myself and push the others aside.
Because I have experienced and observed so much absurdity at funerals and memorial services, I have considered several times whether I should write a collection of funeral stories. Alone: The new engagement with scents has kept me from doing so.
This would thus be the first published short story about the memorial service I experienced today, where a perfume, namely ""Essence Rare,"" at least played a role for me.
My friend Hildegard did not pass away unexpectedly, but peacefully at the age of 95.
My friend Hildegard had, until the end, bright gold-red dyed hair and always wore black clothing, as she said. And she loved perfume, preferably Jovan Musk Oil and woody scents. So I also dressed entirely in black, even though I did not belong to the close circle of mourners, in her memory. And now the perfume?
I didn't think long: ""Essence Rare""! And after spraying and letting it develop, I immediately thought: That was the wrong choice.
This scent would have never pleased Hildegard. And she would have made that clear to me without beating around the bush, I thought amused.
I had only tested it on my wrists and clearly perceived it as a scent with finely balanced beautiful and subtle white flowers. Immediately, I also smelled and had the scent of dry-powdery iris, which is not listed. - Later, ""Essence Rare"" becomes creamy. Despite the latent opulence, it is a delicate scent. ""Essence Rare"" is, typical of Elléna, an almost minimalist, in a special way dry-sober scent, created this time with white flowers. There is no long progression; within a few minutes, the scent settles, becoming only more delicate, the initially pronounced indole of the white flowers recedes.
But today I also sprayed on my décolletage, and now I smelled ""lilies"" as the main flower.
My husband, meanwhile, thought I smelled very elegant. He likes such scents.
And he also said that I only smelled very subtly and finely.
I could and did not want to change that anymore. In the church, it would not be warm; who knows if anyone else would even notice. And after all, I primarily scented myself for myself.
The church, meanwhile, was not decorated with any typical, strongly scented, and huge floral arrangements. Hildegard loved tulips and cyclamen. She loved the simplicity of the archaic block of stone altar from the Middle Ages with the mysterious five consecration crosses. This stands in contrast to the opulent baldachin and the pyramid pulpit from the Baroque.
When Hildegard and I prepared this altar for services, we looked at the ancient stone slab with the crosses in reverence. I felt ""Shekina"" was there. We never spoke about what we felt and thought about it; we remained silent.
So her place with the urn was only decorated with a cream-white organza cloth, surrounded only by a few upright giant grasses, nothing else. On the altar stood white tulips.
So I sat there, smelling my scent and thought: Oh, now I am contributing just a little bit to the ambiance (Italian: smell, scent, environment) that otherwise prevails at funerals in small churches and mourning halls.
It was a sober and quiet memorial service; not much was said, I smelled ""Essence Rare,"" and I liked it more and more. I remembered that Hildegard was the first person we encountered here in this church.
What coincidences and events made us friends with an immediate understanding. How I often helped her as she became smaller and weaker.
No, ""Essence Rare"" will not become for me the funeral and mourning service scent.
It is also not a scent for other ""great events."" ""Essence Rare,"" so my conclusion, is a sober-quiet yet intimate scent. A scent for contemplative hours, to find peace.
It may be that ""Essence Rare,"" through this farewell, radiates a latent melancholy for me despite the brightness. Perhaps also because the always light indolic hint suggests passing, transience, and decay.
""A Dio, ci verdiamo in paradiso, Hildegard"""
Citron Fig,01/26/2019,Candila,F,27,,21,Multifaceted Cream Flower Scent,"Sleeping flowers, this image goes through my mind with every spray.
“Essence Rare” starts off so calmly, expressing such profound silence and tranquility that I almost want to switch into meditation mode myself.
In the opening, a whisper-thin, mild “chalky” iris powder is sprinkled over fresh and initially only moderately sweet flowers. Not the powdery impression I usually smell in powdery scents, no sugary sweetness and nothing lively “powdery,” but a dry, powdery white layer over still resting flower heads.
Nevertheless, nothing here feels tired or dull; beneath the powdery layer, you can sense the life and energy of the flowers, just waiting for the sunrise to rise up and bloom in all colors.

And that happens within the first hour. Lily of the valley, rose, and jasmine bloom harmoniously next to each other, spreading their enchanting fragrance. A mild citrus breeze from fresh, partly ripe and juicy, partly still green, aromatic mandarins occasionally drifts through the composition, keeping the warm flowers fresh.
As the wearing time increases, the iris develops a subtle lipstick creaminess alongside its powdery facet, making the powder feel a bit more viscous and delicately creamy.

After at most an hour, I finally wear a substantial, airy-creamy, and sunny bouquet of flowers. I stand on a late spring day in front of a flower bed in the garden and breathe in the scent of countless colorful blooms.
It is important for me to emphasize that these are garden flowers growing and blooming in fresh summer air, not cut flowers in a vase. The typically green-stemmed accompanying notes that I smell when entering a flower shop (and in some floral scents) are absent here.

Overall, a clean-floral, sunny, and colorful bouquet of flowers that slowly settles on a fine bed of sandalwood and a few micrograms of vanilla powder. A mix of cream powder, iris powder, and chypre-like fresh elements accompanying the friendly radiant floral symphony that dominates everything from start to finish.

“Essence Rare” feels calm and elegant … and grown-up. So far removed from some garish, loud, flashy girly floral scents, as a fragrance can be.
It is not a “typical,” minimalist Jean-Claude Ellena. I have the impression that he has returned to his roots here, as he created classics like “First” for Van Cleef&Arpels and fragrances for Sisley in the 1970s. This scent is for me classic perfume art. An elegant fragrance that, in contrast to his “First,” does not feel overloaded with flowers, but despite the sea of blooms comes across as carefree and fairy-like light.

To make the scent comparable: The floral mix itself has a striking resemblance to “Jardins de Bagatelle” by Guerlain for my nose, but here it feels fresher and thus “more modern.”
What makes ""Essence Rare"" special for me is the accompaniment of different facets of iris, from white-mealy to lipstick-creamy, which sometimes envelop the bouquet in fine gauze and sometimes gently underlay it with creaminess."
Blonde Rose,04/23/2015,Hofnärrin,F,52,,3,And the golden raspberry goes to....,"The raspberry has bright white teeth and smiles at me challengingly. Overall, she is very dressed up and presents herself as peppery-youthful. When I ask if I might speak to the oud, her smile widens, but nothing happens. I secretly sigh. I have never faced such a vain raspberry before. The fact that she tries to mask her vanity with a deliberately simple vanilla-colored outfit only makes things worse. I decide to wait. Time will tell, oud will come. Or am I mistaken? In any case, a hint of unrefined oud would do this berry good. After about 4 hours, I get fed up and make my exit. She waves goodbye with a vanilla-colored handkerchief, which, I must admit, emits a rather pleasant scent.

Postscript: In the middle of the night, the phone rings. It’s the Not-So-Bad Vanilla. She hurriedly whispers to me that the oud has finally appeared, but must leave again right away; if I hurry, I might have a chance... I growl and hang up. The next morning, I have no idea whether the call was real or just a silly dream. I lean towards the latter. Or has anyone else been called by a vanilla in the middle of the night?"
Blonde Rose,04/15/2015,GreatKate,F,4,HELPFUL REVIEW,3,Déjà-vu,"I fell in love with this fragrance from the very first moment, even though I am not a fan of oud.
Right after the first spray, I am transported back to my childhood; I smell wonderfully ripe, juicy, and zesty berries, raspberries, and strawberries, just like in my parents' garden when I picked them fresh and ripe myself, and of course, more ended up in my mouth than in the bowl. Hmmm, it smells so delicious, and I am 7 years old again, when the world was carefree and unburdened. And that's exactly how it continues after the top note.
The heart note, or rather the base note, doesn't take long to appear; after a short time, I perceive a warm, protective, soothing balsamic scent. It must be the oud and musk, as the vanilla plays only a minor role here. This is the first oud I like, because it is not sweaty and dirty, but soft, protectively warm. You really feel secure and carefree. Nevertheless, it remains light and unburdened; it doesn't overwhelm you but gives you your own space.
For me, a fragrance for small Déjà-vu moments of childlike carefreeness and security. And for anyone who usually doesn't like oud."
