product_name,review_title,review_content
Bois d'Argent,,"This one carries memories for me, I wore it in Paris one summer with a very special friend. The smell, the atmosphere, the beautiful company. Everything came together perfectly and I think this fragrance had something to do with that.

Dior has really done well with this one, it smells classy, it's smells royal, it smells amazing. ""Bois D'Argent"" means ""Silver Wood"" (specifically Birch), and when I smell this I do get the impression of birch trees, but ""Argent"" also means ""money"", and yes, it does smell like money to me. Pure class.

The fragrance opens up with a fresh, bright, juniper berry note. It settles into a gorgeous smelling Iris flower note coupled with sweet myrrh resin. Put simply this combination smells divine. This gives of the impression of a beautiful honey smell, all of which radiates off you like a beautiful cloud wherever you go.

I think that foremost this is something you will want to wear because you want to, not necessarily to impress specific people, although I personally believe that this is what a CEO would wear to a boardroom meeting or in his office. It almost smells royal!

This fragrance was part of Hedi Slimane's vision when he launched his ""Dior Homme"" line (along with Cologne Blanche and Eau Noire), many have even said that Bois D'Argent in particular served as the blueprint for Dior Homme (2005), which also used the Iris note. Unlike Dior Homme, I find the private range more up-scale, exclusive, and classy.

Basically, this smells expensive. It will not offend anyone, personally I think it projects well, enveloping you with the most sublime aroma you could come across. It's worth every penny as it comes in a huge bottle and lasts forever. Truly worth it in my opinion.

Soft, sweet, light, gorgeous and simply divine... if heaven could smell like anything, it would probably smell of Bois D'Argent."
Eau Sauvage Parfum,,"*
This fragrance is quite the plot twist. I’ll admit - my expectations were shaped by the bottle. It looks classy, but visually about as thrilling as a tax seminar. Thankfully, what’s inside far surpasses its understated exterior. If you get the chance, do yourself a favor and give this one a sniff. It was created by Demachy, so you might be positively surprised too.

Eau Sauvage doesn’t get as much hype as Dior’s other lines - cough Sauvage Elixir cough - yet somehow manages to score higher in ratings. A true underdog story.

You can read the notes, sure, but this fragrance defies easy description. It leans slightly gourmand, with an intriguing blend of orange/citrus, sweet lavender, and a whisper of anise. It’s linear - meaning the scent doesn’t evolve much over time, just fades gracefully. That said, after about 30 minutes, the bitterness of the orange steps aside, letting the anise become more pronounced. Simple, but effective.
A note of caution for those who don't like resinous scents. This fragrance is quite balanced, non of the notes is significantly more prominent, but I would say that Eau Sauvage has a perceptible resinous base (the Elemi) which you will notice.

Expect decent sillage (an arm’s length), eight solid hours on skin, and a performance on clothes that goes beyond a whole day.

A fragrance that earns its keep in your collection is one you can wear anywhere, and Eau Sauvage delivers.
Formal event? Check.
Relaxed weekend vibes? Absolutely.
Office setting? Perfect.
It even makes a strong alternative to wedding staples like Amouage Reflection.
While lavender leans traditionally masculine, the hint of sweetness nudges this firmly into unisex territory. As for age, it feels most natural on the 30+ crowd, but honestly? Wear what makes you happy, these are just opinions.

In summary, Eau Sauvage is the quiet, confident type unassuming at first glance, but surprisingly versatile, reliable, and well-rounded. A worthy addition to any collection or good for those who can manage to survive with just a few bottles (i.e. not me)."
Dior Addict,,"I fell in love with this warm and almost narcotic fragrance the first time it appeared in the drugstores here in Italy: this lipstick-shaped blue bottle , minimal, but refined and so feminine and mysterious at the same time, hides a true irresistible love potion that conquired me at first smell.
But let's describe the accord: first of all, you are involved by a vibrant orange leaf note accompanied by the mandarine fruity touch, but after a few seconds the Jasmine absolute, warm , feminine and sensual, arrives to your nose and you begin to dream of Arabian nights and nocturne scenes. But the main actor and the deepest note of this edp is the Vanilla Bourbon: sweet but never swetish, involving, almost cocooning. It's the perfect accord to me. A bouquet to enjoy by night or by day too in the coldest days. The sillage is surprisingly good, as well as the longevity. It isn't only a perfume to me, it's a drug! So, the name ""Dior addicted"" is perfect because you risk the addiction if you love powerful scents like this. It's a fragrance classic and Young at the same time, it is flowery but not too ladylike and warm-gourmand without resulting girly. A true Dior's masterpiece in my opinion. The price is high, of course, but you'll have a true scented bomb! (Maybe don't wear it at the office, of course....it's a typical leisure scent).
So, I think that this fragrance is a must have if you want to feel sexy and irresistible."
Dior Addict,perfect,"i tried the newest version today (is this it?) and smelling it right now on the paper, the vanilla smells just as beautiful as when I first smelled it years back. however, there is a green note I don't think I could pull off personally.
still, it smells beautiful. i don't think I could describe this vanilla with words, other than the fact that its different and haunting.
these notes come together stunningly. it reminds me of my aunts apartment, filled with big cactus plants and pop art pieces on the walls. i realize now, as I'm smelling it again for the first time in years, that I could never take this scent from my aunt. it belongs to her, even if she doesn't use it anymore. this perfume is for someone who lights up a room. who sets things in motion. who makes everyone feel lucky to know her.
that is not me, but smelling this, I feel lucky. like her energy will rub off on me. i think that's what its made for"
Dior Addict,Spicy vanilla,"I don't know if the pyramid is complete or not because for me Dior Addict is a spicy vanilla!

Powdery vanilla, cinnamon, nutmeg and jasmine. Incredibly good and completely perfect for fall and winter. In fact, it reminds me of the smell of gingerbread! I wonder if some have the same sensation.

Also very chic and the staying power and sillage are excellent on my skin. It has become one of the perfumes I need in winter."
Forever and ever Dior,,"Les Creations de Monsieur Dior “Forever and Ever Dior” (2009)

My god this is beautiful. On my skin it is the embodiment of simple, sheer, transparent floral heaven. This radiant creation joyously opens with a brilliantly fresh and spicy freesia blooming amongst a blanket of zesty green ivy. It is joined by a sweetly airy, non-indolic jasmine. The tenderly lingering opening seamlessly gives way to an exceptionally delicious rush of juicy-sparkling rose-hip/geranium plus creamy-almond-blossom that is further softened by a barely discernible touch of elegantly understated vanilla. The musk and amber animalics are hardly noticeable on my skin and serve only to anchor the ethereal floral splendor above. There is no sweetness beyond that which is naturally extant within the context of the floral petal accords. The scent remains pristinely fresh and vivaciously spicy throughout drydown with just a touch of creamy sweetness and no taint of musk or powdery amber.

I would bathe in this if I could. It is remains intimately close to the skin even upon initial application and lasts for approximately 5 hours on me. Those who demand high sillage complexity/uber-longevity type scents will doubtless be unimpressed. I find that the most beautiful scents are often the most fleeting. And this perfume is ravishingly beautiful. I respritz at leisure with the greatest of delight and enjoy pampering myself with this angelic nectar.

On my skin, there is no sour citric punch, no sneeze inducing soapiness, no bracing aldehydes, no sickeningly sweet sugars, and no revolting animalic rubbish to sully the elegant simplicity manifested in scent here. I am hopelessly and completely in love with this concoction.

If this was music, it would be Mozart. A single note of difference added or taken away would destroy the perfection. And perfection it is to me. Bravo and thank you to the House of Dior."
Forever and ever Dior,Keeping it Short and Sweet,"Perfect fragrance for a girly girl. Fresh, floral, beautiful. It's interesting to smell and has an innocent vibe to it. Won't offend anyone, but will draw people in. I absolutely ADORE this!"
Forever and ever Dior,Pretty pink floral,"The many different versions of Forever and Ever is enough to make me dizzy. A bottle identical to the one pictured above is what I happened to spray the other day, so hopefully I have placed my review under the correct fragrance.

Forever and Ever, while not something that I would personally buy, is one of the most pleasant soapy florals I've tried as of late.

I wore this fragrance to a yoga class last week and I was amazed at how many people commented on how lovely and clean it smelt. Even my sweetheart loved it, and he's usually more accustomed to my dark, earthier scents.

While simplistic, Forever and Ever wears prettily and can lean towards being a romantic scent. It is often said that a majority of men prefer a clean, subtle scent on a woman, and this fragrance achieves this without being overly synthetic or too generic.

The lasting power is quite outstanding, however the sillage is extremely intimate, airy almost. When I wore it, it almost felt as if I wasn't wearing any perfume at all. The only reminder was a waft of soft rose and jasmine when I lifted my arm up past my nose in a salute to the sun.

If you're a big fan of soapy, clean florals I would definitely recommend Forever and Ever. To my nose, it is a very pretty, 'pink' and innocent floral, geared towards any woman of any age, either young or old."
Miss Dior,Girly goodness,"This was my first ever “proper” perfume and I really like it.

I find the initial spray quite strong, the iris and rose is really forward. However, the dry down is probably my favourite- a warm, woody vanilla.

This perfume screams feminine and ‘smells’ like the colour pink, reminds me of something Barbie might wear. The bottle is also really cute, and makes a great gift."
Miss Dior,Peony and powdery florals,"Miss Dior opens up with the powdery smell of iris and the soft, green notes of peony and lily of the valley. Peony is one of my favorite floral notes, which makes this fragrance even more enjoyable for me. It's certainly generic, sure. But there's a reason why it's popular. It's reliable, very feminine, and pretty. The base notes give it a pleasant warmth, it's musky yet refreshing - this fragrance is a classic for a reason. But if you're not a fan of classics, powdery florals, or ""older smelling fragrances"", this may not be for you.

Overall pretty inoffensive, nothing special yet not bad at all!"
