product_name,brand_name,target_gender,release_year,top_notes,heart_notes,base_notes
Gucci Intense Oud,Gucci,F,2015,"Raspberry, Saffron, Pear","Bulgarian rose, Orange blossom","Oud, Patchouli"
Gucci pour Homme II,Gucci,M,2007,"Violet leaf, Bergamot","Black tea, Cinnamon, Pimento","Myrrh, Tobacco, Olive wood, White musk"
Guilty Elixir de Parfum pour Homme,Gucci,M,2023,"Orange blossom absolute, Nutmeg, Pimento","Orange blossom absolute, Orris butter, Osmanthus","Ambrofix, Vanillin, Patchouli, Siam benzoin"
Guilty Absolute pour Homme,Gucci,M,2017,,,
Mémoire d'une Odeur,Gucci,F,2019,Roman chamomile,"Musk, Nyctanthes arbor-tristis","Cedarwood, Sandalwood, Vanilla"
Guilty pour Homme,Gucci,M,2011,"Italian lemon, Pink pepper","French lavender, Neroli, Orange blossom absolute","Cedarwood, Patchouli"
Rush,Gucci,F,1999,"Peach, Freesia, Gardenia","Coriander, Jasmine, Rose","Patchouli, Vanilla, Vetiver"
Bloom,Gucci,F,2017,,,
Flora Gorgeous Gardenia,Gucci,F,2021,"Pear blossom, Red berries, Italian mandarin orange","Gardenia, Jasminum grandiflorum absolute, Frangipani","Brown sugar, Patchouli"
Gucci pour Homme,Gucci,M,2003,"Papyrus, Basil, Ginger, Tarragon, Bergamot, Lavender, Lemon, Petitgrain","Cedar, Geranium, Patchouli, Pimento, Pink pepper, Sandalwood, Jasmine","Frankincense, Amber, Musk, Sage, Tonka bean, Vanilla, Vetiver"
Guilty,Gucci,F,2010,"Mandarin orange, Pink pepper","Lilac, Egyptian geranium, Peach, Raspberry","Amber, Patchouli"
Envy for Men,Gucci,M,1998,"Coriander, Pepper, Mandarin orange, Rosewood","Sandalwood, Carnation, Rose, Jasmine","Leather, Patchouli, Vanilla, Vetiver"
Gucci by Gucci pour Homme,Gucci,M,2008,"Cypress, Bergamot, Violet","Tobacco, Jasmine","Amber, Elemi resin, Patchouli"
Flora Gorgeous Jasmine,Gucci,F,2022,"Mandarin orange blossom, Italian bergamot, Black pepper","Jasminum grandiflorum absolute, Jasmine sambac absolute, Damask rose, Magnolia","Australian sandalwood, Benzoin, Indonesian patchouli"
Guilty pour Homme,Gucci,M,2020,"Rose, Chili, Salt, Vinegar","French lavender, Neroli, Orange blossom absolute","Cedarwood, Patchouli"
Guilty Essence,Gucci,M,2013,"Coriander, Lavender","Orange blossom, Neroli","Cedar, Patchouli, Leather"
Bamboo,Gucci,F,2015,Bergamot,"Casablanca lily, Ylang-ylang, Orange blossom","Tahitian vanilla, Ambergris, Sandalwood"
Flora Gorgeous Orchid,Gucci,F,2024,Vanilla,Vanilla orchid,Ozonic notes
Flora Gorgeous Magnolia,Gucci,F,2023,"Coconut, Blackberry, Orange","Jasmine sambac absolute, Ylang-ylang, Magnolia, Lily of the valley","Blond woods, Musk, Patchouli"
Gucci Eau de Parfum,Gucci,F,2002,"Heliotrope, Orange blossom","Caraway, Thyme, Iris","Leather, Musk, Sandalwood, Frankincense, Vanilla, Cedar"
Guilty Intense,Gucci,F,2011,"Mandarin orange, Pink pepper","Lilac, Egyptian geranium, Peach, Raspberry","Amber, Patchouli"
Gucci by Gucci,Gucci,F,2007,"Pear, Guava",Tiaré,"Honey, Patchouli, Musk"
Rush 2,Gucci,F,2001,"Freesia, Narcissus","Lily, Palm tree wood, Rose","Blackberry, Musk, Oakmoss"
Flora by Gucci,Gucci,F,2009,"Peony, Citrus notes","Osmanthus, Rose","Sandalwood, Patchouli"
Envy,Gucci,F,1997,"Freesia, Pineapple, Bergamot, Magnolia, Peach","Lily of the valley, Jasmine, Rose, Violet, Hyacinth","Cedarwood, Iris, Musk, Oakmoss, Sandalwood"
Bloom Acqua di Fiori,Gucci,F,2018,"Galbanum, Blackcurrant bud","Jasmine, Rangoon creeper, Tuberose","Musk, Sandalwood"
Flora by Gucci,Gucci,F,2009,"Peony, Citrus notes","Osmanthus, Rose","Sandalwood, Patchouli"
Guilty Absolute pour Femme,Gucci,F,2018,,,
Guilty pour Femme,Gucci,F,2019,"Bergamot, Pink pepper, Mandora","Lilac, Violet, Geranium, Rose","Amber, Patchouli"
Made to Measure,Gucci,M,2013,"Aniseed, Calabrian bergamot, French lavender, Tunisian orange blossom","Plum, Waterlily, Cinnamon, Juniper berry, Sri Lankan nutmeg","Patchouli, Labdanum, Leather, Amber"
Gucci Première,Gucci,F,2012,"Bergamot, Orange blossom","Musk, White blossoms","Woods, Leather"
Nobile,Gucci,M,1988,"Bergamot, Lavender, Mace, Rosemary, Lemon, Tarragon","Green notes, Fir, Jasmine, Geranium, Rose, Carnation, Cyclamen","Moss, Sandalwood, Vetiver, Cedar, Patchouli, Amber, Tonka bean, Musk"
Guilty Black,Gucci,F,2013,"Red fruits, Pink pepper",Violet,"Amber, Patchouli"
Flora Gorgeous Gardenia,Gucci,F,2012,"Red berries, Pear","Frangipani, Gardenia","Brown sugar, Patchouli"
Envy Me,Gucci,F,2004,"Pink peony, Lychee, Pomegranate, Water jasmine, Pineapple, Pink pepper","Pink musk, Mock-orange, White tea","White musk, Sandalwood, Teakwood"
Guilty Cologne pour Homme,Gucci,M,2019,"Bergamot, Rosemary, Juniper berry","Spanish cypress, Heliotropin, Violet","White musk, Cedar, Patchouli"
Gucci Eau de Parfum II,Gucci,F,2003,"Blackcurrant, Bitter orange, Mandarin orange","Blackberry, Jasmine, Violet","Cedarwood, Musk, Sandalwood, Heliotrope"
Bloom Nettare di Fiori,Gucci,F,2018,"Rose, Ginger","Tuberose, Jasmin bud, Rangoon creeper","Musk, Osmanthus, Patchouli"
Gucci by Gucci Sport pour Homme,Gucci,M,2010,"Mandarin orange, Grapefruit, Cypress","Cardamom, Juniper berry, Fig","Patchouli, Vetiver, Ambrette"
Guilty Parfum pour Homme,Gucci,M,2022,"Italian lemon, Provençal lavender, Juniper","Nutmeg, Spanish cistus, Orange blossom","Dry woods, Musk, Indonesian patchouli"
Guilty Intense pour Homme,Gucci,M,2011,"Coriander, Lavender, Lemon","Neroli, Orange blossom","Amber, Cedar, Patchouli"
Bloom Ambrosia di Fiori,Gucci,F,2019,,,
Rush for Men,Gucci,M,2000,"Cypress, Lavender","Cedarwood, Patchouli, Frankincense","Okoumé, Grey musk, Sandalwood"
The Voice of the Snake,Gucci,F,2019,,,
Tears of Iris,Gucci,F,2019,,,
Moonlight Serenade,Gucci,F,2019,,,
Gucci № 3,Gucci,F,1985,"Aldehydes, Coriander, Green leaves, Bergamot","Narcissus, Orris root, Rose, Jasmine, Lily of the valley, Tuberose","Oakmoss, Leather, Musk, Patchouli, Vetiver, Amber"
Flora by Gucci Gracious Tuberose,Gucci,F,2012,"Violet leaf, Peach","Tuberose, Rose, Orange blossom","Cedarwood, Labdanum"
Accenti,Gucci,F,1995,,,
Guilty Love Edition pour Homme,Gucci,M,2025,Juniper,Orange blossom absolute,Ambrofix
Guilty Absolu de Parfum pour Homme,Gucci,M,2025,"Bitter almond, Orange blossom absolute, Rum","Labdanum, Tonka bean absolute, Red chili","Benzoin, Leather, Vanillin"
Flora by Gucci Glamorous Magnolia,Gucci,F,2012,"Green notes, Citrus zest, Freesia","Magnolia, Peony","Musk, Chocolate, Sandalwood"
Bloom Profumo di Fiori,Gucci,F,2020,Jasmine sambac absolute,"Tuberose, Jasmin bud, Ylang-ylang","Benzoin, Dry woods, Musky notes, Sandalwood, Orris concrete"
The Eyes of the Tiger,Gucci,F,2019,,,
L'Arte di Gucci,Gucci,F,1991,"Green notes, Aldehydes, Fruity notes, Bergamot, Coriander","Rose, Geranium, Narcissus, Lily of the valley, Orris root, Jasmine, Mimosa, Tuberose","Oakmoss, Patchouli, Amber, Leather, Vetiver, Musk"
Guilty Elixir de Parfum pour Femme,Gucci,F,2023,"Violet, Mandora, Bergamot","Wisteria, Rose, Osmanthus","Patchouli, Tonka bean, Vanilla absolute"
Eau de Gucci,Gucci,F,1993,"Hyacinth, Ylang-ylang, Bergamot, Lemon, Mandarin orange, Galbanum","Tuberose, Jasmine, Lilac, Lily of the valley, Iris, Lily, Rose, Violet, Honeysuckle","Musk, Amber, Cedar, Oakmoss, Vanilla, Vetiver"
Bloom Intense,Gucci,F,2023,Orange blossom absolute,"Jasmine sambac, Tuberose, Queen-of-the-night, Rangoon creeper","Patchouli, Moss"
Gucci pour Homme,Gucci,M,1976,"Lemon, Bergamot, Lavender, Basil","Sandalwood, Jasmine, Carnation, Spices, Geranium, Iris, Patchouli, Pepper, Cedar","Oakmoss, Labdanum, Vanilla, Amber, Leather, Musk, Tonka bean"
Bloom Parfum,Gucci,F,2025,"Guatemala cardamom, Night-blooming jasmine, Tuberose, Apricot","Indian jasmine sambac absolute, Rangoon creeper","Peru balsam absolute, Vanilla, Musk"
Flora Gorgeous Gardenia Intense,Gucci,F,2025,,,
Guilty Love Edition pour Homme,Gucci,M,2020,"Mandarin orange, Ginger, Kumquat, Pink pepper","Geranium, Rosemary, Lavender","Vetiver, Patchouli, Benzoin"
Guilty pour Femme,Gucci,F,2022,"Mandora, Violet, Lychee","Plum, Tuberose, Ylang-ylang","Patchouli, Vanilla, Vetiver"
Flora by Gucci Glorious Mandarin,Gucci,F,2012,"Mandarin orange, Peony","Jasmine, Piña Colada","Ambergris, White musk, Woods"
The Virgin Violet,Gucci,F,2019,,,
Flora by Gucci Generous Violet,Gucci,F,2012,Violet leaf,"Orris butter, Violet",Suede
