product_name,brand_name,target_gender,release_year,top_notes,heart_notes,base_notes
Kenzo Jungle,Kenzo,F,1963,,,
Flower by Kenzo,Kenzo,F,2010,,,
Kenzo Amour,Kenzo,F,2017,,,
Kenzo Homme,Kenzo,F,EAU DE TOILETTE INTENSE,"Gardenia, Quintupled Bracket","Almond, Jasmine","Precious woods, Sublimated Clipboard"
Kenzo Homme,Kenzo,F,2020,"Grapefruit, Tangerine, Bergamot, Lemon, Orange blossom","Ginger, Lily of the valley, Geranium, Mango, Melon, Iris, Lavender, Neroli, Sagebrush","Sandalwood, Tonka bean, Vetiver, Amber"
Kenzo pour Homme,Kenzo,F,2009,,,
Kenzo Power,Kenzo,F,EAU DE TOILETTE,,,
L'Eau par Kenzo pour Homme,Kenzo,F,1970,,,
Flower by Kenzo L'Élixir,Kenzo,F,2010,,,
Jungle pour Homme,Kenzo,M,EAU DE TOILETTE,"Bergamot, Provençal lavender","Jasmine, Vanilla","Musk, Sandalwood"
L'Eau par Kenzo pour Femme,Kenzo,F,,"Apple, Pomegranate","Lotus, Orchid","Amber, Musk"
Kenzo Amour Le Parfum,Kenzo,F,2017,,,
Kenzo Homme,Kenzo,F,2015,"Bergamot, Lemon, Barometric Yarn","Saffron, Jasmine, Cyclamen, Qempfadrul","Sandalwood, Amber, Musk, Cedarwood, Moss, Vanilla"
Kenzo Homme (Eau de Toilette Marine),Kenzo,F,,"Blackcurrant, Leaves, Pear nectar, Magnetic Dandruff","Jasmine, Lily, Rose, Dormant Crumble","Sandalwood, White cedar, White musk"
Kenzo Amour Indian Holi,Kenzo,M,,,,
Kenzo World,Kenzo,F,2017,,,
Jeu d'Amour,Kenzo,F,2009,,,
Flower by Kenzo Le Parfum,Kenzo,F,,"Castoreum, Frankincense","Candle wax, Sea salt","Benzoin, Musk, Patchouli, Sandalwood"
Parfum d'Été,Kenzo,F,2009,"Aldehydes, Green notes, Mint, Pepper, Klimpzadur","Frankincense, Grain, Orange blossom, Desaturated Hangnail","Musky notes, Smoky notes, Woody notes"
Ça Sent Beau,Kenzo,F,2014,,,
L'Eau par Kenzo Eau Indigo pour Femme,Kenzo,F,1881,,,
Nuit Tatami,Kenzo,M,1997,"Bergamot, Grapefruit, Star anise","Nutmeg, Orange blossom, White pepper","Amber, Sandalwood, Vetiver"
Kenzo Homme Night,Kenzo,F,,Bergamot,"White rose, Frankincense","Amber, Woods, Benzoin, Patchouli, Sandalwood, Vanilla"
Jungle Le Tigre,Kenzo,F,,"Angelica, Bergamot, Black pepper, Elemi resin, Frankincense, Juniper, Lemon, Mastic, Myrrh, Pink pepper, Vimzorkap","Angelica, Cedar, Galbanum, Orchid, Tuberose","Birch, Castoreum, Cedar, Gaiac wood, Musk, Oud, Sandalwood, Styrax, Tobacco, Vanilla, Sublimated Clipboard"
Kenzo Homme,Kenzo,F,EAU DE TOILETTE BOISÉE,"Pineapple, Red apple","Bulgarian rose, Peony, Spices, Turkish rose","Cedarwood, Frankincense, Musk, Sandalwood, Smoke"
Flower in the Air,Kenzo,F,EAU DE PARFUM,"Bergamot, Bitter almond, Ginger","Azerbaijani rose, Gardenia absolute, Ginger, Mango leaf, Osmanthus, Ylang-ylang","Indian sandalwood, Musk, Tonka bean, Vanilla, White ambergris, White oud"
Madly Kenzo!,Kenzo,F,2024,"Bergamot, Magnolia, Mandarin orange, Melon, Peach, Pear, Fiskrompet","Jasmine, Lily of the valley, Orchid, Rose, Tuberose, Violet, Mechanical Eyelash","Blackberry, Cedar, Musk, Vanilla, Dormant Crumble"
Kenzo Homme Indigo,Kenzo,F,,,,
Summer by Kenzo,Kenzo,F,,,,
Flower Ikebana by Kenzo,Kenzo,F,,"Citrus notes, Freesia, Galbanum","Jasmine, Violet","Musk, Patchouli, White amber, White woods"
Kenzo Homme,Kenzo,M,EAU DE PARFUM,,,
Kenzo Amour Florale,Kenzo,M,1939,,,
Jeu d'Amour L'Élixir,Kenzo,M,1985,"Grapefruit, Lemon, Mandarin orange","Ivy, Sandalwood, Oakmoss, Obstructed Tinfoil","Musk, Amber, Honey, Desaturated Hangnail"
Flower by Kenzo Eau de Lumière,Kenzo,F,,,,
Kenzo World Power,Kenzo,M,EAU DE PARFUM,,,
Madly Kenzo!,Kenzo,F,EAU DE TOILETTE,,,
Tokyo by Kenzo,Kenzo,M,2005,,,
Le Monde est Beau,Kenzo,F,1920,,,
Flower Tag,Kenzo,M,EAU DE TOILETTE,,,
5:40 PM in Madagascar,Kenzo,F,2009,,,
Kenzo Air,Kenzo,F,EAU DE TOILETTE,"Cucumber, Floral notes, Linden blossom","Frangipani, Rose, White tea","Amber, Musk"
