product_name,review_date,reviewer_name,reviewer_gender,reviewer_total_reviews,helpful_badge,award_count,review_title,review_content
Body,07/28/2018,Shamis,F,47,,12,"""Makeup"" without Makeup","Those who know how to subtly apply makeup in a skilled way can sometimes pass as ""pretty and completely unmade up."" However, those who use such tricks can see through the seemingly natural beauty of others. And they know the reasons: one simply wants to look a bit better without feeling painted on in any way. Obvious makeup, which is immediately recognizable as such, is perceived as ""too much"" in everyday life; on the other hand, feeling completely unmade up feels somewhat naked.

""Mistral Female"" is, for me, an olfactory counterpart to this. A fragrance that simply makes one smell a bit better without feeling perfumed. Upon spraying, one clearly recognizes fresh citrus notes, but these dissipate quickly. I don't notice the floral notes, but I find the base of musk, tonka bean, and cedar successful: musk adds cleanliness, tonka bean brings a bit of sweetness and warmth, and cedar prevents the whole thing from becoming too sweet. I perceive ""Mistral Female"" as a consistently clean yet warm fragrance. Since it also stays very close to the skin, most people probably don't even perceive it as perfume. One easily passes as ""unperfumed"" with it.

In my collection, there are now several representatives of this direction: ""Comma,"" ""Nuit Marine,"" and surely a few others. Pleasant, but also subtle and rather inconspicuous. No olfactory challenges, no big statements. However, it is well-suited for days when I actually don't feel like wearing perfume, but would feel olfactorily naked without it. I also like to use ""Mistral Female"" to scent my clothing. I like it very much, only the longevity could be better."
Body,08/14/2011,Very,F,164,HELPFUL REVIEW,9,Calm Winds,"I've probably seen this scent 100 times on the shelf, but I thought it was definitely not for me, someone who learned to surf in calm winds.

Thank you, dear Medusa, now I know that it is indeed meant for this type of surfer.

Mistral starts citrusy fresh, but without making much of a breeze.

The heart is floral and delicate. Does the scent represent the shy girl who watches the surfers from afar?!

No, definitely not! Because suddenly the base comes in with a wonderful cocktail. It almost reminds me a bit of Virgin Island Water by Creed.
What? There's no coconut in the base? Is my nose being fooled by tonka bean and cedar?
The longevity is average. The scent lasts about 3 to 4 hours on me.
Anyway, to quote SpongeBob: ""Yammi Yammi Yam eh eh, delicious, delicious eh eh..."""
Body,05/23/2011,Baeumchen,F,160,VERY HELPFUL REVIEW,4,A Wonderful Wind,"For some time now, Mistral has been available at large drugstore chains. (Schl... is not one of them).
Mistral is a word that I am familiar with, but I couldn't recall it. I quickly looked it up and now I remember:
A Mistral is a WIND.

This wind is fresh yet warm on my skin. It is subtle, a light breeze and not a hurricane gust. It remains consistently clean, pure, and smells of the coast! It is also somewhat floral!
The Mistral brand stands for water sports: sailing, surfing... sportswear... Essentially for outdoor activities by the coast.
With this scent, you are well advised in everyday life. You can't go wrong.
All the notes harmonize very well together. All in all, Mistral is finely tuned. The floral notes are carried by the wind, so light are they.
Mistral is not a mild breeze that quickly disappears, but this warm, gentle, pure wind envelops me for a long time.

Addendum: fresh, clean laundry - of course air-dried in the countryside. The cuddly soft bear would surely also enjoy this scent!"
Body,05/03/2011,Gwenidina,F,17,HELPFUL REVIEW,6,Target audience younger??,"The displays and advertising suggest a younger target audience, but I wonder if they really feel attracted to the scent?
(I would be interested to know)
I don’t belong to that group anymore, and I wouldn’t gift it to a very young woman either. However, of course, I could be wrong -
By chance, I tried the scent, even though I initially didn’t feel addressed by it, and I was then completely thrilled by how pleasantly warm and natural it surrounds you.
I tried it again and can’t quite agree with the advertising. Woman on the beach, young, sporty...? Yes? - I perceive this scent more as a very pleasant daytime fragrance, lightly floral and warm-scented - by no means intrusive and rather for women (approximately) from 30 and up. (depending on personality and type)
I can detect some freesia, woods, and a bit of warm musk, a subtle beautiful blend, not an overwhelming perfume, but that’s exactly what makes it special, so I treated myself to it. People next to me shouldn’t faint from the scent but rather perceive it as a pleasant something in the background. - It’s not hard to afford, it just doesn’t cost that much; I was able to buy it at Rossmann for just 12 euros (30ml), which is already a great price; I think it’s worth spending a bit more for this pleasant scent, with which you can’t go wrong if you like pleasantly subtle fragrances from this category.
Try it!
I think, Mäurer & Wirtz has created something good here, similar to what is often done by Mexx; I find this type comparable (price, effect... not the scent itself).

And by the way, regarding the male scent, that is the scent for him: I see it quite similarly and brought it to my beloved right away, and: he likes it (someone who rarely uses fragrances and prefers subtle ones). The shower gel also smells really pleasant.
It would be important that the deodorant for him is also available soon in a pump bottle; I reject aerosol sprays - but deodorant is often much more subtle than a full fragrance (for him).
I’m curious about other comments that might see it quite differently ;-))"
Her Elixir de Parfum,05/30/2017,Serenissima,F,1222,HELPFUL REVIEW,9,in the summertime,"On days like today, ""Vocalise"" is a delightful refreshment.
The 30° mark has already been exceeded, thunderstorms are approaching - it is incredibly humid.

The fragrant freshness of ""Vocalise"" is very welcome.
For ""Vocalise"" is not only a beautiful piece of music by Rachmaninoff; it is also a fragrance that I do not want to miss on such days.

It is not just the fruity and green notes that almost invigorate; there is also a wonderfully rich selection of fruits, flowers, and woods.
I particularly enjoy the Black Currant here as well. It stands out against the sweetness of the flowers and fruits with its tart and refreshing character.
For as beautiful as the almost balsamic Jasmine, Lily of the Valley, and Rose are, they need a fragrant counterbalance.
The base completes this fragrance composition in a perfectly harmonious way. It gives it the necessary stability.

For a mere summer fragrance, ""Vocalise"" is very full-bodied and has long-lasting wear. Sprayed on in the morning, it is still a whisper that surrounds me in the afternoon.

I first got to know and love ""Vocalise"" in 1998. Like so many of my fragrances, this one also fell into oblivion for a long time.
Yes, even perfume lovers can be unfaithful!
In the meantime, I have it back in my collection and I am very pleased about it - especially on days like these.
Outside, a storm is raging, the rain is lashing - but ""Vocalise"" still surrounds me with its wonderful scent!"
Her Elixir de Parfum,05/20/2010,Bowser,M,10,,8,more than a fragrance,"a really good scent that adapts to the mood and can be loud, soft, delicate, or strong like a voice.
a successful blend of fresh and fruity, softly floral, woody notes.
I like to spray this fragrance throughout the apartment and on the bed linens.
it immediately lifts the mood of the room and feels incredibly clean.
it's a shame that this scent can no longer be found in perfumeries."
Brit for Him,12/06/2020,Drseid,M,828,,1,The End Of The Hunt For The Elusive Unicorn...,"Calvin opens with a sharp bergamot laced herbal green mix of sage-like artemisia and oakmoss rising from the base, with underlying anise-like tarragon support before transitioning to its heart. As the composition enters its early heart the bergamot vacates, leaving remnants of the artemisia to couple with the now focal tarragon and rugged mossy green oakmoss with sharp, woody vetiver and earthy patchouli adding significant support. During the late dry-down the development stays highly linear staying herbal green throughout, as the tarragon, oakmoss and woody vetiver remain the focus with relatively dry sandalwood adding support through the finish. Projection is outstanding, and longevity excellent at over 12 hours on skin.

Calvin has proven quite elusive to find on the aftermarket nowadays except at what some may consider ""crazy"" prices, making sampling the perfume difficult over the years. Luckily, I was able to get my hands on a mini from the 80s to see what all the fuss is about as I don't recall smelling much of it back then. The first thing I noticed when applying the perfume on skin was its powerhouse strength. The oakmoss and herbs project seemingly for miles and miles... Anyone growing up in the 80s would recognize this strength as ""the real deal."" If I were to gauge influences for Calvin, it would have to be perfumes of its age like the original Polo, and it in turn influenced perfumes that immediately followed like Quorum by Puig. In truth, I think it is closer to the latter. There really isn't much in the way of development throughout, and while Calvin smells excellent, it never challenges the *true* greatness and originality found in its much more accessible Polo predecessor, making the argument for seeking it out somewhat tenuous. The bottom line is the $433 per 100ml bottle on the aftermarket Calvin is another ""very good"" to ""excellent"" 3.5 to 4 stars out of 5 rated example of the sublime powerhouse 80s, but it doesn't quite distinguish itself from its contemporaries to merit the hunt and relatively stratospheric cost of seeking it out today, earning it a recommendation solely to 80s vintage perfume completionists."
Brit for Him,10/10/2025,Krmarich,M,225,,1,In the beginning...,"I remember wearing Calvin in 1985. It was the best thing CK ever created for a man. It complimented my CK jeans and t-shirt. I felt like I was at the hight of American fashion.

The original formula was last seen in 1995 still in tact. I would now refer to it as a woody chypre. Then it was just perfect. Herbal, spicy, woody and very clean. The blue bottle matched the contents. It was the perfect male counterpart for the ladies red bottle. No endless, mindless flankers were required. They stood just fine in any season.

Then along came Obsession, Eternity and all of that other mass produced ""bug sprays"". The name CK has become something less. Do they even make jeans anymore? It is now a great memory from an age of innocence in America..."
Brit for Him,08/20/2014,Soulmates,M,57,VERY HELPFUL REVIEW,7,Phantom,"Like a phantom, this mysterious scent and its modernist-dark bottle haunt the scene; it suddenly appears and then disappears again, largely unsung by fragrance critics. Those who want to know what Calvin smells like should take a dark musk fragrance, Fougère type, about halfway between Kouros, Polo, and Marbert Man, and largely replace the animalistic notes with an intensely turned-up citrus tone and a gentle, white clove note. Calvin is hyper-masculine, retro-barbershop, and extremely musky in a clean-soapy, skin-like direction, clearly more conservative than its appearance suggests, and feels like the men's fragrance that everyone knows from somewhere and many love. Many do not, however. The radiance at the beginning is ""powerhouse,"" which calms down after 30 minutes. Throughout the day, crisp citrus waves, noble soap, and the typical connection tone of skin and musk - especially for the wearer themselves - remind you that you are wearing a high-quality Eau de Toilette. The search is worth it. Pure coincidence that Balafre, Patou pour Homme, Macassar, or Nobile are currently the stars - Calvin holds his own easily. Simple (and) exciting."
Brit for Him,05/22/2012,Apicius,M,1328,HELPFUL REVIEW,6,CK with Flared Pants,"Calvin Klein is a rather strange brand: for years they have been successful with pale, pastel-colored designs. Just as indecisive as the presentation are most of the fragrances - often unisex and made for people who don't like to commit, because they don't really have their own opinion - and if they do, it's a very tame one. Fans may forgive me - but that's how it all comes across to me.

The original Calvin appeared at a time when this brand had not yet found its current indecisiveness. Calvin is very much a child of its time, as the look at the pyramid suggests. There we have the variety of aromas that is so typical for that time, making it impossible to quickly dissect the scent. In general, it is soapy with a tendency towards sharpness. The remaining notes all point in different directions and sort of cancel each other out. It leaves a musky-patchouli background. In this respect, Calvin already hints at that indifference which today characterizes the perfume style of Calvin Klein.

No, this cannot excite me - this is CK with flared pants, but unfortunately without the cult factor. No one will miss that.

Many thanks again to AromiErotici, who has supplied me with plenty of samples of vintage perfumes from his collection."
Brit for Him,09/04/2011,Skylab,M,184,,3,The Calvin Universe,"Calvin Klein, the lifestyle brand from the 1990s that achieved cult status with models like Mark Wahlberg, Kate Moss, and Milla Jovovich, has covered pretty much every segment with its fragrance range and reached every target group.

All age groups have been catered to in 30 years of the fragrance business.

There are the Orientals ""Obsession,"" the Spicy ""Escape"" and ""Eternity,"" the Floral ""Beauty,"" the Fresh ""Truth For Men,"" including the seemingly 20 Eternity summer flankers, the Sensual ""Euphoria Woman"" and ""Secret Obsession,"" the Youthful ""Crave"" and ""CK In 2U,"" and of course the Androgynous ""CK One.""

The latter is probably the most successful Klein fragrance and likely the best-selling young classic in the world!

Speaking of unisex - for many young people, including myself, the journey into the world of perfume began with this neutral-scented water.

However, few know that the actual Big Bang in the ""Calvin"" fragrance universe took place back in 1978, 16 years earlier, with ""Calvin"" (Woman).

CK entered the men's segment three years later with the male counterpart, which also bore the simple name.

The (fragrance) bottle, completely unknown to me until now, presented itself simply.

A slim, androgynous bottle in classic black.
The rounded plastic cap features the ""Calvin"" name in large letters.

At the time, it was an optical revolution; today it may seem a bit uninspired, even cheap.

The packaging, also entirely black, stays true to the motto ""Black is beautiful!""

The print campaign featured a young gentleman with slicked-back hair in a suit, confidently and characteristically gazing into a baroque mirror.

The fragrance was contemporary and classic for its time.
It is a typical fougère with a herbal, ozonic flair.

""Calvin"" disappeared in the early 1990s and was re-released in 1999 in a limited edition.

I am commenting on the reissued version (many thanks to TrueBlood, who gifted me his bottle), which should not deviate significantly from the original.

The opening features a gray lemon note that, combined with chamomile, has a herbal, floral flair with a bitter undertone.

There are similarities to YSL's Kouros Cologne Sport, which has a similarly cool presence.

The ingredient list is rich and creative, yet I can only discern a few ingredients.

As the scent develops, a spicy cinnamon note becomes noticeable.

The fragrance departs earthy/green and leaves a masculine/bitter touch.

The longevity is average - 5 hours are quite possible.

In summary, an interesting men's fragrance that would certainly stand out from the Klein mainstream range today!

PS: TVC15 - you might like it..."
My Burberry,12/19/2023,Telekinec,F,498,,3,Generic and a bit boring,"I forgot to write my review about this one when I tried it yesterday and I think I forgot about it because there's nothing really to write about. It's not a bad fragrance by any means, but it's so generic and boring... I still don't know why they decided to name this fragrance like this.

An evanescent note of ambrette at the beginning that offers the only jolt (of something) for this perfume. Generic florals that smell soapy and fresh like soap. A perfume that fades away too soon. For the price, this could be a body mist and nothing more.

I really have nothing more to say so I might as well just stop here. Will not be adding to my collection."
My Burberry,04/04/2023,Hartsy3,F,99,HELPFUL REVIEW,2,So clean and so wholesome,"From the opening, this is such a very clean and ""soapy"" smell. As it dries, it doesn't change much at all. Smells a like a shampoo, in a very cozy, sexy way.

For me, this is soft, comfortable and intimate. Something about it makes me think of a newborn baby who has just come out of a warm bath. It makes me feel like I'm sniffing directly into a loved one's hair right after they've washed and dried it. In that way, it feels like a warm embrace.

For a clean skin scent, this also has a surprisingly strong sillage and longevity. It doesn't command attention (look at me!) but holds its own, respectfully.

This has become one of my signature scents. At first, I thought this was somewhat neutral/unisex. But I've come to view it as a very womanly smell. I feel like a grown woman when I wear it. Something about the clean aroma makes me feel like I have my life together. Like a mother who is holding everything together for my children and still always making time to hold them lovingly in my arms."
My Burberry,06/07/2023,Rosymel,F,122,,3,This is fine,"This is totally fine, if slightly pedestrian. That’s okay! Not everything needs to be daring and outré. It’s quite pleasant, but this definitely does not seem like a perfume worthy of its price tag. This is more like a nice body spray in my opinion.

It’s very citrusy on me and stays quite linear. I get bergamot, a little cassis, and some florals; very little musk and no patchouli. It’s fresh, clean, straightforward, and inoffensive. It really reminds me of something nostalgic, but I just can’t put my finger on it—a drugstore product from the 1980s or 1990s, maybe?"
My Burberry,02/01/2025,DogiCoco,F,637,,2,"The myth of ""your skin but better"" perfumes","Myth starts out with a mix of classic florals and fresh bergamot. The first moments smell more old school than I expected from this relatively new brand. Then the blackcurrant comes and makes everything a bit sweeter.
Ultimately the scent turns into a skin musk quickly. The musk has the same quality as some affordable white musk classics, like the ones from TBS, Jovan or even Cacharel Noa. It reminds me of clean, warm skin fresh out of the shower. In my opinion this kind of musk is much nicer than the harsher musk of the last 10-15 years.
Besides musk, florals are the most important notes here. The lotus adds a lovely transparency to the scent, jasmine is responsible for the classic vibes of the opening and orchid makes the base slightly powdery.

It's an enjoyable, inoffensive, even charming fragrance that is perfectly fine for daily wear. There are some little flaws though, I think the sweetness in this can turn a little to artifical at times. When it comes to ""your skin but better"" shower musk fragrances, I think I can do without blackcurrant, even though I do like this fruit.

I don't think that this is particularly similar to Byredo Bal d'Afrique, like the votes and some reviews suggest. Even though Myth is nice, I prefer Bal d'Afrique for its lively freshness."
My Burberry,08/11/2024,VintageWitch,F,31,,3,Perfect boring scent for the office...,"I was thrilled to finally see that my local Sephora (at Kohls) had some of the Ellis Brooklyn line out. I sprayed Myth on a tester strip and was pleased with the overall scent. Clean scents like this are totally my jam and I tend to reach for them for everyday use. I need to try this on skin, but this reminds me ever so slightly of Nemats Amber oil with a touch of their Egyptian Musk oil. Is it groundbreaking? Nah. Boring? A bit. But it would make a great scent to wear when you just want to smell good and extra clean."
My Burberry,07/09/2025,emmaspotts,F,4,,2,"Lovely, clean, simple","This is the perfect clean-girl scent. I’d describe it as the scent of Biolage shampoo with a soft musky background. It makes me feel like I’m braiding my sister’s freshly washed hair: salon shampoo, clean skin, and the familiar warmth of a loved one. I’d reach for this daily if it had a little more power to it. I find that I have to put my nose up to my skin if I want..."
My Burberry,09/22/2025,Caitycat5,F,1,,2,Very pretty wish it lasted longer,"Love love love the opening and initial dry down. The musky, slightly fruity and floral notes really give the spa shampoo vibe to me. Between the wood and patchouli there is also a pleasant earthy element in the dry down to me. My one gripe is the longevity, I maybe get 3 hours at best on this. If I hadn’t picked it up on sale I would be more upset about it, but it is a..."
My Burberry,09/06/2022,Mlleghoul,F,458,,1,"babe, I love this journey for you","Myth from Ellis Brooklyn is initially the sort of crisp, dry, cologney-fresh fragrance I typically don’t love because it borders on the standard generic cliche of the guy with the abs and the towel wrapped around his waist in any old perfume ad. Except in this instance...there’s nuance or detail here working in its favor. So imagine instead of the cruelty and foolishness of the Echo and Narcissus myth…let’s say the gods kept their dicks in their pants and didn’t get carried away with petty vendettas, no one was scorned, humiliated, or shamed and these two just got to fall in love and live their lives. Maybe they opened up the blissful sanctuary day spa together. Maybe it features a reflection pool fed by a cool, clear spring, energetically charged by healing crystals, in the middle of a lush garden surrounded by shady woods and teeming with heady, fragrant jasmine and beautiful orchids. Maybe after a session of massage therapy, light healing, and intuitive counseling, they encouraged their clientele to spend a moment gazing at themselves in the still, crystalline waters, muscles loose and relaxed, skin pumiced and oiled, and then boop their own watery image on the nose and say “babe, I love this journey for you.” Myth is an uncomplicated, clean, woody mildly floral musk that just embraces and epitomizes feeling good about yourself."
My Burberry,07/20/2025,Meownarchy,N/A,13,,1,"the myth is always better than reality, huh?","I think in theory, I like this brand. They've explored interesting profiles, pushed a more gender neutral approach to their scents. I love myth, but only because it's easy. It's shampoo, fresh out the shower, clean, musky. It's easy to grab, easy to wear. I wish it was more mythical, more complex. But it is a solid staple, especially since it is often at major discount at places like Ross, Marshalls, etc.

But it's not exciting! I wish this brand was more exciting. Aesthetically, it's so good. Bottles are beautiful. They have (had?) such good names for their scents. It seems like they've gotten more timid, and leaned even more into mass appeal. Easy gourmands, simple fruity-florals, trendy notes. With very on the nose names.

I won't pay full price for this, but if I need to feel clean I'll wear it. Myth feels like such a waste of a name for a scent that feels like suave shampoo. Still nice! Still a disappointment!"
My Burberry,06/15/2025,HappyHoya,F,18,,1,"Pleasant, Complex-Clean Scent","This is a pleasant and clean scent, but with some complexity. It isn’t groundbreaking or head-turning, but I think it’s more complex than most reviews here give it credit for. All the notes are sort of clean and even-keel, but this does evolve in my skin throughout the day. I typically prefer a stronger perfume, but this is something I wear when I’m not feeling bold or want a gentle scent. For some reason, in a world where I smell way too many gourmands while out and about, I find these clean scents more sophisticated than other easy reaches."
My Burberry,07/18/2020,Wentogym,F,2,,1,"Myth--Loved as a sample, not so much the atomizer","In the sample, Myth seemed like a soft and work-appropriate fragrance. Subtle and nuanced, but not particularly long-lasting, I purchased the full-sized bottle. To my disappointment, the atomizer shot out like a jet of product. Returning for what I thought was a defective bottle, the second bottle was the same."
My Burberry,10/04/2025,Whiffed,F,34,,1,Reminds me of Biolage,"When I was younger I hunted high and low for a perfume that smelled like Biolage, but never found a good match. Years later I stumbled upon Myth and rejoiced. It's not exact but it's similar. I love this for the first 10 minutes, then it fades to nothing within an hour. So unfortunate. I have been using it as a way to freshen up when I first wake up. By the time I take a..."
