product_name,review_date,reviewer_name,reviewer_gender,reviewer_total_reviews,helpful_badge,award_count,review_title,review_content
CK Be,09/28/2023,IlMillimetro,F,4,,1,The song of a bamboo forest,"I'm a haiku lover: so simple to read, very difficult to write, disarmingly innocent. Here there is few room for interpretation: it's all clear from the beginning. This perfume celebrates silence or, maybe, the song of a bamboo forest. The opening is pure, citrusy bergamot with just a touch of rhubarb to give a bitter touch. The evolution of Amai Arashyiama plays with your imagination: some green, very smooth and woody note contribute to create a bamboo accord, sweetened by sugar and bamboo milk. As the fragrance dries down, the vertical structure of this bamboo forest invites your soul to elevation: another accord, this time a sacred one...incense. Defilitely not a liturgical one but more of a resinous, traditional frankincense smoke.
So easy to wear, the fragrance is not overwhelming and the projecetion is quite intimate (which to me is a plus!)"
CK Everyone,12/14/2013,Gold,F,726,,1,Unpretentious,"Olivier Pescheux created many best-selling fragrances, for example ""1 Million for Man"" for Paco Rabanne, ""Iris Noir"" and ""Voile d'Ambre"" for Yves Rocher or ""Feérie"" for van Cleef&Arpels. But he also did many ""niche"" scents for Diptyque. ""Let's move"" is a fragrance Pescheux composed for Benetton in 2012 and it's probably not going to become a blockbuster. Why? I guess it's too light and fresh and the formula is too commonplace. Up front we have citrus&pepper, followed by lavender&cedar. Tonka&vanilla smooth down the edges with their customary softness. ""Let's move"" is a very open and unpretentious scent, but it will probably not manage to insinuate itself into classic male cologne status. Not modern enough, not sexy enough, too quiet. But quite likeable."
Eternity for Men,11/10/2025,Ahmed22Ali,M,1,,1,Good for winter nights,"I completely in love with the scent of this fragrance the rosemary and the bergamot in the opening are great Start in dry down it's going darker with the woody notes and leather joining. It is very similar to amouage interlude black iris . Maybe more fresh in the opening.
Scent 9/10
Performance 8/10
Giving me 2 hours of projection and 7 to 8 hours of staying on the clothes and maybe 3 hours on the skin"
Eternity Moment,10/04/2025,riaxx,F,9,,1,This is everything that was missing in the original in my opinion,"I always felt like such a weirdo, when the original Libre wasn't my fav, I didn't hate it, it just wasn't me. Even the intense one. I am not the biggest vanilla girl, but something about this is just so well balanced. It smells expensive and floral and not heavy. The bottle is stunning oh my days it is gorg and i like this perfume a lot girl."
Eternity Moment,09/08/2025,Shadza,F,7,,21,Libre has been tamed,"I was very curious about this new flanker in the beautiful bottle.

The typical Libre DNA is recognizable here as well, just significantly simplified.
The orange blossom has been toned down considerably, and the lavender is also much more restrained than in the predecessors.

During the first half hour, Libre Vanille Couture evokes the least from all the flankers in the series for me.
Familiar yet different, it feels a bit too arbitrary. Hm...

Once the opening settles, the new promised twist becomes apparent.
A vanilla that beautifully shifts between soft sweet and warm soft.

I don't catch any rum in my nose.
Too bad, I could have imagined a well-crafted boozy touch as an exciting variant for cold winter evenings and fancy occasions.
On the other hand, Libre Vanille Couture thus avoids drifting into the more gourmand territory and can maintain the more mature aura of its predecessors.

Overall, the fragrance becomes significantly more harmonious from this point on, gaining a snug quality that I can particularly envision for the colder months.

So, is it a new candidate for purchase?
I love the Libre line mainly for its rather ""edgy"" DNA, the interplay of cool and warm, bossy and feminine.

This somewhat gets lost in ""Libre Vanille Couture | Yves Saint Laurent,"" which is why the fragrance will probably not replace my favorite variant ""Libre Le Parfum | Yves Saint Laurent,"" which it actually comes closest to for me.

For anyone who already has one of its sisters in their closet, it’s probably not a revelation, but still nicely done and worth a test.
Even those who found the predecessors perhaps too harsh might find happiness with this toned-down version."
Eternity Moment,08/24/2025,Ungestresst,F,33,,14,Dreamy Drydown,"Do I really still need you? I thought to myself after I heard about the release. I see the bottle .. read the notes .. YES, my Libre collection is probably going to get bigger! Ordered online from Paris right away .. a few days later it was there and I got to smell it for the first time .. once again a pricey blind buy. It was worth it! The original Libre is still there although for me it’s more the Libre Le Parfum but with such a dreamy vanilla drydown .. heavenly! I am in love! By the way, I don't perceive anything in the rum."
Eternity Moment,09/05/2025,Arrosa,F,48,HELPFUL REVIEW,8,Name is Program,"Here you initially get the original Libre DNA - lavender, orange blossom, and jasmine combined with vanilla - so nothing new at first.

However, the scent is distinctly warmer and more vanillic from the very beginning (and of course throughout its entire development). It strongly reminds me of the Libre Le Parfum variant, but it is actually ""different"" in its vanilla. The listed candy vanilla shines through wonderfully here. An authentic, slightly earthy, and perhaps even minimally animalistic vanilla. So definitely not a mundane baking vanilla or something similar. I find the twist very exciting. However, I don't get the listed rum or any other boozy note.

The bottle is also a dream and a ""must-have"" for Libre collectors and lovers. The limited edition makes it particularly appealing.

Anyone who generally likes Libre and is not averse to vanilla should definitely give it a try. But please make sure to test it on the skin and give the scent a little time. The scent on the test strip was not remotely like it was on my skin even after several hours."
Eternity Moment,09/08/2025,Sabrina001,F,7,,5,A Gem!,"Wow.. the appearance is already a highlight, and the scent even more so! At first, I was a bit hesitant due to the price, but my eyes simply made the decision. It feels significantly more sensual than its predecessors. I imagine it being perfect for winter, with an elegant coat, red lips, and a tightly pulled-back ponytail on a date.. After over 60 fragrances, I still don't have a clear favorite in the number 1 spot… maybe this will be it? Absolute recommendation, and perfect for gifting."
Eternity Moment,11/10/2025,Majka86,F,56,,2,"The Most Beautiful, Why Limited ?!","Libre is unfortunately not my line. I’ve tried them all, and somehow the lavender note doesn’t resonate with me here. Only the Libre EAU DE PARFUM INTENSE was the warmest for me.

It's a shame that this one is limited. I would immediately add it to my collection after just one test! The vanilla is more dominant here than the lavender, which makes it interesting for me, and the rum here... It won me over right away!

But limited, and I really don’t like that! I don’t like a love that’s limited in time.

But maybe it will eventually be added to the permanent collection.
It would definitely be the most beautiful in the line.
I also like the vanilla note from ""Black Opium Le Parfum | Yves Saint Laurent,"" and this is exactly it here!
Divine"
Euphoria Blossom,02/26/2018,Serafina,F,479,HELPFUL REVIEW,6,The Moomins from Finland,"The Moomins - friendly, troll-like mythical creatures with a hippopotamus-like shape - were not entirely unknown to me from my childhood, but apparently I was a bit too old for such series when they became more prominent on German television in the late 70s. I only just learned that the first books were written and illustrated by the Finnish/Swedish author Tove Jansson as early as the 1940s. The virtual home of the Moomins in the far north seems to have also inspired the Moomin perfume series by Demeter (alongside “Finnish Snowfield,” there’s also “Icelandic Aurora” and “Norwegian Wood”).

“Finnish Snowfield” is, in my opinion, a delicate, light floral scent with hints of lemon-juice-spiced herbal tea. The association with a bright sun shining over a powdery snowfield seems quite fitting to me, but I also can’t help but think of the first spring flowers waiting for their moment to emerge beneath the snow. Therefore, for me, it’s a perfume for the waning winter.
Moderate longevity, but at least it’s a perfume that is suitable for wearing and not just for “bringing to mind” certain scent images."
