product_name,review_date,reviewer_name,reviewer_gender,reviewer_total_reviews,helpful_badge,award_count,review_title,review_content
Kenzo Homme,07/28/2025,Byrehoe,F,205,,3,villa suburbana,"A beige aesthetic sandalmusk polished with plastic-toned saffron. I have a type and that type is fake wood!! As a Santal 33 Big Bottle owner, I love this genre. This is the scent of a Lincoln log McMansion, more plywood and laminate than actual tree. It’s sweet, it’s clean, it’s got central heating. Takes me back to the B&BW “Sensual Amber” line of the 2000s (be still my heart). Feels like the sawdust static counterpart to the white noise of Fugazzi’s Angel Dust. Unfortunately didn’t last more than two hours on my skin, but I will go out of my way to spritz whenever I pass through Sephora.

Mental Snapshot: It’s 2005. You’re at your friend’s Tuscan-style house in the bougie subdivision. (They have an island in their kitchen!). Everything’s mahogany, granite, and wrought iron. And a whole lot of biscuit, buff, and beige. They have a home theatre. You sink into a brown pleather sectional. It smells like this.

tl;dr: model home musk"
Kenzo Homme,03/26/2025,Telekinec,F,498,,2,Creamy and spicy saffron with pencil shavings,"Didn’t take a look at the Parfumo page before trying out this fragrance, so I’m happy to see people have immediately picked on the similarities between this one an Memo Paris’ fragrance.

The first 15 minutes are very similar to Cappadocia. It has the same leathery-like saffron with creamy and slightly sweet facets. It’s spicy and just so comforting. I barely get any of the other notes although I do detect a freshness and something less opaque and thick than Memo Paris’ version. Things start to take a different turn when Phlur’s version starts to smell like saffron accompanied by pencil shavings. Sandalwood and cedarwood in the base might have contributed to this. Phlur’s version is also more palatable to those who want something non-obtrusive and wearable. It’s also softer and doesn’t have monstrous projection, which makes it more versatile than Memo Paris’s version. I’d say this one is a lovely, cheaper alternative to its niche version, but since I already have a full bottle of Cappadocia (that I love very much), this one won’t be making it to my collection."
Kenzo Homme,04/02/2025,LavenderSalv,F,40,,2,Wood Panel Walls,"This feels exceptionally 70s; reminds me of a Sauna from my birthplace of Finland that was built then, and you're using it Now. It feels like a station wagon with wood grain in the doors and the console, or perhaps a cabin with a conversation pit and one of those weird circular fireplaces. At no point do you get any sort of natural wood, before it had been processed in some way."
Kenzo Homme,04/30/2025,XyzXyz,N/A,48,HELPFUL REVIEW,7,Wood - now in the leading role,"Föst Impreschn: The whimsical name doesn’t reveal that this fragrance immediately comes across as s e r i o u s - understated, yet not shy, stylish, but present.
Fun Fact: This is the first perfume with wood in the leading role that I genuinely like from top to bottom.
Sorry: Liking ""wood perfume"" is so new to me that I’m waiting to rate it until my generously filled sample vial - thanks, @Lutz89 - is all gone.

Background: If you catch a whiff of synthetic here, you probably haven't smelled the truly penetrating scent of freshly cut (various!) woods very often… So. I tend to stick my nose right at the cutting edge whenever I come across usable wood out and about ^^. Some tree cuts smell like something out of an eight-year-old's chemistry set, an eight-year-old who tried to create a wood scent with the strangest ingredients -
Then again, you might smell d e c e n t wood scents, or very sweet, barely noticeable aged ones, sometimes strongly resinous, and: As a crowning achievement, I once found a pure (!) vanilla scent. Without resin and - without wood XD
Since then, I can better understand that vanilla aromas can also be derived from wood - well, anyway!

Scent: As if a supporting character could shine in a leading role ^^
You can actually smell a clean, straightforward mix of various wood scents here, which you might recognize from the great outdoors as described… It overall feels dry, “welcomingly warm,” I would say, instilling trust. (Oh yes, and - Ganymede is somewhat similar to a linden tree from a flying saucer.)
Who: I actually see the scent primarily on male school principals - purely associatively - and on older female-presenting individuals in situations where they want to come across as discreet yet noticeable, serious yet exuding calm and friendliness.
When: Personally, I can’t imagine wearing this scent at any other time than in the autumn months. Except now for testing. Hehe.

Pyramid: I was baffled that there are supposed to be “only” two wood scent directions represented, then I was surprised by lemon and saffron, and I still wonder - What The Geier, cyclamen flowers really smell like n o t h i n g at all - - - - Well, anyway.

Bottle: Let’s keep silent about that

H/S/Animal Ethics: My surprise upon googling to find out that the manufacturers not only created something truly wonderful but also work consistently cruelty-free without any greenwashing was enormous. - I allow myself to quote from the Phlur homepage:

“Yes, Phlur is cruelty-free. They don't test their finished products or ingredients on animals, and neither do their suppliers or any third-parties. It's also verified that their products are not tested on animals anywhere in the world, including mainland China.”

With “Verified Cruelty Free,” there are often more discreet H/S, which are absolutely true here: Sprayed at 4 PM, still a close-to-skin hint detectable at 9 AM.
Nice! - Consequently, I can’t confirm a longevity of 6.5. Regarding sillage:
In contrast to my beautiful but really weak Sticky Popcorn, this is even a two-spray scent. (Unless, of course, someone needs huge clouds to mark their territory. For me personally, a cheeky little cloud is always enough.)

Update: Surroundings confirm - the scent is detectable for hours with two sprays, hehe, even elicited cute MMMMHs XD"
Kenzo Homme,08/22/2024,Le1le,F,1,HELPFUL REVIEW,3,One of my new favorite fragrances!,"“Somebody Wood” by Phlur is a very pleasant, warm perfume that immediately gave me a sense of comfort when I first smelled it. The main notes of sandalwood and cedarwood come out very well on my skin and provide a gentle and soothing woody note.

The fragrance starts with citrusy top notes that blend nicely with the warm wood notes. In the heart of the perfume, there are subtle spice notes that add an extra depth to the scent without overwhelming it.

Over time, “Somebody Wood” develops into a persistently warm and inviting fragrance that is great for all-day wear. Overall, it’s a fantastic choice for anyone looking for a warm and sensual unisex scent."
Ça Sent Beau,08/15/2024,Anniechannie,F,39,,1,So good!,"This is such a good vanilla buttercream. It is sweet, vanilla heaven. A gourmand dream. I absolutely love this one. It is buttery and rich with sugary frosting. It isn't sickeningly sweet (just know sickeningly sweet to me does not exist- I am a sickeningly sweet fiend. You cannot give me a fragrance that is too sweet or at least, I haven't found one yet.) The longevity is decent for a FFM, and the sillage is average as well. I wish they had this in a full size. Right now, I just have two mini ones. This is a great heading to bed fragrance as well. It's very comforting. You can fall asleep to frosting and wake up and apply something new with no issues. This was a great blind buy."
Ça Sent Beau,08/02/2023,Gourmandgrl,F,307,,3,Underrated gourmand vanilla,"If you're looking for a good ""basic gourmand vanilla"", this is it! So many good vanillas from BBW/VS have other notes that are dominant, like:

- bourbon ( Wild Madagascar Vanilla EAU DE PARFUM )
- cake ( Confetti Cake Pop )
- cookies (the 2022 version of Happy Birthday )
- incense ( Vanilla Lace FRAGRANCE MIST )
- marshmallow ( Vanilla Bean Noel )
- ""metallic"" ( Wrapped in Vanilla )
- musk ( Bare Vanilla )
- ""playdoh"" ( Warm Vanilla Sugar FRAGRANCE MIST )
- powder ( ""Fresh Vanilla | Bath & Body Works"" )
- sandalwood ( Vanilla Noir )
- ""woods"" ( Wicked Vanilla Woods )

Don't get me wrong, I still love plenty of the above. But Vanilla Buttercream doesn't have other notes that dominate, and sometimes that's all you need.

It's an uncomplicated, true vanilla buttercream; rich vanilla, sweetened with a touch of caramel (which just feels like a warmer version of the butter in buttercream).

I wish it projected more, it's fairly soft - but I'm still happy with it, and am impressed with the longevity for it being a ""fluffy vanilla"" profile (lasts several hours on my skin). This will be my go-to for birthdays!"
Kenzo Homme,04/11/2024,Gorin,M,50,,2,The best summer perfume. A masterpiece,"I've tried hundreds
None are as good as this
Aqua de Dora is the closest, at 9.5/10

Forever Love is noticeably better than every single summer perfume I have tried
It's also got by far the best longevity and sillage of any summer perfume (aside from Megamare which doesn't really count because it's unwearable in a lot more situations)

Everything else smells cheap, tacky and boring by comparison.

Pana Dora is my favourite niche, and it probably still would be if this was their only perfume."
Kenzo Homme,05/02/2025,Alire,M,21,,1,Piacevole d'estate,"Pana dora mi piace molto come brand... Be qui c'è un innegabile somiglianza con profumi di Louis vuitton seppur migliorato in prestazioni. Perfetto per l' estate apre agrumato fresco e resta così per tutta l'evoluzione... D' estate è un must have sicuramente.
Bella anche la boccia... Adoro pana dora come brand ottima qualità."
Kenzo Homme,09/27/2024,Enta,M,25,VERY HELPFUL REVIEW,22,"I did it, I found it!","It was an exploratory journey that was ultimately very worthwhile.
Dozens of fresh summer scents arrived in the form of samples at my house, I almost felt sorry for the postman.
From the moment I first experienced LV afternoon swim last year, I was on the hunt for a perfume that would do justice to that incredibly good note while still having good longevity. Let’s be honest, all fresh citrus scents fade quickly, it’s in their nature. Sure, the heart and base notes might last all day, but that’s not what makes the fragrances special.

On my discovery journey, I sniffed out many great summer scents and slowly came to terms with the fact that I would never find a ""better LV AS."" I was just about to order Pomelo Sorrento by Gritti (also a great scent), but then I discovered the house of Pana Dora and I am so happy that it happened.

Forever Love is very close to afternoon swim in the top note, to be honest, it still doesn’t manage to offer that incredible zest and freshness that I only know from LV, but it provides more depth and an interesting opening. The citrus notes seem to last twice as long (about 2 hours), but what fundamentally distinguishes the two are the heart and base notes.
One thing I liked less about afternoon swim was the drydown, which for my taste had a somewhat unpleasant synthetic quality, and that’s where Forever Love excels. Even though it is still slightly citrusy, the heart note is a different caliber, a wonderfully warm floral scent that stands on its own and brings joy for hours.

In short, I have finally found my perfect scent for hot summer days, now I just have to wait a long time until I can enjoy it in appropriate weather.

For anyone who loves afternoon swim like I do but expects more for their money, Forever Love is a must-try!"
