product_name,review_date,reviewer_name,reviewer_gender,reviewer_total_reviews,helpful_badge,award_count,review_title,review_content
Turmeric Latte,10/06/2025,Smellemental,M,74,,0,"Blow my way, brise d’oud…","(2025 Edition)

Opens fresh, clean, citrusy and green, with the smokiness of the Keemun opening up within minutes, tannic flavour and a slight ineffable fruitiness beginning to pour out. The green tea facets soon follow, and actually come across more authentic than in the majority of blends I’ve seen it in. It’s that particular grassy, earthy astringency that’s actually quite difficult to accurately capture. Jasmine, honeysuckle and honeybush are also conveyed beautifully, creating a delectable honeyed, floral jasmine & black tea combination with a deep woody boost from below.

In about an hour the base begins to unveil, robust, woody cedar and earthy, spiced Chinese oud perfectly supporting the teas in the heart. Sandalwood isn’t terribly prominent to me now but may arise later in the drydown as is common to it. I also have difficulty determining what spices adorn the base, but I think there might be a hint of something faintly musky, perhaps cumin, and also maybe some caraway. There have also been some very slight rubbery nuances from the honeybush in the heart, but I think they actually accentuate the woody and smokiness of the oud and black tea very properly.

Becomes all the more resinous in the drydown while retaining much of the great citric and tannic properties. Sandalwood as expected does appear to help smooth things out in the final act. All in all, I actually consider this a stupendous blend, a super easy and fun tea-and-oud scent that even newcomers will find bewitching & fascinating. Best worn in spring and summer but would personally make occasional exceptions during the colder months as well.

Sillage moderate to strong, longevity excellent. At $135/30mL through American Perfumer, it’s a bit on the pricier side but I’d definitely consider it justified.

Bravo, good sir!!!"
Rose Jam,10/19/2025,MrsGuerlain,F,548,,1,"And it smells good, by the way","Kenzo has a great sense of humour, if you ask me. And if I translate the name of this fragrance correctly: Ça sent Beau meaning This smells good. What a great name for a perfume! But apart from being quite fun, there is a truth to it, that I shall have to comment on. Since with this astounding product I do sometimes consider the smell secondary. Perhaps that needs an explanation. Let us look at in what order this unfolds itself.
It starts with the wrapping: stunning. The EdP comes in a beautiful light green box with a beautiful black (hand) writing stating Kenzo. Next to this is a red seal like decoration, a Japanese ‘hanko’. The box has structures of leaves pressed into the cardboard. Inside, the bottle is wrapped in crisp peach coloured tissue paper, almost nesting in it. Oh yes please! Now, that is what I call decent wrapping. The whole act of unwrapping makes my nervous system go bonkers. So much, that I tend to forget what it is all about - the fragrance.
But then there is the bottle. I have the deodorant, the miniature EdT and the ‘real thing’ - the EdP. All are in the stunning category. The EdP, however, takes the price. It has a stopper shaped like two flowers, and the neck and bottle reminds me of the now again popular activity of stacking rocks on top of each other. Even though the top is plastic, the whole picture is a balanced, beautiful and bold design, that leaves me with a luxurious feeling. So much that I tend to forget what it is all about - the fragrance.
Well, the fragrance is out of this world and should be in the Top100 - despite its high ranking, it is not in Parfumo’s Women’s Top100, which surprises me. It is creamy, floral and soapy at the same time. When it warms up it has a floral expression that makes me want it to stay like that forever. Actually, I think it is timeless. Such a shame that it is discontinued. But then again, I get to enjoy it, because it is in my collection.
Year 2, 158/365"
Rose Jam,09/03/2023,Lauser93,M,1199,,2,Fruits and Flowers (EDIT: 23.02.2024),"Today, I wanted to compare the Ça Sent Beau EAU DE TOILETTE on the right and left arms with the ""Ça Sent Beau / Kenzo (Eau de Parfum) | Kenzo."" To my surprise, the perfume lasts only 3-4 hours on my skin with a rather weak sillage. The Eau de Toilette comes across as much more concentrated, likely due to its age - both fragrances come from collection dissolutions and are in older miniature bottles. I find the DNA of the scent not too bad but also a bit old school. It smells very floral and fruity.

The top note starts fruity with peach but also floral-sweet with orange and jasmine blossoms. The heart note remains distinctly floral. I detect rose water, geraniums, tuberose, gardenias, iris, violets, and lily of the valley - what a sea of flowers! The base reminds me a bit of soap and fabric softener. Additionally, I recognize a green-earthy patchouli aroma. It also has a slightly vanillic and balsamic scent.

All in all, this is a fairly successful fragrance, but I wouldn't necessarily associate it with my ""dream woman,"" as I find it a bit outdated.

EDIT 23.02.2024: Now I have tested another miniature. Here, the longevity was significantly better at around 12 hours. In the top note, I also detected bergamot and a jam-like quality. As it develops further, it also smells quite oriental, festive, and of cinnamon."
Cardamom Coffee,01/13/2019,Bernard,M,15,HELPFUL REVIEW,5,A Mild Pineapple Fart in the Tuscan Wind,"How can I resist the temptation when the price of an EdC is under €3 / 100 ml? Especially since it's supposed to be one of the much-touted Barbershop classics.

I've always wondered which target group this ominous Lustray line is aimed at, as Pinaud Clubman offers very solid drugstore products for the US market at a (there) very low price. Lustray is - in my impression - the budget version of the house and can even be ordered in canister sizes in case of a major emergency. My expectations are initially at 0, just like a meat hedgehog on the party buffet. It's also old school, rosy, and just as unappealing as the plastic bottle.

Bottle: see above. Unappealing! I have nicer things in the garage or tool shed. But one must not be deterred by the Pinaud / Lustray bottles, otherwise one might miss out on one or another gem. They remind me of discount beer bottles like those from Lidl. Horribly made and exclusively made of plastic, which I actually wanted to ban from my household for ethical reasons.

Longevity: Here I would be at the heading. So disappointingly mild and flat-chested, at best on the level of an aftershave. Measurable in minutes.

Sillage: Was there something? Even for the highly sensitive noses of my cats, I remain almost invisible in terms of scent. Also for my two-legged golden treasure. Even for myself.

Scent: Fresh pineapple briefly tossed in Provençal herbs and doused with a hint of musk. Good. Solid. Simple. Proven.

Conclusion: In the main subject a 2, otherwise only 5s and 6s on the report card. That’s not enough for promotion. Class goal missed."
Grass,11/17/2019,DonJuanDeCat,M,2046,VERY HELPFUL REVIEW,9,Should I watch while your perfumes worship the sun?? :D,"Hello you sun-worshipping perfumes (who are surely hating the cold days right now!). Soo… oh man, I wish I hadn't started with ""sun-worshipping,"" because now I have… strange thoughts… like imagining you in bikinis, let’s say, in alluring movements worshipping the sun, which surely catches the fleeting glance of us guys *sigh*
It's kind of like when you do yoga (oh my God… some of those poses make your heart stop!! Who came up with such ""exercise positions"" like ""Downward Dog"" or even ""Merudandasana"" or whatever it's called (the one where you spread your legs so extremely)… Arrrrghghgh :DD Not to mention many other ""positions""!!…

Anyway, how did I come to sun worshippers? Quite simple: The fragrance here is called ""Sympathy for the Sun"" (by Roos & Roos/Dear Rose). And I think, especially you ladies must love the sun much more than men, right? Well, I’m not a big fan of the sun. Yes, yes, because I’m single and blah blah, we've been through that several times… no, this time I wanted to say that the sun can be beautiful, but all those heat waves in summer really annoy me. A few years ago it was okay, there were just a few hot days, but now it looks like the heat waves are increasing and lasting longer… anyway, I just don’t like extreme heat and I already feel sick thinking about next summer *sigh* No sorry… I much prefer winter! :)

Anyway, I’ll get to the scent, which sounds quite fresh :)

The scent:
The scent has a rather classic opening with citrus and oak moss and even briefly resembles an aftershave or those scents found in barbershops. But don’t worry, just a minute later the scent becomes distinctly more feminine with sweet jasmine and roses. Of course, the classic touch from the oak moss remains, but this classic note doesn't come across as much like a men's aftershave anymore :D
Over time, the scent loses much of its citrus freshness and becomes more powdery-sweet, but not in an overwhelmingly intense way, so it still stays light and breezy.
Now many seem to smell salt here, but I find the salt to be rather subtle. Especially towards the end, the scent is, as mentioned, more sweet and powdery, with a hint of woodiness. The sweetness mainly comes from the jasmine and is generally floral and soft, but occasionally reminds me a little of tonka bean.
All in all, a very nice scent.

The sillage and longevity:
The sillage is weak, as one is used to from summer scents or fresh fragrances. This one at least stands out a bit through the bitter oak moss now and then, but even then the scent is relatively weak overall. I found the longevity to be average, around five to six hours. Especially for summer, this is quite good.

The bottle:
The bottle is rectangular with nice curves… uh, I meant with strongly rounded corners :D On the front, you see a golden label with the name of the fragrance. The neck is gilded and bears the brand name engraved in it. The cap is black and cylindrical. Everything is quite okay, but not incredibly exciting.

Okay, that was ""Sympathy for the Sun."" And even though I extremely hate the sun during heat waves, I must say that this scent turned out to be all the more beautiful, even if I shouldn't like the name of the fragrance right now :D

But honestly, the scent is not really refreshing, yet it is still light and breezy despite the sweet notes. It is soft with powdery undertones, sweetly delicious with sweet scents like jasmine, and has a slightly spicy-bitter base reminiscent of woody notes and tonka. It fits wonderfully into spring and summer with its beautiful, light aura and can be used as a daytime scent, for work, and even for going out on warm days, as it also comes across as elegant, even though it could have been a bit stronger for going out.

In my opinion, this scent is definitely very recommendable, even if it may seem quite simple in terms of scent progression. So, give it a try; it can make you feel soft, cute, and elegant, maybe even delicious :D But please don’t wear it to yoga or while… well… sun-worshipping… or else guys like me might just drop dead from heart failure… waaaah!!!
But okay, enough about my dirty fantasies, well, at least for this comment here, he he :DDD

Well then, take care and have a nice evening :)"
Rentless,07/10/2024,Dionysos2022,M,946,,2,On a Summer Day...,"...this fragrance is pleasant to wear.

Upon spraying, one gets a light apple note even though it is not listed in the fragrance pyramid. This is complemented by the freshness of mint and citrus fruits. A very slight spiciness is emitted by the juniper berry. The thyme further emphasizes the spicy note, followed by a woody note.

The longevity and sillage are below average.

This fragrance can be worn for any occasion in summer.

The perfume is no longer in production."
Barbie x Lush,08/09/2024,parfumpixie,F,357,,1,Interestingly clean,"This opens with a blast of clean solar aldehydes paired with some fresh aromatic sage. Then you get an almost bubblegummy powdery sweetness paired with some creamy warm florals. The citrus here reads like a soapiness but not in a cleaning products way, more so like clean laundry. This feels like a desert haze, a mirage even. It’s hard to describe what this really smells like but it’s such an alluring smell. The dry down reads more floral with a prominent linden blossom paired with some ambery warmth."
Amelie Mae,08/09/2024,parfumpixie,F,357,,1,Interestingly clean,"This opens with a blast of clean solar aldehydes paired with some fresh aromatic sage. Then you get an almost bubblegummy powdery sweetness paired with some creamy warm florals. The citrus here reads like a soapiness but not in a cleaning products way, more so like clean laundry. This feels like a desert haze, a mirage even. It’s hard to describe what this really smells like but it’s such an alluring smell. The dry down reads more floral with a prominent linden blossom paired with some ambery warmth."
Lord of Misrule,10/05/2025,Sirbennyone,M,499,HELPFUL REVIEW,2,EO's All-Purpose Weapon ;),"Hello everyone,

Today I want to talk about a very, very special and unfortunately too rare EO, the ""Kambodi Gris (Eau de Parfum) | Ensar Oud / Oriscent"".

A little general information:

There are 2129 Rose - Oud fragrances from the company (number fictional, but feels true^^), x smoky, x green, xx musky beasts - but nothing that you can really wear all the time = unproblematic, pleasant, doesn't clash. I know how some think about this, and I partially agree, BUT there are also days when you might not want to hear certain comments about what you're wearing, and that's when the ""Kambodi Gris (Eau de Parfum) | Ensar Oud / Oriscent"" comes into play.

Because it is pleasant, unproblematic, doesn't clash, is ultra high quality, you feel special, etc.

How does it smell:

The actual main character here is the ambergris, BUT it is different (!). Ambergris usually has an aquatic - mineral - smoky impression like, for example, in EO normal, whether it’s ""Black Gris | Ensar Oud / Oriscent"", ""Gris Sultani | Ensar Oud / Oriscent"", or ""Jamaican Ambergris Attar | Ensar Oud / Oriscent"". Here, the smoky component is, in my opinion, almost 100% eliminated.

It feels very Western and almost not like a fragrance from EO, because it is very easy to wear.

For every season, every possible occasion!

Are there similarly scented fragrances?

Yes and no.

What comes closest to the ""Kambodi Gris (Eau de Parfum) | Ensar Oud / Oriscent"" is the V: Amber Fougere, HOWEVER this is not a fougere fragrance, it has no pepper, no sweetness - nothing.

The included lavender and rose are a very high-quality accompaniment, but nothing more, and the included Cambodian oud forms its woody foundation and, in my opinion, is perfectly balanced.

The sillage is perfectly sufficient, and it effortlessly handles a normal workday.

If there were a 50 ml bottle, I would grab it because I am quite enthusiastic about it. It is this pleasantly understated, always fitting - like a tailored suit.

If the opportunity arises = test it!

And now have a nice day/evening or whenever you read this review, best regards, Benny
_______"
Cocktail,04/28/2016,Sweetsmell75,F,210,,17,Beautiful Cara,"The lovely comments here have once again triggered a ""want-to-have"" reflex since I really enjoy powdery vanilla scents. Snagged blindly in the souk from a dear perfumer, I went straight to testing today.
Hmm... Vanilla? I don't smell it at all... but first, a green-almond note. I actually quite like it here after overcoming the initial shock of the non-vanilla :)
The vanilla doesn't really come through on my skin at first. That's okay... I like almonds too. This almond note is so beautiful, delicate, and powdery. I'm thrilled. Slowly, after about an hour, the vanilla starts to make an appearance.
Cara is a powdery scent dream made of beautiful almond milk surrounded by gentle vanilla. Not at all intrusive, not too sweet because that green feeling, wherever it may come from, is always present.
Cara is truly a fine fragrance that gently envelops the wearer in a delicate scent veil. Unisex... I don't think so... in my opinion, Cara is too feminine for that.
Of course, I also wanted to know where the almond comes from. In ALZD, the fragrance pyramid is displayed a bit differently... and so the overall picture fits :)
For those interested:
Top note: Vanilla, Sugar
Heart note: Almond, Caramel
Base note: Amber, Powdery Notes
Unfortunately, I can't provide exact information about the longevity, but sprayed 3 hours ago, the scent still smells very intense. The sillage isn't that great... but it doesn't have to be... here it suffices to feel a sense of satisfaction from this wonderful fragrance. I can imagine wearing Cara in any season.
The bottle... well, beautiful is something else, but the content matters.
Conclusion: Cara is beautiful! I'm glad to have her in my fragrance collection!"
