product_name,review_date,reviewer_name,reviewer_gender,reviewer_total_reviews,helpful_badge,award_count,review_title,review_content
Legend Spirit,02/24/2018,Lockon,M,34,VERY HELPFUL REVIEW,4,Sweet Aquatic!,"Hey you...
Yeah you, the Person reading this.
Do you like Invictus, Invictus Aqua, Invictus Intense?
Or Armaf Aura, Armaf Rixos, Armaf Oros?
What about King of Seduction or King of Seduction Absolute By Antonio Banderas?
Ahhh Zeus by Kelsey Berwin?
Hmmm...how about Azzaro Wanted or Freeride?
And Rasasi Hawas?

Did you say yes to any of those...Then you'll love this sexy bitch.
A must have.
This is a lovely scent.
I have all of those scents, I mentioned from before.
It smells amazing, I don't know why I love this sweet aquatic mixture In a fragrance.

Sweet, aquatic, spicy, woody, muah...loevly.
Perfect for the hot times during the year.
And wearable during the cold time.
This scent is bad ass and about half the price of Invictus.

I used six sprays...both wrist, back & front of my neck, chest, and front of my shirt.

Will I buy this again?...Yes.

Does this fragrance enter BEAST MODE, good, just okay or weak sauce at best? Good.

What's the strength of this? EDT.

Am I willing to trade this fragrance? No.

Should You Skipped It, Sample It First or Blind Buy It? Blind buy worthy.

Can you use it as a unisex scent? No.

Is it the old, new formulation? Old.

What's its availability; in production, limited edition or discontinued? In production.

SKU Number: 3386460074902 (Tester)
Batch Number: 04G36G174 (Production Date: June 22, 2016)

Age: 25+
From: Hookup
Size: 100 ML
Scent: 5/5 (Sexy).
Value: 5/5 (Cost Free).
Sillage: 3/5 (Three feet).
Longevity: 3/5 (Six hours easy).
Creativity: 4/5 (Manlier form of Invictus).
Projection: 3/5 (Two hours).
Versatility: 5/5 (Anytime & anywhere, but this works way better in the late spring & all of summer).
Compliments: 5/5 (Awesome complements).

Until next time, I'll catch you on the flipside."
Legend Spirit,07/13/2017,Manscents,M,14,HELPFUL REVIEW,3,Casual Summer,"Montblanc Legend Spirit is a good casual scent for the spring or summer. I think it is a very versatile fragrance and it would probably make a good work scent. Ideal for casual occasions but no reason why this could not be worn for more formal event also. Legend Spirit has a well blended opening and is has some sweetness but is also clean, fresh and invigorating It has the potential to collect complements. I get slightly above average projection / silage for the first 1 to 2 hour after that its starts getting closer to the skin. Longevity 6- 7 hours.

The white and chrome colour scheme of the bottle is a solid enough design but the downside is the bottle its totally opaque. it would have been nice to a have a small section to see the amount of visible juice remaining.

Overall scent 7.5/10"
Legend Spirit,08/25/2017,Muotarek,M,51,,1,Invictus clone,"Invictus clone, it smells good in the initial spray then i feel i'm gonna throw up, not my thing at all!! very synthetic and in a not good way, so i'm gonna stick to Mont Blanc Legend Intense which smells amazing and very well blended.

So this is a huge PASS for me."
Legend Spirit,09/19/2021,Yesman91,M,3,,4,Smells Cheap,"So i'm more of an amature when it comes to fragrances I didn't try a lot but any way I'll try to give a helpfull review .

01/Scent: the scent is fresh a bit spicy it smells more like a cheap parfume nothing unic about it.
Rating: 02 /5
02/Originality: the scent as I said smells cheap and you can really find it in some cheap fake perfumes and deodorant nothing special about it
Rating: 01 /5
03/Versatility: I think this fragrance can be used in hot and warm weather, so summer maybe hot spring days, you can use it casually and at day time its 100% males fragrance
Rating: 02,5/ 5
04/Longevity: After few tests on my skin the longevity was like 3-4 hours
Rating: 02/ 5
05/Projection: Weak projection maybe 40cm at first but after that it sits close to the skin
Rating: 01,5/ 5
06/Sillage: it has a really weak sillage, almost it doesn't leave any trace at all
Rating: 01/ 5
07/Value: the price Is Ok but you can get better fragrance at the same price
Rating: 03,5/ 5
08/Compliment: Suprisngly this fragrance can get you some compliments especially from the women, but since it has a weak performance you should go heavy with it I guess.
Rating: 03/ 5
* Overall rating : 02,05 / 5
*"
Legend Spirit,04/29/2024,StarA1,M,136,HELPFUL REVIEW,1,A true legend...and the love of my life,"This legendary, timeless fragrance is the one that introduced me to the world of perfumes when I was younger.
I love light summer fragrances, but I don’t like winter fragrances that have a strong and pungent smell that surrounds you with an aura of oud, leather and tobacco, and I think they harm the wearer.

This fragrance is the most eloquent example of summer fragrances. It is a light, aquatic, refreshing masculine fragrance that contains citrus and musk. It has a very distinctive scent.

This fragrance is suitable for men over 35 years and older, The fragrance bottle is luxurious and pure white, made of polished glass, covered with shiny metal on top, and the bottle cap is also made of shiny metal, and of course there is the Montblanc logo on the bottle.

I usually don’t re-purchase fragrances twice, no matter how much I love them...but this is one of the rare fragrances that I have re-purchased.

Conclusion: An excellent summer fragrance that gives you self-confidence and a constant feeling of freshness."
Legend Spirit,05/13/2024,Guitar2016,M,232,,1,Lovely Fragrance,"This is a Nice scent, Fresh, Clean and Bright. The bottle explains everything. I bought it blind-buy after reading the positive comments with reasonable price. It opens up with slightly sweet fresh spicy , citrusy , Lavender and spices notes in the background then dry down is musky woody. The Combination of the Lavender and Cardamom notes is fantastic in the middle notes and..."
Legend Spirit,06/13/2023,Monstaro,M,41,,3,Nice but not for me,"Ya know, this is a really nice fragrance. Nothing terrible unique, but it's fresh, soapy, sweet yet still masculine. On paper, this is something that I would love. It is definitely a younger scent - I'm talking like teenager - but even if I was still in my teens, I'm not sure it would have been my style.

It's fun and outgoing, but not very deep, and me personally I try to express a sense of depth and awareness balanced with being outgoing. This fragrance only expresses half of that."
Legend Spirit,07/13/2025,Averycj,M,50,,1,Dangerously Close to Toilet Cleaner Territory,"This one is very citrusy. Like, aggressively citrusy. First sniff had me thinking of Abercrombie & Fitch Fierce vibes because of that citrus blast, but then it started leaning into Nautica Voyage territory. It’s kind of like if those two did a fusion dance and became one lemony aquatic scent.

For around $25, it’s not a bad cheapie at all. Smells clean, fresh, and like you put in at least some effort. I know Legend Spirit and Nautica Voyage are often compared when it comes to budget summer scents, but personally? I’d go with Voyage. It’s like ten bucks cheaper on Jomashop, a bit softer on the nose, and doesn’t hit you with a toilet cleaner vibe.

And to be fair, Legend Spirit doesn’t totally cross into harsh-cleaner territory, but it’s close. Not in a bad way, just... you’ll know what I mean when you smell it. It’s fresh, but also kind of sharp. Definitely better than smelling like B.O., but not something I’d full bottle. Maybe a good gym bag frag or something you throw on for those really humid days.

Solid aquatic, a bit too heavy on the citrus for me, but not a bad grab if you want something cheap, loud, and clean."
Legend Spirit,01/26/2025,MB02S,M,3,,2,Mont Blanc Legend Spirit,"It's the best value for money summer fragrance I'ved tried. It's very masculine and fresh, not a lot of spice but I don't mind in this instance because the rest is very well-blended. A very pleasent bergamot and grapefruit, I don't really get the musk on the drydown but the woods make up for it beatifully. Downside is that it doesn't last as long as I would like, but for 30€ you really can't go wrong for a very cheap freshie.
Scent: 8.3/10
Longevity: 6.1/10
Sillage: 6.8/10 (3-5 works for me)
Bottle: 5.4 (nothing fancy, plain and simple)
Value for money: 9.5/10"
Legend Spirit,07/03/2025,Rsansom3,M,4,,2,A very pleasant surprise...,"A lovely, addictive scent. I like this way, way more than the OG Legend. Nothing wrong with being so close to A&F's Fierce, but I wore that during highschool and college so it's hard to wear Legend without feeling like a kid again (sometimes a good thing, sometimes not).

Legend Spirit is better from the start simply by being more unique and more versatile. There is a overwhelming sense of freshness that comes across and lingers through the whole profile. This must be the ""water notes"" listed. I personally don't smell the citrus, but I do get something here that is sweet, a tiny bit fruity, but not overwhelmingly so. Maybe the lavender? Maybe the cardamom? Whatever it is, it helps this fresh, aquatic smell become something almost mouthwatering. And then it gets even better as it dries down and the musk starts to come out. This is one of those summer scents that can be sprayed in the early afternoon and be absolutely perfect, and stays perfect as the day transitions into evening and the scent matures on your skin.

I personally don't get the performance issues others are complaining about. It's not a beast-mode fragrance, no, but I'm of the opinion that sometimes subtlety is the best strategy. With it being a EDT in mind, I spray 7-8 times (3-4 times on chest/back of neck, 2 times on each inner elbow) and I can easily pick it up as I move around 10 hours later. There have even been times where, a solid 12 hours later, I couldn't quite pick it up myself but my wife would comment about how good I smell when I walk by.

For how much a 100ml bottle costs (at discounters, cough cough), this is an absolutely killer deal. A dumb grab n spray everyday warm weather fragrance that actually has some depth and interest and smells amazing? Yeah sign me up, I wish I found this gem years and years ago."
